fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,13924000000,7254000000,1498000000,5479000000,26000000,342000000,6670000000,47000000,170000000,474000000,22000000,452000000,9646000000,1351000000,3981000000,0,21000000,2366000000,1956000000,360000000,860000000,918000000,936000000,410000000,208000000,918000000,918000000,0,918000000,377000000,None,11558000000,None,1629000000,9634000000,1294580139,SHOP
2023-12-31,USD,11299000000,6275000000,1413000000,5008000000,19000000,282000000,5024000000,49000000,156000000,456000000,29000000,427000000,7473000000,780000000,3595000000,1000000,0,2233000000,898000000,364000000,996000000,None,17000000,1335000000,234000000,916000000,0,916000000,916000000,124000000,None,9066000000,None,-390000000,9201000000,1286570293,SHOP
2022-12-31,USD,10757000000,6050000000,1649000000,5052950000,None,273000000,4707000000,131000000,153000000,2226000000,390000000,1836000000,4281290000,1953460000,3403622000,29000000,None,2518262000,856000000,363778000,1126802000,None,18161000,1662000000,483296000,913312000,None,913312000,913312000,9390000,None,8239000000,None,-522276000,8747000000,1275128566,SHOP
2021-12-31,USD,13340172000,8539320000,2502992000,7768093000,1,192209000,4800852000,105526000,127346000,495024000,138496000,357000000,8751842000,3749667000,5265101000,10679000,None,2206831000,702733000,284010000,759448000,None,15748000,1504098000,262524000,910963000,None,910963000,910963000,13505000,None,11133000000,None,2938142000,8040099000,122528871,SHOP
2020-12-31,USD,7762905000,6877756000,2703597000,6387967000,1,None,885149000,92104000,99614000,447541000,135676000,311865000,3700710000,173454000,3684370000,17478000,None,1362182000,438332000,168720000,257630000,None,10051000,923850000,154887000,758008000,None,758008000,758008000,19677000,None,6400723000,None,15285000,6115232000,122528871,SHOP
2019-12-31,USD,3489479000,2742228000,649916000,2455194000,1,None,747251000,111398000,46261000,479147000,167282000,311865000,1811108000,None,1805278000,6810000,None,473745000,316382000,90517000,125320000,9066000,9066000,157363000,151707000,None,9066000,0,151707000,69432000,None,3015734000,None,-304224000,3256284000,116428975,SHOP
2018-12-31,USD,2254785000,2129082000,410683000,1969670000,22511000,None,125703000,61612000,30175000,64091000,26072000,38019000,1558987000,None,1558987000,3681000,None,164017000,138688000,61271000,82122000,2552000,2552000,25329000,None,None,2552000,None,24868000,35685000,None,2090768000,None,-187757000,2215936000,110392689,SHOP
2017-12-31,USD,1113564000,1025677000,141677000,938039000,1616000,None,87887000,50360000,35002000,37527000,17210000,20317000,4503000,None,796362000,1616000,None,112464000,94754000,44333000,32046000,None,1484000,17710000,None,None,None,None,16454000,19727000,None,1001100000,None,-123204000,1077477000,99877688,SHOP
2016-12-31,USD,490558000,422898000,84013000,392414000,522000,9599000,67660000,45719000,18656000,21941000,6437000,15504000,41000,None,308401000,8989000,None,80082000,66532000,34319000,21086000,None,1311000,13550000,None,None,None,None,13939000,12049000,None,410476000,None,-83209000,468494000,89405480,SHOP
2015-12-31,USD,243712000,202465000,110070000,190173000,1550000,6089000,41247000,33048000,8785000,8199000,5826000,2373000,None,None,80103000,6203000,None,48395000,37237000,18453000,13387000,None,822000,11158000,None,None,None,None,11319000,6058000,None,195317000,None,-47854000,231452000,80089858,SHOP
