fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,15601000,15447000,13079000,14578000,None,None,154000,None,None,None,None,None,None,None,1499000,525000,0,6453000,6453000,1198000,None,None,191000,None,191000,None,None,None,191000,5064000,None,9148000,None,-223190000,3000,2960000,ONCT
2024-06-30,USD,23859000,23257000,6382000,21429000,None,None,602000,None,None,None,None,None,None,None,15047000,1265000,412000,8105000,8055000,1903000,None,None,185000,50000,235000,None,None,None,235000,5967000,None,15754000,None,-214726000,3000,2960000,ONCT
2024-03-31,USD,29141000,28504000,6396000,27027000,None,None,637000,None,None,None,None,None,None,None,20631000,760000,412000,6215000,6116000,1462000,None,None,179000,99000,278000,None,None,None,278000,4475000,None,22926000,None,-206167000,3000,2960000,ONCT
2023-12-31,USD,36729000,36059000,6697000,34255000,1,None,670000,None,None,None,None,None,None,None,27558000,1172000,412000,6677000,5198000,1148000,None,None,173000,145000,318000,None,None,None,318000,3877000,None,30052000,None,-197779000,3000,2948000,ONCT
2023-09-30,USD,43195000,42492000,14925000,40305000,-186000,186000,703000,None,None,None,None,None,39415000,None,25380000,2187000,412000,6199000,5152000,2133000,None,None,151000,191000,342000,None,None,None,342000,2868000,None,36997000,None,-188615000,59000,58969000,ONCT
2023-06-30,USD,50773000,50075000,15832000,45503000,-262000,262000,698000,366000,None,None,None,None,45001000,None,29671000,4572000,332000,5589000,4831000,2224000,None,None,145000,221000,366000,None,None,None,366000,2462000,None,45185000,None,-178753000,59000,58728000,ONCT
2023-03-31,USD,58282000,57917000,11244000,54317000,-100000,282000,365000,None,None,None,None,None,54037000,None,43073000,3600000,315000,5794000,5488000,1964000,None,None,50000,306000,50000,None,None,None,50000,3474000,None,52488000,None,-169787000,59000,58711000,ONCT
2022-12-31,USD,68651000,67290000,37142000,63724000,103000,178000,1361000,87000,None,None,None,None,55677000,None,26582000,3285000,1274000,7682000,7682000,2917000,None,None,87000,3004000,87000,None,None,None,87000,4678000,None,60969000,None,-158300000,3000,57464000000,ONCT
2022-09-30,USD,76170000,74790000,70600000,70600000,None,112000,1380000,122000,None,None,None,None,None,None,None,4162000,1258000,7626000,7626000,2456000,118000,None,122000,2696000,122000,None,None,None,122000,4930000,None,68544000,None,-146900000,56000,55517000,ONCT
2022-06-30,USD,81526000,80980000,78900000,78900000,1,None,546000,157000,None,None,None,None,None,None,None,2080000,389000,7525000,7512000,2519000,211000,None,144000,13000,157000,None,None,None,157000,4638000,None,74001000,None,-135775000,52000,52150000,ONCT
2022-03-31,USD,85488000,85066000,82200000,82200000,None,None,422000,31000,None,None,None,None,None,None,None,2907000,391000,5294000,5294000,2395000,None,None,31000,2426000,31000,None,None,None,31000,2868000,None,80194000,None,-124034000,49000,49429000,ONCT
2021-12-31,USD,93585000,92853000,90765000,90765000,None,585000,732000,75000,None,None,None,None,None,None,0,2088000,657000,5465000,5465000,1959000,0,None,75000,1959000,75000,None,None,None,75000,3506000,None,88120000,None,-114130000,49000,49429000,ONCT
2021-09-30,USD,100296000,99520000,97400000,97400000,None,None,776000,119000,None,None,None,None,None,None,None,2140000,657000,5820000,5820000,2746000,158000,None,119000,None,119000,None,None,None,119000,2797000,None,94476000,None,-106057000,49000,49427000,ONCT
2021-06-30,USD,108419000,107599000,103663000,103663000,None,None,820000,162000,None,None,None,None,None,None,None,3936000,658000,5900000,5900000,1009000,2236000,None,162000,None,162000,None,None,None,162000,2493000,None,102519000,None,-96427000,49000,49385000,ONCT
2021-03-31,USD,114057000,113084000,111211000,111211000,None,None,973000,204000,None,None,None,None,None,None,None,1873000,769000,5754000,5723000,1892000,885000,None,173000,31000,204000,None,None,None,204000,2773000,None,108303000,None,-88745000,49000,49366000,ONCT
2020-12-31,USD,118809000,118003000,116737000,116737000,None,None,806000,40000,None,None,None,None,None,None,None,1266000,766000,5858000,5858000,1143000,1633000,None,40000,None,40000,None,None,None,40000,3042000,None,112951000,None,-82797000,49000,48802000,ONCT
2020-09-30,USD,23552000,22707000,21259000,21259000,None,None,845000,79000,None,None,None,None,None,None,None,1448000,766000,7852000,7551000,977000,3222000,None,79000,301000,79000,301000,None,None,301000,3273000,None,15700000,None,-80240000,22000,22347000,ONCT
2020-06-30,USD,18899000,18016000,16617000,16617000,None,None,883000,117000,None,None,None,None,None,None,None,1399000,766000,9301000,9000000,1469000,3807000,None,117000,301000,117000,301000,None,None,301000,3607000,None,9598000,None,-75845000,17000,17336000,ONCT
2020-03-31,USD,17765000,16564000,16019000,16019000,None,None,1201000,154000,None,None,None,None,None,None,None,545000,1047000,7370000,7317000,1376000,3062000,101000,101000,53000,154000,None,101000,None,154000,2778000,None,10395000,None,-70310000,15000,15392000,ONCT
2019-12-31,USD,21744000,20787000,20051000,20051000,None,None,957000,190000,None,None,None,None,None,None,None,736000,767000,7432000,7341000,871000,3640000,99000,99000,91000,190000,None,99000,None,190000,2731000,None,14312000,None,-65572000,15000,15387000,ONCT
2019-09-30,USD,25049000,24055000,23096000,23096000,None,None,994000,226000,None,None,None,None,None,None,None,959000,768000,6899000,6770000,1231000,3008000,96000,96000,129000,225000,None,96000,None,225000,2435000,None,18150000,None,-61416000,15000,15387000,ONCT
2019-06-30,USD,30903000,29871000,28516000,28516000,None,None,767000,265000,None,None,None,None,None,None,None,1355000,767000,7967000,7841000,2765000,3600000,None,139000,126000,265000,None,None,None,265000,2550000,None,22936000,None,-56524000,15000,15370000,ONCT
2019-03-31,USD,22636000,22534000,21012000,21187000,None,None,102000,12000,None,90000,90000,None,None,None,175000,1347000,None,54516000,1819000,609000,None,None,None,None,None,None,None,None,None,1210000,None,-31880000,None,-605857000,24000,24051844,ONCT
2018-12-31,USD,21962000,21210000,20645000,28458000,None,None,113000,19000,2625000,94000,94000,None,None,None,200000,2750000,752000,51593000,4331000,3440000,None,None,None,None,None,None,None,None,None,1931000,None,-29631000,None,-600055000,5000,24051844,ONCT
2018-09-30,USD,40269000,40144000,23089000,38073000,None,None,125000,28000,None,97000,97000,None,14984000,None,14984000,2071000,None,69222000,9305000,3121000,None,None,None,None,None,None,None,None,None,6184000,None,-28953000,None,-594640000,24000,24051844,ONCT
2018-06-30,USD,47716000,47580000,16511000,45716000,None,None,136000,35000,None,101000,101000,None,29205000,None,29205000,1864000,None,74813000,7877000,1473000,None,None,None,None,None,None,None,None,None,6404000,None,-27097000,None,-585209000,24000,24031191,ONCT
2018-03-31,USD,34359000,34211000,14958000,32144000,None,None,148000,43000,None,105000,105000,None,17186000,None,17186000,2067000,None,59085000,9610000,1739000,None,None,None,None,None,None,None,None,None,7871000,None,-24726000,None,-575194000,23000,22529690,ONCT
2017-12-31,USD,46236000,46077000,15816000,43899000,None,None,159000,51000,2667000,108000,108000,None,28083000,None,28083000,2178000,None,69514000,7975000,2604000,None,None,None,None,None,None,None,None,None,5371000,None,-23278000,None,-561637000,22000,21541909,ONCT
2017-09-30,USD,55849000,55680000,53431000,53631000,None,None,169000,57000,None,112000,112000,None,200000,None,200000,2049000,None,9279000,9279000,2451000,None,None,None,None,None,None,None,None,None,6828000,None,46570000,None,-552360000,22000,21541909,ONCT
2017-06-30,USD,13667000,13486000,5156000,11356000,None,None,181000,65000,None,116000,116000,None,6200000,None,6200000,2130000,None,5185000,5185000,603000,None,None,None,None,None,None,None,None,None,4582000,None,8482000,None,-543856000,16000,16041923,ONCT
2017-03-31,USD,18943000,18751000,7771000,16511000,None,None,192000,73000,None,119000,119000,None,8740000,None,8740000,2240000,None,4757000,4757000,514000,None,None,None,None,None,None,None,None,None,4243000,None,14186000,None,-537451000,16000,16041923,ONCT
2016-12-31,USD,24502000,24298000,8910000,21869000,None,None,204000,81000,2636000,123000,123000,None,12959000,None,12959000,2429000,None,4611000,4611000,1220000,None,None,None,None,None,None,None,None,None,3391000,None,19891000,None,-531198000,16000,15919572,ONCT
2016-09-30,USD,15749000,15534000,8238000,13438000,None,None,215000,89000,None,126000,126000,None,5200000,None,5200000,2096000,None,3364000,3364000,1223000,None,None,None,None,None,None,None,None,None,2141000,None,12385000,None,-524334000,142000,141915817,ONCT
2016-06-30,USD,21977000,21836000,9572000,19772000,None,None,141000,11000,None,130000,130000,None,10200000,None,10200000,2064000,None,3530000,3530000,1387000,None,None,None,None,None,None,None,None,None,2143000,None,18447000,None,-517420000,142000,141749150,ONCT
