fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,CAD,479207000,231491000,44298000,44298000,103953000,None,247716000,None,None,41646000,41646000,39961000,None,44830000,2499000,33649000,None,155560000,68959000,None,None,None,1454000,86601000,9868000,10000,60000,None,9938000,4165000,4436000,323647000,None,-606925000,892594000,108384615,OGI
2024-09-30,CAD,407860000,262219000,106745000,106745000,82524000,None,145641000,None,None,8092000,8092000,0,None,40773000,1334000,34976000,None,101871000,53322000,None,None,None,1086000,48549000,4370000,25000,60000,None,4455000,5139000,None,305989000,None,-583968000,852891000,108384615,OGI
2024-06-30,CAD,354748000,205652000,79256000,79256000,84079000,None,149096000,None,None,None,None,None,None,34858000,1340000,12104000,None,58892000,47902000,None,None,None,61000,10990000,None,39000,61000,None,100000,8119000,2431000,295856000,None,-578535000,837727000,108384615,OGI
2024-03-31,CAD,331778000,194262000,71804000,71804000,83264000,None,137516000,None,None,None,None,None,None,18867000,802000,9721000,None,59981000,56034000,None,None,None,66000,3947000,None,52000,66000,None,118000,15794000,3125000,271797000,None,-581353000,817342000,91161616,OGI
2023-12-31,CAD,299014000,160289000,41815000,41815000,81234000,None,138725000,None,None,None,None,None,None,16427000,515000,8756000,None,41189000,37466000,None,None,None,71000,3723000,None,65000,71000,None,136000,1762000,3352000,257825000,None,-554278000,776906000,81161630,OGI
2023-09-30,None,298455000,155976000,33864000,33864000,80953000,None,142478999,None,None,None,None,None,None,None,None,11002000,None,26832000,22431000,None,None,None,1089000,4401000,None,None,None,None,4719000,1147000,None,271623000,None,-538528000,776906000,81161630,OGI
2023-06-30,CAD,348515000,180396000,52715000,52715000,81832000,None,168119000,110384000,None,10808000,10808000,6951000,None,14728000,321000,9750000,None,46528000,39770000,None,None,None,80000,6758000,None,100000,80000,None,180000,5127000,3868000,301987000,None,-505615000,775202000,80492621,OGI
2023-03-31,CAD,551739000,204033000,61829000,61829000,88654000,None,347706000,None,None,54499000,54499000,6951000,None,6224000,10453000,10147000,None,42638000,31410000,None,None,None,80000,11228000,None,118000,80000,None,198000,11706000,6974000,509101000,None,-292086000,769978000,78484657,OGI
2022-12-31,CAD,573227000,219523000,70072000,70072000,87210000,None,353704000,262736000,None,55369000,55369000,None,None,6600000,25466000,6145000,None,57983000,46603000,None,None,None,80000,11380000,None,137000,80000,None,217000,13055000,7173000,515244000,None,-284598000,769818000,89044716,OGI
2022-09-30,CAD,573227000,219523000,70072000,70072000,87210000,None,353704000,None,None,None,None,None,None,6600000,25466000,None,None,57983000,46603000,None,None,None,None,11380000,None,137000,80000,None,None,12448000,7173000,515244000,None,-284598000,None,78464228,OGI
2022-06-30,CAD,583565000,227755000,127336000,127336000,60579000,None,355810000,250469000,None,15283000,15283000,41979000,None,6802000,320000,5285000,None,72205000,54649000,None,None,None,4968000,17556000,7331000,174000,80000,None,7585000,10705000,2569000,511360000,None,-283783000,769443000,311058983,OGI
2022-03-31,CAD,585102000,236559000,82287000,82287000,56187000,None,348543000,240924000,None,16142000,16142000,41979000,None,7915000,68754000,6309000,None,71716000,46962000,None,None,None,4973000,24754000,7573000,192000,80000,None,7845000,16438000,3805000,513386000,None,-280996000,769401000,311307692,OGI
2021-12-31,CAD,545365000,247255000,99710000,99710000,46420000,None,298110000,239537000,None,2574000,2574000,14090000,None,5895000,68617000,6689000,None,62680000,29421000,None,None,None,80000,33259000,2863000,211000,80000,None,3154000,2338000,5356000,482685000,None,-276949000,734331000,81562500,OGI
2021-08-31,CAD,554017000,260615000,55365000,55365000,48818000,None,293402000,235939000,None,2725000,2725000,14321000,None,6113000,128478000,6957000,None,74212000,26266000,None,None,None,80000,47946000,4651000,230000,80000,None,4961000,2750000,5538000,479805000,None,-275644000,730803000,286285714,OGI
2021-03-31,CAD,392764000,132254000,None,None,43374000,None,260510000,240253000,None,None,None,None,None,None,10000000,126782000,None,125535000,19856000,None,None,None,3516000,105679000,3516000,None,None,None,3516000,6048000,105679000,-245665000,None,-245665000,489268000,58163695,OGI
2020-12-31,CAD,473372000,208377000,103900000,103900000,53921000,None,264995000,243706000,None,1759000,1759000,None,None,10669000,30276000,5492000,None,154719000,78256000,None,None,None,61146000,76463000,3727000,54173000,61146000,None,119046000,17110000,267000,318653000,None,-179276000,473708000,50798036,OGI
2020-06-30,CAD,417624000,170204000,24600000,24600000,71759000,None,247420000,247420000,None,1772000,1772000,None,None,7001000,50128000,23717000,None,118097000,29081000,None,None,None,11595000,89016000,2617000,103671000,11595000,None,103671000,-11595000,231000,299527000,None,-144940000,420673000,48627765,OGI
2020-03-31,CAD,502276000,208334000,41086000,41086000,140831000,None,293942000,279109000,None,3274000,3274000,None,None,8890000,153000,27443000,None,124175000,111582000,None,None,None,84908000,12593000,1777000,295000,84908000,None,86980000,26674000,546000,378101000,None,-16479000,372742000,41219280,OGI
2019-09-30,CAD,469484000,191765000,33956000,33956000,125206000,None,277719000,261083000,None,3133000,3133000,None,None,10751000,176000,23276000,None,140663000,48972000,None,None,None,6081000,91691000,1861000,78418000,6081000,None,86360000,42891000,739000,328821000,None,-9646000,318191000,40236481,OGI
2019-06-30,CAD,427989000,232471000,47190000,47190000,114238000,None,195518000,180595000,None,1530000,1530000,None,None,12716000,40562000,20055000,None,91610000,25674000,None,None,None,2273000,65936000,None,47196000,2273000,None,49469000,23401000,1981000,336379000,None,13671000,305950000,39593302,OGI
