fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,2441130000,2225150000,2225150000,2225150000,None,None,109203000,22400000,None,None,None,None,111298000,None,None,86803000,None,27948000,27948000,None,None,None,2803000,None,None,None,None,None,None,9003000,None,2409715000,None,3950345000,1073000,107327691,EQC
2024-06-30,USD,2463741000,2200000000,2200000000,2200000000,None,None,44060000,44060000,None,None,None,None,234288000,None,None,-2213080000,None,25954000,25954000,None,None,None,None,25954000,None,None,None,None,None,-22291000,None,2434284000,None,3976534000,1073000,107327691,EQC
2024-03-31,USD,2439686000,2170834000,2170834000,2170834000,None,None,44060000,44060000,None,None,None,None,235344000,None,None,-2187427000,None,26358000,26358000,None,None,None,None,26358000,None,None,None,None,None,-22999000,None,2408352000,None,3952384000,1072000,107223284,EQC
2023-12-31,USD,2425041000,2160535000,2160535000,2160535000,None,None,44060000,44060000,None,None,None,None,231352000,None,None,-2176272000,None,34928000,34928000,None,None,None,None,34928000,None,None,None,None,None,-29288000,None,2385067000,None,3926979000,1068000,106847438,EQC
2023-09-30,USD,2393786000,2100000000,2100000000,2100000000,None,None,44060000,44060000,None,None,None,None,232767000,None,None,-2142962000,None,31550000,31550000,None,None,None,None,31550000,None,None,None,None,None,6390000,None,2354263000,None,3900430000,1067000,106712046,EQC
2023-06-30,USD,2421843000,2153047000,2153047000,2153047000,None,None,44060000,44060000,None,None,None,None,234908000,None,None,-2169198000,None,30016000,30016000,None,None,None,3132000,30016000,None,None,None,None,None,6868000,None,2383975000,None,3874284000,1097000,109730457,EQC
2023-03-31,USD,2399324000,2100000000,2100000000,2100000000,-1,None,44060000,44060000,None,None,None,None,236836000,None,None,-2144294000,None,30252000,30252000,None,None,None,2815000,22457000,None,None,None,None,None,7795000,None,2361417000,None,3858500000,1097000,109701592,EQC
2022-12-31,USD,2854885000,2600000000,2582222000,2600000000,None,None,44060000,44060000,None,None,None,None,238593000,None,17778000,-2598231000,None,31153000,31153000,None,None,None,2355000,5218000,None,0,None,None,0,2863000,None,2816528000,None,3835815000,1094000,109428252,EQC
2022-09-30,USD,2968520000,2692354000,2692354000,2692354000,None,None,44060000,44060000,None,None,None,None,241463000,None,None,-2708588000,None,137925000,137925000,None,None,None,2637000,116221000,None,None,None,None,None,113584000,None,2823453000,None,3814940000,1106000,110651571,EQC
2022-06-30,USD,2968480000,2691503000,2691503000,2691503000,None,None,44060000,44060000,None,None,None,None,244599000,None,None,-2707463000,None,22658000,22658000,None,None,None,2763000,21382000,None,None,None,None,None,1276000,None,2938429000,None,3802750000,1112000,111241842,EQC
