fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,745508000,475442000,55367000,121859000,None,455995000,270066000,56781000,40140000,47820000,None,47820000,541435000,None,66492000,87852000,6205000,524104000,358896000,6787000,None,None,6231000,114080000,21446000,None,None,None,21446000,296193000,10788000,221404000,None,199995000,258000,25784000,BBSI
2024-09-30,USD,725768000,452685000,14429000,94363000,None,256545000,273083000,55633000,None,47820000,None,47820000,631815000,None,79934000,101498000,5995000,510382000,344879000,4222000,None,None,6304000,109928000,21720000,None,None,None,21720000,334353000,10954000,215386000,None,192023000,259000,25937000,BBSI
2024-06-30,USD,688587000,421474000,40348000,110448000,1,212749000,267113000,54240000,None,47820000,None,47820000,531720000,None,70100000,17459000,6352000,489626000,332830000,4396000,None,None,12490000,119921000,21465000,None,None,None,21465000,315944000,9748000,198961000,None,182160000,259000,25949000,BBSI
2024-03-31,USD,747800000,475295000,51267000,123677000,None,208095000,272505000,51222000,None,47820000,None,47820000,707492000,None,72410000,18513000,6346000,558211000,387994000,5697000,None,None,12690000,127093000,21939000,None,None,None,21939000,369607000,9689000,189589000,None,174125000,65000,6536000,BBSI
2023-12-31,USD,721538000,447502000,71168000,152195000,None,179394000,274036000,50295000,34466000,47820000,34620000,47820000,704599000,None,81027000,18443000,6222000,522398000,343252000,6593000,None,None,13246000,140247000,21213000,None,None,None,21213000,323413000,8987000,199140000,None,182935000,263000,6572000,BBSI
2023-09-30,USD,690008000,427461000,41579000,129232000,75876000,205217000,262547000,48679000,None,47820000,None,47820000,638002000,None,87653000,17136000,3765000,509562000,341109000,5268000,None,None,6753000,137229000,19802000,None,None,None,19802000,328302000,7923000,180446000,None,175210000,66000,6617000,BBSI
2023-06-30,USD,671904000,417655000,48347000,133005000,68970000,198055000,254249000,48354000,None,47820000,None,47820000,590129000,None,84658000,17625000,3995000,493935000,335818000,5701000,None,None,6882000,150117000,21118000,None,None,None,21118000,318744000,8000000,177969000,None,169296000,67000,6686000,BBSI
2023-03-31,USD,676390000,449506000,52635000,132723000,108165000,188013000,226884000,47272000,None,47820000,None,47820000,622938000,None,80088000,20605000,3358000,502912000,338388000,5384000,None,None,7029000,156967000,20588000,None,None,None,20588000,325975000,164524000,173478000,None,163793000,68000,6800000,BBSI
2022-12-31,USD,686938000,454362000,91423000,159748000,110989000,163838000,232576000,45954000,31844000,47820000,28631000,47820000,624426000,None,68325000,19787000,3281000,509096000,334731000,8264000,None,None,6957000,173095000,21182000,None,None,None,21182000,308070000,174365000,177842000,None,172623000,69000,6871000,BBSI
2022-09-30,USD,696990000,460782000,58951000,132136000,113942000,194537000,236208000,43221000,None,47820000,None,47820000,645781000,None,73185000,20167000,3339000,525627000,341755000,4553000,None,None,6908000,177211000,22313000,0,None,None,22313000,319797000,183872000,171363000,None,170745000,70000,6962000,BBSI
2022-06-30,USD,756274000,510534000,34098000,111401000,111905000,266870000,245740000,41726000,None,47820000,None,47820000,680801000,None,77303000,20358000,2438000,581776000,389768000,4321000,None,None,6716000,185647000,19983000,0,None,None,19983000,371635000,192008000,174498000,None,165389000,71000,7314000,BBSI
2022-03-31,USD,784517000,516370000,46074000,127408000,113427000,256296000,268147000,41595000,None,47820000,None,47820000,741451000,None,81334000,19239000,2608000,598805000,391903000,4332000,None,None,6603000,199753000,19603000,0,None,None,19603000,380968000,206902000,185712000,None,168292000,73000,7314000,BBSI
2021-12-31,USD,746952000,406719000,69405000,166168000,67238000,155707000,340233000,36277000,31531000,47820000,23332000,47820000,809947000,None,96763000,17606000,2474000,538422000,315396000,4485000,None,3510000,10701000,221964000,21789000,3510000,3510000,None,3510000,298523000,221339000,208530000,None,178323000,74000,7415000,BBSI
2021-09-30,USD,808967000,463285000,12860000,115569000,82273000,242025000,345682000,35965000,None,47820000,None,47820000,851763000,None,102709000,23418000,2657000,601334000,356974000,4483000,None,3565000,11000000,237440000,23155000,3565000,3565000,None,3565000,341491000,241414000,207633000,None,176113000,75000,7505000,BBSI
2021-06-30,USD,866118000,462417000,2469000,109753000,104640000,229587000,403701000,35515000,None,47820000,None,47820000,991770000,None,107284000,18437000,2794000,666696000,406848000,4606000,None,221000,7969000,252938000,24273000,221000,221000,3399000,221000,394273000,253121000,199422000,None,167445000,75000,7523000,BBSI
2021-03-31,USD,842655000,472122000,28545000,142687000,99183000,215639000,370533000,35400000,None,47820000,None,47820000,559780000,None,114142000,14613000,2818000,658170000,369806000,5611000,None,221000,8227000,281726000,24393000,221000,221000,3455000,221000,355968000,282398000,184485000,None,155612000,76000,7554000,BBSI
2020-12-31,USD,774950000,407875000,68688000,169932000,96991000,124991000,367075000,34916000,27144000,47820000,16953000,47820000,788908000,None,101244000,15961000,3161000,576715000,290637000,4746000,None,221000,7760000,285053000,23958000,221000,221000,3510000,221000,273613000,278050000,198235000,None,165710000,76000,7566000,BBSI
2020-09-30,USD,823279000,466465000,61193000,147872000,90608000,214102000,356814000,35148000,None,47820000,None,47820000,763602000,None,86679000,13883000,5081000,625967000,345987000,6447000,None,221000,7524000,274632000,24658000,221000,221000,3565000,221000,332016000,273468000,197312000,None,165649000,76000,7646000,BBSI
2020-06-30,USD,772338000,421516000,62210000,129683000,82567000,191889000,350822000,35278000,None,47820000,None,47820000,796144000,None,67473000,17377000,3707000,592450000,316010000,4951000,None,221000,7465000,271571000,25874000,221000,221000,3620000,221000,303594000,270135000,179888000,None,149430000,76000,7598000,BBSI
2020-03-31,USD,859587000,398437000,14272000,93645000,120054000,168227000,457825000,34163000,None,47820000,None,47820000,657164000,None,79373000,16511000,3489000,698311000,343393000,4333000,None,7267000,7267000,350576000,26531000,221000,221000,3675000,221000,331793000,351243000,161276000,None,140192000,75000,7505000,BBSI
2019-12-31,USD,860929000,423848000,44570000,127160000,116873000,164896000,434293000,31724000,24566000,47820000,11782000,47820000,743347000,None,82590000,14919000,3618000,689130000,342122000,5993000,None,6892000,6892000,345826000,24554000,221000,221000,3730000,221000,326449000,343278000,171799000,None,148678000,75000,7514000,BBSI
2019-09-30,USD,870180000,448343000,35452000,137200000,107702000,187467000,416314000,29575000,None,47820000,None,47820000,736966000,None,101748000,15974000,3253000,710009000,367789000,5432000,None,6669000,6669000,338114000,24354000,221000,221000,3785000,221000,352280000,338435000,160171000,None,139218000,75000,7494000,BBSI
2019-06-30,USD,834203000,388187000,23693000,100964000,108275000,163228000,421011000,27999000,None,47820000,None,47820000,706719000,None,77271000,15720000,3329000,696736000,347575000,4824000,None,221000,6602000,326287000,25482000,221000,221000,3840000,221000,333479000,345321000,137467000,None,116496000,74000,7414000,BBSI
2019-03-31,USD,817901000,336657000,38223000,38792000,127076000,154157000,456322000,25641000,None,47820000,None,47820000,649243000,1549000,569000,16632000,3425000,698028000,359905000,5357000,None,221000,6520000,315612000,25321000,221000,221000,3896000,221000,6299000,334227000,119873000,None,104442000,74000,7410000,BBSI
2018-12-31,USD,756089000,321673000,35371000,35787000,120409000,151597000,434416000,24812000,21650000,47820000,None,47820000,645035000,1687000,416000,13880000,3474000,637052000,326738000,4336000,None,221000,221000,309129000,None,221000,221000,3951000,221000,313723000,306363000,119037000,None,108594000,74000,7395000,BBSI
2018-09-30,USD,743341000,322773000,34975000,34975000,112385000,162574000,420568000,26731000,None,47820000,47820000,47820000,377524000,1649000,395000,12444000,3148000,643412000,342819000,4464000,None,221000,221000,299317000,None,221000,221000,4006000,221000,28600000,296587000,99929000,None,93587000,74000,7381000,BBSI
2018-06-30,USD,708455000,307159000,33786000,33786000,108196000,154889000,401296000,26148000,None,47820000,47820000,47820000,404647000,1578000,464000,9824000,3169000,623580000,329891000,3951000,None,221000,221000,292336000,None,221000,221000,4061000,221000,28064000,289628000,84875000,None,76344000,73000,7311000,BBSI
2018-03-31,USD,690121000,290218000,24000000,24472000,104939000,151805000,401510000,25068000,None,47820000,47820000,47820000,402889000,1607000,472000,9002000,15322000,614681000,330189000,3884000,None,221000,221000,283129000,None,221000,221000,4116000,221000,27361000,280376000,75440000,None,66931000,73000,7307000,BBSI
2017-12-31,USD,682485000,308235000,59835000,60509000,103652000,138350000,375449000,24909000,18500000,47820000,47820000,47820000,390679000,1199000,674000,5724000,3215000,593651000,322255000,5166000,None,221000,221000,270015000,None,221000,221000,4171000,221000,311034000,267225000,88834000,None,77880000,73000,7301000,BBSI
2017-09-30,USD,659230000,290020000,35570000,36366000,90681000,156368000,370401000,26296000,None,47820000,47820000,47820000,368512000,1191000,796000,6605000,3376000,578568000,317869000,4033000,None,221000,221000,259310000,None,221000,221000,4226000,221000,27559000,256473000,80662000,None,69221000,73000,7300000,BBSI
2017-06-30,USD,609799000,262069000,17865000,18830000,87516000,147141000,348320000,27035000,None,47820000,47820000,47820000,344122000,590000,965000,8582000,3196000,541936000,294728000,4945000,None,221000,221000,245911000,None,221000,221000,4263000,221000,26084000,242945000,67863000,None,56260000,73000,7256000,BBSI
2017-03-31,USD,597417000,219665000,18429000,19402000,51078000,142355000,378085000,26633000,None,47820000,47820000,47820000,321083000,333000,973000,6830000,20958000,539872000,297767000,3509000,None,4557000,4557000,240752000,None,4557000,4557000,None,4557000,24204000,242105000,57545000,None,46946000,73000,7252000,BBSI
2016-12-31,USD,581888000,235383000,50768000,56443000,73799000,126484000,337777000,26673000,19335000,47820000,47820000,47820000,304685000,642000,5675000,3899000,9293000,512195000,275164000,4944000,None,221000,221000,251462000,None,221000,221000,4392000,221000,244757000,232639000,69693000,None,59986000,72000,7244000,BBSI
2016-09-30,USD,579805000,244375000,26786000,27799000,72865000,140074000,336293000,25790000,None,47820000,47820000,47820000,298725000,863000,1013000,3637000,15937000,517425000,284031000,4520000,None,221000,221000,231951000,None,221000,221000,4447000,221000,24997000,215691000,62380000,None,53532000,72000,7244000,BBSI
2016-06-30,USD,576721000,252446000,422000,422000,69279000,177927000,91053000,23958000,None,47820000,47820000,47820000,None,2362000,48371000,4818000,4551000,523433000,299011000,4458000,None,7721000,7721000,223023000,None,7721000,7721000,4502000,7721000,24262000,206664000,53288000,None,44892000,72000,7210000,BBSI
2016-03-31,USD,565645000,278302000,43464000,43464000,107051000,168103000,87791000,23439000,None,47820000,47820000,47820000,None,895000,5071000,3173000,4742000,519993000,308317000,3940000,None,19778000,19833000,210284000,None,19778000,19778000,None,19778000,195371000,198420000,45652000,None,37957000,72000,7210000,BBSI
2015-12-31,USD,496777000,227009000,25218000,25218000,None,91567000,87934000,22820000,18060000,47820000,47820000,47820000,301118000,6082000,76110000,3173000,5130000,442226000,237393000,3217000,None,19833000,19833000,203350000,None,19833000,19833000,0,19833000,142596000,191577000,54551000,None,47546000,72000,7203000,BBSI
