Date,Open,High,Low,Close,Volume
2014-06-27,67.5034,77.4304,67.5034,73.9889,2197668.2
2014-06-30,74.8891,74.8891,70.005,70.4815,1256568.5
2014-07-01,71.4742,76.2392,71.0771,75.2862,2086952.4
2014-07-02,76.4377,76.676,72.864,73.6979,3024787.3
2014-07-03,75.445,75.9612,73.2611,75.9612,537863.0
2014-07-07,75.2862,76.2392,73.4596,75.0479,674084.8
2014-07-08,75.0479,79.4158,71.911,77.0333,2899109.8
2014-07-09,76.2392,79.4158,75.2465,78.2246,862035.8
2014-07-10,77.4304,79.6541,76.2392,79.4158,1338371.8
2014-07-11,78.8599,79.4555,77.6687,78.8599,895977.3
2014-07-14,79.2173,80.0511,76.1598,78.6216,1043183.8
2014-07-15,77.8275,78.7011,75.2465,76.2392,1110120.6
2014-07-16,75.8421,76.2392,73.9361,74.7303,896834.7
2014-07-17,74.7303,75.9612,73.7773,75.1274,530665.4
2014-07-18,75.6833,76.7157,74.8097,76.2392,348340.4
2014-07-21,76.1995,76.5568,74.4126,75.2862,150370.1
2014-07-22,74.77,76.0009,74.6509,74.77,320072.3
2014-07-23,75.445,75.445,74.492,75.1274,162924.6
2014-07-24,74.6509,75.6038,74.2141,74.9288,158107.0
2014-07-25,74.77,75.445,73.2214,74.9685,187880.0
2014-07-28,74.0949,74.9685,74.0949,74.492,199226.5
2014-07-29,74.2141,74.9685,74.1347,74.4523,159991.8
2014-07-30,74.4523,74.8097,73.1022,73.2214,276342.1
2014-07-31,72.4669,72.6655,70.958,71.1169,503864.8
2014-08-01,70.8786,72.7846,70.5212,70.6006,371878.5
2014-08-04,71.0771,71.3551,69.9653,70.3624,327773.8
2014-08-05,70.8389,75.6436,70.8389,71.7919,1777986.2
2014-08-06,71.4345,71.8316,70.4617,71.0374,600245.2
2014-08-07,70.8389,73.6184,70.7992,72.2684,511237.9
2014-08-08,71.9904,72.864,71.8713,72.7846,242424.7
2014-08-11,72.7846,74.8494,72.3954,74.6906,552980.9
2014-08-12,74.6906,75.1671,73.142,73.3008,181113.7
2014-08-13,72.9037,73.539,72.1095,72.9434,321993.6
2014-08-14,72.586,73.1817,72.3875,73.142,122148.0
2014-08-15,71.9904,73.7134,71.9904,73.2611,186829.6
2014-08-18,73.3405,74.2141,73.1817,73.6184,174638.8
2014-08-19,73.3008,73.6979,72.7052,72.9037,298718.8
2014-08-20,72.4669,75.2068,71.8713,75.2068,299368.8
2014-08-21,73.6582,74.4722,73.142,74.2935,368589.7
2014-08-22,74.2935,74.4126,73.3405,73.8567,221963.4
2014-08-25,73.8567,74.4126,73.4993,74.2538,111507.5
2014-08-26,74.4523,74.8891,73.8567,74.7303,232365.6
2014-08-27,74.5714,74.6906,73.4596,74.1073,266799.5
2014-08-28,74.3332,74.4523,73.4993,73.6582,189107.2
2014-08-29,73.4993,74.2141,73.2611,73.4199,238426.6
2014-09-02,73.7773,74.6509,73.3008,74.4523,319421.2
2014-09-03,73.9758,78.8202,73.8964,76.4377,360489.2
2014-09-04,76.5965,78.1452,75.306,75.8024,626047.0
2014-09-05,75.5244,78.5025,75.445,78.2643,470187.2
2014-09-08,77.7084,78.1452,76.7157,77.1127,189804.7
2014-09-09,76.676,78.5621,76.4762,78.0657,462898.2
2014-09-10,78.4628,78.7805,76.8348,77.073,221426.8
2014-09-11,76.4377,77.212,76.1995,77.1127,385583.7
2014-09-12,76.8348,77.1127,75.4847,76.0406,551679.6
2014-09-15,76.0803,76.398,74.492,75.2465,244137.8
2014-09-16,74.8494,75.2862,73.5787,74.9685,292257.9
2014-09-17,75.4847,75.9612,74.9288,75.2068,177057.4
2014-09-18,77.4304,77.4304,74.7303,75.0479,363971.5
2014-09-19,75.0479,75.7428,74.0552,75.445,593743.6
2014-09-22,74.8097,75.8818,73.5192,74.0949,425171.3
2014-09-23,74.0155,74.1744,73.0228,73.3008,376633.1
2014-09-24,73.539,73.6979,72.4669,73.0625,174485.3
2014-09-25,73.0625,73.6184,72.3478,73.3802,181292.2
2014-09-26,73.4199,74.3928,72.9514,74.0949,155310.6
2014-09-29,73.9361,74.6906,72.9434,73.9361,202762.6
2014-09-30,73.8567,73.9361,72.7052,73.142,243977.2
2014-10-01,73.0625,73.0625,71.6529,72.1095,236216.9
2014-10-02,71.9904,72.4272,70.6467,72.3478,331618.9
2014-10-03,72.9037,74.4523,72.864,74.0949,239969.0
2014-10-06,74.1744,75.445,73.9758,75.445,337509.7
2014-10-07,74.9685,74.9685,74.3332,74.7303,305421.0
2014-10-08,74.8494,75.445,73.539,75.1274,221843.2
2014-10-09,75.2465,75.2465,72.6258,72.6258,332768.9
2014-10-10,72.4669,73.142,68.9726,68.9726,863464.2
2014-10-13,68.8932,68.9726,65.2004,65.3592,661871.0
2014-10-14,65.2798,66.4313,63.5724,66.3122,1118522.6
2014-10-15,66.3122,68.3373,63.7709,66.7093,445502.8
2014-10-16,65.9151,67.702,65.8357,66.6299,334849.6
2014-10-17,66.9078,70.1242,66.9078,68.7741,394193.0
