fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,None,562000000,None,None,None,None,72265240,15000000,None,None,None,None,-329000000,None,None,None,None,87000000,87000000,None,None,None,None,-454000000,None,None,None,281000000,IHG
2024-06-30,None,162000000,None,None,None,None,72000000,14000000,None,None,None,None,-565000000,None,None,None,None,172000000,172000000,None,None,None,None,-377000000,None,None,None,347000000,IHG
2023-12-31,USD,578000000,None,None,None,None,-21000000,17000000,None,None,None,None,143000000,None,None,None,None,79000000,79000000,None,None,None,None,-419000000,None,None,None,291000000,IHG
2023-09-30,None,289000000,None,None,None,None,-10500000,8500000,None,None,None,None,71500000,None,None,None,None,39500000,39500000,None,None,None,None,-209500000,None,None,None,145500000,IHG
2023-06-30,USD,315000000,None,None,None,None,77000000,11000000,None,None,None,-21500000,-560000000,None,None,None,None,166000000,166000000,None,None,None,None,-379000000,None,None,None,459000000,IHG
2023-03-31,USD,157500000,None,None,None,None,38500000,5500000,None,None,None,-21500000,-280000000,None,None,None,None,83000000,83000000,None,None,None,None,-189500000,None,None,None,229500000,IHG
2022-12-31,USD,471000000,None,None,None,None,-22000000,42000000,None,None,None,-25500000,-789000000,None,None,None,None,79000000,79000000,None,None,None,None,-483000000,None,None,None,159000000,IHG
2022-09-30,USD,235500000,None,None,None,None,-11000000,21000000,None,None,None,-25500000,-394500000,None,None,None,None,39500000,39500000,None,None,None,None,-241500000,None,None,None,79500000,IHG
2022-06-30,USD,175000000,None,None,None,None,36000000,33000000,None,None,None,-13500000,-172000000,None,None,None,None,77000000,77000000,None,None,None,None,None,None,None,None,216000000,IHG
2022-03-31,USD,87500000,None,None,None,None,39000000,6000000,None,None,None,-13500000,-86000000,None,None,None,None,77000000,77000000,None,None,None,None,None,None,None,None,108000000,IHG
2021-12-31,USD,468917864,None,None,None,None,53493155,36483850,None,500000,None,12500000,-23002143,None,None,None,None,77000000,77000000,None,None,None,None,0,None,None,None,220028450,IHG
2021-09-30,USD,231500000,None,None,None,None,7500000,7000000,None,500000,None,12500000,-7500000,None,None,None,None,77000000,77000000,None,None,None,None,None,None,None,None,109000000,IHG
2021-06-30,USD,173000000,None,None,None,None,45000000,16000000,None,500000,None,-18500000,-845000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48000000,IHG
2021-03-31,USD,86500000,None,None,None,None,22500000,1500000,None,500000,None,-18500000,-422500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24000000,IHG
2020-12-31,USD,147474204,None,None,None,None,54014760,17638578,None,500000,None,-10000000,736745201,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-49104327,IHG
2020-09-30,USD,75500000,None,None,None,None,9500000,3000000,None,500000,None,-10000000,380500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-25000000,IHG
2020-06-30,USD,-9000000,None,None,None,None,55000000,57000000,None,500000,None,-20500000,593000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-210000000,IHG
2020-03-31,USD,-7000000,None,None,None,None,27500000,10500000,None,500000,None,-20500000,296500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-105000000,IHG
2019-12-31,USD,464709499,None,None,None,None,60806435,104405864,None,None,None,-57500000,-369870786,None,None,None,None,360000000,360000000,None,None,None,None,-2067202,None,None,None,80061806,IHG
2019-09-30,USD,229500000,None,None,None,None,16500000,23500000,None,None,None,-57500000,-180500000,None,None,None,None,36000000,36000000,None,None,None,None,None,None,None,None,39500000,IHG
2019-06-30,USD,192000000,None,None,None,None,56000000,77000000,None,None,None,-378000000,-299000000,None,None,None,None,324500000,324500000,None,None,None,None,-3000000,None,None,None,306000000,IHG
2019-03-31,USD,97000000,None,None,None,None,28000000,16500000,None,None,None,-189000000,-149500000,None,None,None,None,324500000,324500000,None,None,None,None,-1500000,None,None,None,153000000,IHG
2018-12-31,USD,201500000,None,None,None,None,18000000,16000000,None,None,None,-197000000,68500000,None,None,None,None,34500000,34500000,None,None,None,None,-3000000,None,None,None,58000000,IHG
2018-09-30,USD,201500000,None,None,None,None,18000000,16000000,None,None,None,-43500000,68500000,None,None,None,None,34500000,34500000,None,None,None,None,None,None,None,None,58000000,IHG
2018-06-30,USD,153000000,None,None,None,None,27500000,9500000,None,None,None,-105000000,-43000000,None,None,None,None,65000000,65000000,None,None,None,None,-1500000,None,None,None,116500000,IHG
2018-03-31,USD,153000000,None,None,None,None,27500000,9500000,None,None,None,-51000000,-43000000,None,None,None,None,65000000,65000000,None,None,None,None,-1500000,None,None,None,116500000,IHG
2017-12-31,USD,214000000,None,None,None,None,104500000,12500000,None,None,None,-206000000,-177000000,None,None,None,None,310000000,310000000,None,None,None,None,-3000000,None,None,None,140000000,IHG
2017-09-30,USD,175000000,None,None,None,None,-4500000,12500000,None,None,None,-42000000,-152000000,None,None,None,None,310000000,310000000,None,None,None,None,None,None,None,None,146000000,IHG
2017-06-30,USD,113500000,None,None,None,None,26500000,12500000,None,None,None,-89500000,-71000000,None,None,None,None,265500000,265500000,None,None,None,None,-1500000,None,None,None,124000000,IHG
2017-03-31,USD,113500000,None,None,None,None,26500000,12500000,None,None,None,-89500000,-71000000,None,None,None,None,265500000,265500000,None,None,None,None,-1500000,None,None,None,124000000,IHG
2016-12-31,USD,143000000,None,None,None,None,54500000,8000000,None,None,None,-216000000,-99000000,None,None,None,None,280000000,280000000,None,None,None,None,-10000000,None,None,None,149000000,IHG
2016-09-30,USD,185000000,None,None,None,None,3500000,8000000,None,None,None,-59500000,-99000000,None,None,None,None,280000000,280000000,None,None,None,None,None,None,None,None,107000000,IHG
2016-06-30,USD,191000000,None,None,None,None,24000000,10500000,None,None,None,-49000000,-629000000,None,None,None,None,818500000,818500000,None,None,None,None,-5000000,None,None,None,100000000,IHG
2016-03-31,USD,191000000,None,None,None,None,24000000,10500000,None,None,None,-49000000,-629000000,None,None,None,None,818500000,818500000,None,None,None,None,-5000000,None,None,None,100000000,IHG
2015-12-31,USD,200500000,None,None,None,None,43500000,8500000,None,None,None,589000000,-76000000,None,None,None,None,31500000,31500000,None,None,None,None,-47000000,None,None,None,427500000,IHG
2015-09-30,None,200500000,None,None,None,None,3500000,8500000,None,None,None,None,-76000000,None,None,None,None,31500000,31500000,None,None,None,None,None,None,None,None,427500000,IHG
