fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,None,1948000000,None,None,None,None,232000000,107000000,None,None,None,None,-1782000000,None,None,None,None,425000000,425000000,None,None,None,None,-25000000,None,None,None,337000000,WPP
2024-06-30,None,-540000000,None,None,None,None,262000000,82000000,None,None,None,None,793000000,None,None,None,None,None,None,None,None,None,None,-57000000,None,None,None,205000000,WPP
2024-03-31,None,-270000000,None,None,None,None,121000000,41000000,None,None,None,None,396500000,None,None,None,None,None,None,None,None,None,None,-28500000,None,None,None,102500000,WPP
2023-12-31,GBP,1682300000,None,None,None,None,265899999,96500000,None,None,None,None,-1225100000,None,None,None,None,422800000,422800000,None,None,None,None,-16900000,None,None,None,-1600000,WPP
2023-09-30,None,841150000,None,None,None,None,132949999,48250000,None,None,None,None,-612550000,None,None,None,None,211400000,211400000,None,None,None,None,-8450000,None,None,None,-800000,WPP
2023-06-30,GBP,-445000000,None,None,None,None,258600000,81000000,None,None,None,-144000000,321000000,None,None,None,None,211400000,211400000,None,None,None,None,-37000000,None,None,None,112000000,WPP
2023-03-31,GBP,-222050000,None,None,None,None,129300000,40350000,None,None,None,-144000000,160200000,None,None,None,None,None,None,None,None,None,None,-18500000,None,None,None,56000000,WPP
2022-12-31,GBP,1833400000,None,None,None,None,256800000,106000000,None,None,None,-111450000,-1068500000,None,None,None,None,365400000,365400000,None,None,None,None,-182200000,None,None,None,424800000,WPP
2022-09-30,GBP,916700000,None,None,None,None,128400000,53000000,None,None,None,-111450000,-534250000,None,None,None,None,182700000,182700000,None,None,None,None,-91100000,None,None,None,212400000,WPP
2022-06-30,GBP,-1110800000,None,None,None,None,254900000,117000000,None,None,None,-93000000,-836300000,None,None,None,None,None,None,None,None,None,None,-680500000,None,None,None,257899999,WPP
2022-03-31,GBP,-555400000,None,None,None,None,127450000,51200000,None,None,None,-93000000,-421250000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,128950000,WPP
2021-12-31,GBP,996800000,None,None,None,None,123900000,75800000,None,None,None,-180050000,-706150000,None,None,None,None,157350000,157350000,None,None,None,None,-814100000,None,None,None,192500000,WPP
2021-09-30,GBP,996800000,None,None,None,None,123900000,75800000,None,None,None,-180050000,-706150000,None,None,None,None,157350000,157350000,None,None,None,None,None,None,None,None,192500000,WPP
2021-06-30,GBP,19600000,None,None,None,None,123050000,55800000,None,None,None,-141050000,-322350000,None,None,None,None,157350000,157350000,None,None,None,None,-297600000,None,None,None,126350000,WPP
