fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,295000,0,None,-2089000,2316000,1181000,152000,60000,None,-11406000,2440000,-7637000,None,8327000,8327000,None,None,None,None,None,None,None,-7637000,None,None,None,-11406000,ONTF
2024-06-30,USD,1388000,0,None,-6309000,-2252000,1221000,490000,-3922000,None,-11175000,309000,-4478000,None,5006000,5006000,None,None,None,None,None,None,None,-4398000,None,None,None,-11175000,ONTF
2024-03-31,USD,2138000,2000,None,-6100000,-3984000,1233000,1038000,-8791000,None,-10703000,-32250000,-4636000,None,5270000,5270000,None,None,None,None,None,None,None,-4517000,None,None,None,-10703000,ONTF
2023-12-31,USD,-859000,2937000,None,7590000,14832000,1319000,1107000,12753000,1824000,-9875000,58690000,-15457000,None,15330000,15330000,None,None,None,None,None,None,None,-14787000,None,None,None,-9875000,ONTF
2023-09-30,USD,-2860000,10000,None,-10351000,-3155000,1249000,344000,-4768000,-33000,-11474000,14391000,-25905000,None,25933000,25933000,None,457000,457000,None,None,None,None,-25476000,None,None,None,-11474000,ONTF
2023-06-30,USD,-4316000,15000,None,-8837000,157000,1375000,554000,-1339000,-1791000,-12847000,472000,-71874000,None,22586000,22586000,None,49872000,49872000,None,None,None,None,-21411000,None,-75718000,None,-12847000,ONTF
2023-03-31,USD,-4167000,21000,None,-5498000,-3790000,1417000,178000,-9405000,None,-17590000,88762000,-10947000,None,10720000,10720000,None,71000,71000,None,None,None,None,-10465000,None,73648000,None,-17590000,ONTF
2022-12-31,USD,-7568000,818000,None,4398000,14682000,1463000,1297000,13259000,None,-12130000,5259000,-6754000,None,7319000,7319000,None,None,None,None,None,None,None,-6252000,None,-9063000,None,-12130000,ONTF
2022-09-30,USD,-3455000,672000,None,-11793000,-6996000,1407000,726000,-8096000,None,-14387000,-40549000,234000,None,0,0,None,None,None,None,None,None,None,729000,None,-43770000,None,-14387000,ONTF
2022-06-30,USD,-2668000,663000,None,-2591000,-103000,1339000,690000,-1866000,None,-16212000,-7144000,-7942000,None,8734000,8734000,None,None,None,None,None,None,None,-7320000,None,-15012000,None,-16212000,ONTF
2022-03-31,USD,-6770000,516000,None,-3702000,3403000,1207000,984000,-3779000,None,-15479000,-46547000,-14156000,None,13074000,13074000,None,None,None,None,None,None,None,-11917000,None,-67473000,None,-15479000,ONTF
2021-12-31,USD,-4492000,163000,None,5144000,15073000,1169000,1124000,10986000,-127000,-9509000,-21112000,-7266000,None,7228000,7228000,None,558000,558000,None,None,None,None,-4942000,None,-32870000,None,-9509000,ONTF
2021-09-30,USD,-894000,86000,None,-3881000,609000,1100000,706000,-2026000,1331000,-9400000,-155027000,1932000,None,0,0,None,None,None,None,None,None,None,2487000,None,-8300000,None,-9400000,ONTF
2021-06-30,USD,6871000,147000,None,-1089000,172000,1100000,1214000,-5995000,591000,-2517000,-42531000,-1670000,None,0,0,None,None,None,None,None,None,None,384000,None,-1417000,None,-2517000,ONTF
2021-03-31,USD,3704000,256000,None,4170000,7981000,1160000,520000,-2522000,-4806000,-2830000,-520000,327518000,None,0,0,None,None,None,None,None,None,None,354808000,None,330702000,None,-2830000,ONTF
