fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,None,12970020,None,None,None,None,2918000,1074830,None,-479390,None,None,-14781,None,None,None,None,None,None,None,None,None,None,-3169.45,None,None,None,2452000,RDWR
2024-09-30,USD,14708000,None,None,None,None,2947000,1412000,None,253000,None,None,-16876,None,None,None,None,None,None,None,None,None,None,-3618.58,None,None,None,3144000,RDWR
2024-06-30,USD,14841327,None,None,None,None,2947000,1418627,None,259556,None,None,-16876,None,None,None,None,None,None,None,None,None,None,-3618.58,None,None,None,3144000,RDWR
2024-03-31,USD,22668169,None,None,None,None,3028000,991938,None,729674,None,None,-3041932,None,None,None,None,None,None,None,None,None,None,6875.69,None,None,None,1664000,RDWR
2023-12-31,USD,21122000,None,None,None,None,2943000,1799000,None,1004000,None,None,-839000,None,None,None,None,1,1,None,None,None,None,-839000,None,None,None,-1222000,RDWR
2023-09-30,USD,2581834,None,None,None,None,3028000,887144,None,-2454941,None,20209000,-12103000,None,None,None,None,21431397.49,21431397.49,None,None,None,None,-10103000,None,None,None,-5850000,RDWR
2023-06-30,USD,-9783000,None,None,None,None,3025000,1130000,None,-671000,None,15549000,-20648000,None,None,None,None,82066.07,82066.07,None,None,None,None,-20648000,None,None,None,-6851000,RDWR
2023-03-31,USD,4866000,None,None,None,None,3113000,1595000,None,-1044000,None,9455000,-19653000,None,None,None,None,None,None,None,None,None,None,-19741000,None,None,None,-5808000,RDWR
2022-12-31,USD,-1236000,None,None,None,None,3078000,1768000,None,149000,None,5625000,-12522000,None,None,None,None,None,None,None,None,None,None,-12742000,None,None,None,-3081000,RDWR
2022-09-30,USD,9560000,None,None,None,None,2878000,1768000,None,-574000,None,-2342000,-11469000,None,None,None,None,None,None,None,None,None,None,-12301000,None,None,None,-4124000,RDWR
2022-06-30,USD,1516000,None,None,None,None,3097000,2549000,None,549000,None,-53987000,-5904000,None,None,None,None,None,None,None,None,None,None,-6305000,None,None,None,-2964000,RDWR
2022-03-31,USD,31524000,None,None,None,None,3229000,2333000,None,-148000,None,-53987000,17179000,None,None,None,None,None,None,None,None,None,None,-18060000,None,None,None,3152000,RDWR
2021-12-31,USD,-10452000,None,None,None,None,2488000,32164000,None,325000,None,14995000,-22264000,None,None,None,None,None,None,None,None,None,None,-22826000,None,None,None,3770000,RDWR
2021-09-30,USD,28934000,None,None,None,None,2484000,1653000,None,823000,None,-17453000,-14621000,None,None,None,None,None,None,None,None,None,None,-17449000,None,None,None,-5591000,RDWR
2021-06-30,USD,17879000,None,None,None,None,2527000,1458000,None,797000,None,14232000,1722000,None,None,None,None,None,None,None,None,None,None,-195000,None,None,None,4965000,RDWR
2021-03-31,USD,8789000,None,None,None,None,2537000,1159000,None,211000,None,-3925000,-943000,None,None,None,None,None,None,None,None,None,None,-4638000,None,None,None,4532000,RDWR
2020-12-31,USD,16170000,None,None,None,None,2648000,1333000,None,524000,None,-7604000,-28037000,None,None,None,None,None,None,None,None,None,None,-30189000,None,None,None,3905000,RDWR
2020-09-30,USD,16078000,None,None,None,None,2676000,2045000,None,-645000,None,3939000,-2132000,None,None,None,None,None,None,None,None,None,None,-5750000,None,None,None,2802000,RDWR
2020-06-30,USD,6800000,None,None,None,None,2616000,1629000,None,816000,None,-6266000,-10960000,None,None,None,None,None,None,None,None,None,None,-15907000,None,None,None,3587000,RDWR
2020-03-31,USD,17960000,None,None,None,None,2637000,2554000,None,748000,None,-4437000,-3251000,None,None,None,None,None,None,None,None,None,None,-5000000,None,None,None,673000,RDWR
2019-12-31,USD,20973000,None,None,None,None,2630000,2452000,None,-914000,None,-953000,-17080000,None,None,None,None,None,None,None,None,None,None,-18669000,None,None,None,2574000,RDWR
2019-09-30,USD,3959000,None,None,None,None,2789000,2002000,None,1143000,None,-9408000,-2210000,None,None,None,None,None,None,None,None,None,None,-5615000,None,None,None,7331000,RDWR
2019-06-30,USD,20262000,None,None,None,None,3106000,1810000,None,881000,None,-16417000,-5090000,None,None,None,None,None,None,None,None,None,None,-8841000,None,None,None,7121000,RDWR
2019-03-31,USD,5143000,None,None,None,None,2701000,2382000,None,1221000,None,-24015000,-6896000,None,None,None,None,None,None,None,None,None,None,-10005000,None,None,None,3746000,RDWR
2018-12-31,USD,23488000,None,None,None,None,2687000,1990000,None,1216000,None,-36697000,7685000,None,None,None,None,None,None,None,None,None,None,-48000,None,None,None,4368000,RDWR
2018-09-30,USD,25697000,None,None,None,None,2402000,3998000,None,2062000,None,-17630000,-3361000,None,None,None,None,None,None,None,None,None,None,-4275000,None,None,None,7943000,RDWR
2018-06-30,USD,8831000,None,None,None,None,2433000,1595000,None,-2020000,None,-10809000,6688000,None,None,None,None,None,None,None,None,None,None,7940000,None,None,None,3113000,RDWR
2018-03-31,USD,2559000,None,None,None,None,2443000,1187000,None,477000,None,-20366000,7939000,None,None,None,None,None,None,None,None,None,None,4950000,None,None,None,1674000,RDWR
2017-12-31,USD,12164000,None,None,None,None,2504000,2089000,None,-148000,None,-56342000,4952000,None,None,None,None,None,None,None,None,None,None,7500000,None,None,None,-995000,RDWR
2017-09-30,USD,7956000,None,None,None,None,2567000,1631000,None,-48000,None,-2833000,7501000,None,None,None,None,None,None,None,None,None,None,-413000,None,None,None,2121000,RDWR
2017-06-30,USD,5839000,None,None,None,None,2861000,1240000,None,731000,None,-9635000,438000,None,None,None,None,None,None,None,None,None,None,-413000,None,None,None,-1477000,RDWR
2017-03-31,USD,11364000,None,None,None,None,2987000,2475000,None,-1063000,None,-40124000,1228000,None,None,None,None,None,None,None,None,None,None,-10268000,None,None,None,-4059000,RDWR
2016-12-31,USD,6304000,None,None,None,None,2819000,1882000,None,-1278000,None,28359000,1310000,None,None,None,None,None,None,None,None,None,None,-10268000,None,None,None,-4078000,RDWR
2016-09-30,USD,23280000,None,None,None,None,2663000,1386000,None,-302000,None,1237000,-9620000,None,None,None,None,None,None,None,None,None,None,-10268000,None,None,None,-2133000,RDWR
2016-06-30,USD,-1272000,None,None,None,None,2614000,2564000,None,-631000,None,-13000000,330000,None,None,None,None,None,None,None,None,None,None,-4932000,None,None,None,-2447000,RDWR
2016-03-31,USD,7795000,None,None,None,None,2561000,2881000,None,395000,None,None,-5006000,None,None,None,None,None,None,None,None,None,None,-4932000,None,None,None,-1327000,RDWR
2015-12-31,USD,8809000,None,None,None,None,2534000,2629000,None,-254000,None,-6853000,-6780000,None,None,None,None,None,None,None,None,None,None,-6780000,None,None,None,-2752000,RDWR
2015-09-30,USD,-2700000,None,None,None,None,2437000,3551000,None,-78000,None,None,-23682000,None,None,None,None,None,None,None,None,None,None,-24780000,None,None,None,661000,RDWR
2015-06-30,USD,14415000,None,None,None,None,2348000,4247000,None,-60000,None,None,5723000,None,None,None,None,None,None,None,None,None,None,5500000,None,None,None,7186000,RDWR
2015-03-31,USD,11772000,None,None,None,None,2205000,3004000,None,591000,None,None,-17287000,None,None,None,None,None,None,None,None,None,None,-19727000,None,None,None,6459000,RDWR
2014-12-31,USD,22512000,None,None,None,None,2173000,4473000,None,-502000,None,-36032000,7972000,None,None,None,None,None,None,None,None,None,None,-5012000,None,None,None,9160000,RDWR
2014-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7756000,RDWR
2014-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3947000,RDWR
2014-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4083000,RDWR
2013-12-31,USD,30200000,None,None,None,None,8086000,8712000,None,-1569000,None,-29987000,-194000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5722000,RDWR
2013-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2902000,RDWR
2013-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4945000,RDWR
2013-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4486000,RDWR
2012-12-31,USD,51520000,None,None,None,None,None,9337000,None,None,None,None,11028000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9111000,RDWR
2012-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8221999,RDWR
2012-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7551000,RDWR
2012-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6873000,RDWR
