fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,-20162771,None,None,-16989487,7058696,1565621,2447822,7132738,None,1436837,-2447822,-355695,None,360495,360495,None,None,None,None,None,None,None,4800,None,None,None,1436837,PAYS
2024-06-30,USD,20552194,None,None,7924467,-9569442,1439622,2366964,-9683440,None,697102,-2366964,24000,None,0,0,None,None,None,None,None,None,None,0,None,None,None,697102,PAYS
2024-03-31,USD,8244499,None,None,25421307,19615573,1286405,2273081,19275636,None,309096,-2273081,0,None,0,0,None,None,None,None,None,None,None,0,None,None,None,309096,PAYS
2023-12-31,USD,23440560,3750000,None,29074884,8932601,1178384,2048692,9157571,348095,5622409,-2048692,0,None,0,0,None,None,None,None,None,None,None,0,None,None,None,5622409,PAYS
2023-09-30,USD,4028716,0,None,690807,-381759,1045177,1955876,-336718,-1125151,1100604,-1955876,-150217,0,150217,150217,None,None,None,None,None,0,None,-150217,None,None,None,1100604,PAYS
2023-06-30,USD,-3079257,0,None,-6905059,-2047125,958001,1386214,-1755436,777056,-104156,-1386214,-302049,0,311649,311649,None,None,None,None,None,0,None,-302049,None,-4767520,None,-104156,PAYS
2023-03-31,USD,3230605,0,None,7334878,5505338,845016,1657896,4622665,None,-160130,-1657896,-666018,0,666018,666018,None,None,None,None,None,0,None,-666018,None,906691,None,-160130,PAYS
2022-12-31,USD,-5636343,0,None,-7484501,393662,778378,1507674,648006,None,713095,-1507674,0,0,0,0,None,None,None,None,None,0,None,0,None,None,None,713095,PAYS
2022-09-30,USD,14554842,-600,None,13046552,744238,738883,1008800,544226,-1040716,888292,-1008800,0,0,0,0,None,None,None,None,None,0,None,0,None,None,None,852109,PAYS
2022-06-30,USD,11262321,-142392,None,10826264,631434,713180,900349,502925,1379446,-201118,-900349,0,0,0,0,None,None,None,None,None,0,None,0,None,None,None,-228034,PAYS
2022-03-31,USD,5137144,143213,None,4499653,394591,679171,674860,11927,-1189087,-307498,-674860,0,0,0,0,None,None,None,None,None,0,None,0,None,None,None,-309395,PAYS
2021-12-31,USD,-803407,-428089,None,350071,2432329,659564,712983,2732717,-1852642,112964,-712983,0,0,None,None,None,None,None,None,None,0,None,0,None,-1516390,None,105166,PAYS
2021-09-30,USD,-1550157,142992,None,-1940454,533976,628324,705125,732487,None,-271006,-705125,72000,0,None,None,None,None,None,None,None,0,None,72000,None,817917,None,-271006,PAYS
2021-06-30,USD,7677254,-140819,None,7384096,106260,614182,649353,312378,None,-931167,-649353,9675,0,None,None,None,None,None,None,None,0,None,9675,None,-308110,None,-931967,PAYS
2021-03-31,USD,9904499,142992,None,10671836,553337,595848,612203,-19283,-572620,-1621927,-612203,110466,0,None,None,None,None,None,None,None,0,None,110466,None,9402762,None,-1623527,PAYS
2020-12-31,USD,1197013,-323648,None,16252249,-3746059,578117,787667,-137284,-596428,-645101,-787667,8880,0,None,None,None,None,None,None,None,0,None,8880,None,418226,None,-4311158,PAYS
2020-09-30,USD,8314857,132992,None,-995759,2254898,537792,1445719,128559,None,-8412662,-496691,139680,0,None,None,None,None,None,None,None,0,None,139680,None,-4675814,None,-6152135,PAYS
2020-06-30,USD,-6485083,0,None,-7181779,294110,506477,-384654,-248013,None,-219234,-564374,-245425,0,None,None,None,None,None,None,None,0,None,24000,None,888018,None,-219234,PAYS
2020-03-31,USD,10749032,0,None,8044546,63038,502376,1496123,19661,410957,1540965,-1496123,24000,0,None,None,None,None,None,None,None,0,None,24000,None,9276909,None,1540965,PAYS
2019-12-31,USD,5914664,0,None,6958360,285319,435361,1740158,-77511,None,1883778,-1740158,178106,0,None,None,None,None,None,None,None,0,None,178106,None,4352612,None,1883779,PAYS
2019-09-30,USD,-7393202,0,None,321630,1021780,318508,529356,20555,None,2959574,-529356,252813,0,None,None,None,None,None,None,None,0,None,252813,None,4182162,None,2960078,PAYS
2019-06-30,USD,-1841654,0,None,426817,181317,395510,408205,281041,None,1738287,-408205,0,0,None,None,None,None,None,None,None,0,None,None,None,2780507,None,1738791,PAYS
2019-03-31,USD,20032971,0,None,-748447,221664,333761,559415,330548,108884,871107,-559415,0,0,None,None,None,None,None,None,None,0,None,None,None,19473556,None,871671,PAYS
2018-12-31,USD,7345746,0,None,275059,13627,309318,416350,-53656,-67283,638950,-415944,0,0,None,None,None,None,None,None,None,0,None,100000,None,6929802,None,642629,PAYS
2018-09-30,USD,3569892,0,None,363901,256641,284124,471721,201377,-55264,800245,-472127,100000,0,None,None,None,None,None,None,None,0,None,100000,None,1084369,None,800862,PAYS
2018-06-30,USD,3397608,0,None,150577,85055,250447,354381,24882,None,731434,-354381,0,0,None,None,None,None,None,None,None,0,None,None,None,981881,None,732056,PAYS
2018-03-31,USD,1682723,0,None,-607123,413358,246038,352533,-823,-413181,410612,-352533,0,0,None,None,None,None,None,None,None,0,None,None,None,1330190,None,412548,PAYS
2017-12-31,USD,3018042,254900,None,2256544,32896,150790,268551,-17998,-50894,572948,-268550,0,0,None,None,None,None,None,None,None,0,None,50000,None,2749492,None,537137,PAYS
2017-09-30,USD,1819610,-13200,None,980453,59056,276533,451974,64991,5935,486955,-451974,0,0,None,None,None,None,None,None,None,0,None,None,None,763488,None,500168,PAYS
2017-06-30,USD,844051,-213077,None,398697,210470,234413,554722,11916,-198554,370910,-554722,50000,0,None,None,None,None,None,None,None,0,None,50000,None,605323,None,384443,PAYS
2017-03-31,USD,1470011,272940,None,1157732,54987,215267,244099,-3655,-313542,354898,-244099,-152060,-152060,None,None,None,None,None,None,None,0,None,50000,None,2798763,None,369394,PAYS
