fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,-13463000,59752000,None,-13352000,3614000,40858000,-444000,4293000,None,68306000,-3628000,-5360000,0,1000,1000,None,662000,662000,None,None,0,None,-1000,None,None,None,-24101000,ILPT
2024-09-30,USD,-35407000,98531000,None,18107000,9464000,40054000,-1756000,-53000,None,-35407000,-4502000,-5705000,0,259000,0,None,659000,659000,None,None,0,None,0,None,None,None,-24990000,ILPT
2024-06-30,USD,-33479000,None,None,None,None,43421000,1474000,None,None,-33479000,None,-5176000,None,None,None,None,659000,659000,None,None,None,None,-9000,None,None,None,-33479000,ILPT
2024-03-31,USD,7989000,59621000,80000,2138000,-2517000,49168000,2132000,-6489000,None,-33902000,-11770000,-5465000,0,49000,49000,None,658000,658000,None,None,0,None,-49000,None,None,None,-23403000,ILPT
2023-12-31,USD,-8004000,19216000,None,-7825000,312000,50122000,5766000,1820000,-7036000,66802000,36320000,-5096000,0,3000,3000,None,659000,659000,None,None,0,None,-3000,None,None,None,-31240000,ILPT
2023-09-30,USD,3432000,75814000,None,10372000,9402000,6743000,6348000,-195000,None,-36191000,14033000,-5330000,0,145000,145000,None,656000,656000,None,0,0,None,-145000,None,None,None,-26112000,ILPT
2023-06-30,USD,9464000,74040000,None,-4374000,-8894000,6721000,3517000,-3307000,7036000,-36580000,7952000,47793000,0,12000,12000,None,656000,656000,None,0,0,None,-12000,None,65209000,None,-25828000,ILPT
2023-03-31,USD,1167000,68600000,0,3747000,7691000,51910000,3784000,242000,None,-35546000,9435000,-6223000,0,3000,3000,None,656000,656000,None,0,0,None,-3000,None,4379000,None,-24809000,ILPT
2022-12-31,USD,1344000,65099000,None,-9763000,-2895000,53326000,9295000,3297000,None,203210000,11165000,1602000,0,3000,3000,None,656000,656000,None,0,0,None,-3000,None,14111000,None,-31043000,ILPT
2022-09-30,USD,976000,58711000,None,-13181000,630000,35496000,41012000,6366000,None,-83974000,-41012000,-270239000,-1385158000,232000,232000,None,654000,654000,None,0,1235000000,None,-232000,None,-52272000,None,-45627000,ILPT
2022-06-30,USD,24292000,42182000,None,-7636000,-360000,34448000,-1406000,8624000,None,-151321000,26463000,-35240000,0,7000,7000,None,21583000,21583000,None,0,0,None,0,None,-120093000,None,-143539000,ILPT
2022-03-31,USD,56639000,13078000,None,42877000,19553000,42897000,3558220000,1309000,None,-9787000,-3442485000,3777878000,1203158000,0,0,None,21584000,21584000,None,0,2100000000,None,0,None,392032000,None,-6514000,ILPT
2021-12-31,USD,21730000,8669000,None,-6397000,680000,13870000,2538000,906000,-2833000,63207000,157968000,-194394000,168000000,7000,7000,None,21583000,21583000,None,0,0,None,-7000,None,-14696000,None,63207000,ILPT
