fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,1065000,15470000,None,22254000,12448000,7697000,6674000,10283000,-909000,-40068000,-6674000,31369000,48121000,31000,31000,None,None,None,None,None,0,None,-31000,None,None,None,-40068000,TPIC
2024-06-30,USD,-36904000,13917000,None,19503000,17610000,6929000,7120000,24404000,-5800000,-91089000,-7120000,25527000,60612000,8000,8000,None,None,None,None,None,0,None,-8000,None,None,None,-91089000,TPIC
2024-03-31,USD,-39004000,11940000,None,14486000,21157000,8900000,8285000,-7657000,5469000,-61468000,-8285000,3880000,52009000,1641000,1641000,None,None,None,None,None,0,None,-1641000,None,None,None,-61468000,TPIC
2023-12-31,USD,4936000,16177000,None,-43017000,-124720000,9071000,20291000,10582000,4487000,-57600000,-20291000,12965000,12402000,0,0,None,30771000,30771000,None,None,0,None,8346000,None,None,None,-57600000,TPIC
2023-09-30,USD,-11654000,2692000,None,5015000,11339000,9582000,9152000,-9761000,-1320000,-56815000,3684000,920000,10695000,0,0,None,None,None,None,None,0,None,0,None,None,None,-56815000,TPIC
2023-06-30,USD,9607000,692000,None,-10554000,-40713000,10494000,3419000,-16235000,-7552000,-65237000,-3419000,363000,14296000,34000,34000,None,30771000,30771000,None,None,0,None,-34000,None,6551000,None,-65237000,TPIC
2023-03-31,USD,-83861000,11543000,None,-47161000,25281000,9722000,3275000,-2126000,2514000,-22127000,-3275000,107746000,8936000,2549000,2549000,None,None,None,None,None,132500000,None,-2549000,None,20610000,None,-22127000,TPIC
2022-12-31,USD,22823000,15402000,None,16244000,39003000,11305000,7340000,5150000,-3199000,-42528000,-7340000,-1732000,39649000,571000,571000,None,None,None,None,None,0,None,-569000,None,13751000,None,-42528000,TPIC
2022-09-30,USD,-25934000,3391000,None,-4270000,21140000,10726000,3482000,-5435000,1562000,-1467000,-3482000,-139000,4465000,0,0,None,None,None,None,None,0,None,46000,None,-29555000,None,-1467000,TPIC
2022-06-30,USD,21893000,4252000,None,-4741000,-17444000,11696000,2494000,11645000,-3751000,-5510000,-2494000,10553000,-138000,45000,45000,None,None,None,None,None,0,None,-44000,None,29952000,None,-5510000,TPIC
2022-03-31,USD,-81054000,9714000,None,-18710000,62385000,11753000,5516000,30670000,6027000,-15800000,-5516000,-23279000,16000,343000,343000,None,None,None,None,None,0,None,-342000,None,-109849000,None,-15800000,TPIC
2021-12-31,USD,2716000,14916000,None,-9407000,-89451000,15194000,6981000,-16902000,458000,-87277000,-6981000,150639000,-65000,459000,459000,None,6040000,6040000,None,None,0,None,349541000,None,146374000,None,-87277000,TPIC
2021-09-30,USD,-24986000,11526000,None,36943000,47396000,13289000,3079000,32152000,-1928000,-30677000,-3079000,24578000,3951000,0,0,None,None,None,None,None,16003000,None,523000,None,-30677000,None,-30677000,TPIC
2021-06-30,USD,-9995000,11854000,None,19255000,35406000,12501000,8273000,19037000,1359000,-39797000,-8273000,5231000,6383000,0,0,None,None,None,None,None,0,None,3472000,None,-39797000,None,-39797000,TPIC
2021-03-31,USD,6740000,12056000,None,-4238000,-12217000,11609000,18786000,428000,1129000,-1797000,-18786000,18471000,0,34000,34000,None,None,None,None,None,0,None,1182000,None,6425000,None,-1797000,TPIC
2020-12-31,USD,3705000,12362000,None,-13499000,6176000,12992000,12238000,-15263000,-3710000,5184000,-12238000,-13815000,0,1683000,1683000,None,12560000,12560000,None,None,0,None,7032000,None,32246000,None,5184000,TPIC
2020-09-30,USD,60870000,10792000,None,23037000,21518000,14031000,11398000,17141000,2087000,42382000,-11398000,5172000,0,0,0,None,None,None,None,None,0,None,5753000,None,42382000,None,42382000,TPIC
2020-06-30,USD,-29573000,7399000,None,15412000,5468000,11616000,15047000,5464000,2384000,-66101000,-15047000,32173000,0,49000,49000,None,None,None,None,None,30000000,None,510000,None,-63445000,None,-66101000,TPIC
2020-03-31,USD,2568000,9560000,None,-15696000,-3768000,11028000,26983000,-50328000,3515000,-492000,-26983000,65082000,0,459000,459000,None,None,None,None,None,50000000,None,353000,None,40667000,None,-492000,TPIC
2019-12-31,USD,-5651000,33052000,None,-1269000,28025000,10848000,15316000,34949000,-4899000,-861000,-15316000,-1388000,-707000,0,0,None,None,None,None,None,6000000,None,497000,None,30802000,None,-861000,TPIC
2019-09-30,USD,64253000,2161000,None,47631000,-2152000,9948000,21353000,2353000,1942000,-4571000,-22455000,-8088000,-2202000,1561000,1561000,None,None,None,None,None,10000000,None,-1551000,None,5129000,None,-4571000,TPIC
2019-06-30,USD,10573000,8237000,None,18912000,26765000,7125000,19030000,-9447000,3683000,1828000,-19030000,-10629000,681000,0,0,None,None,None,None,None,0,None,144000,None,7928000,None,1828000,TPIC
2019-03-31,USD,-12091000,1940000,None,18244000,39601000,10659000,18709000,-8489000,419000,-12104000,-18709000,21075000,2228000,559000,559000,None,None,None,None,None,6000000,None,4013000,None,-9725000,None,-12104000,TPIC
2018-12-31,USD,-20453000,1358000,None,30841000,71956000,7349000,2052000,61252000,-1804000,-8848000,-2052000,-3177000,0,0,0,None,952000,952000,None,None,0,None,2073000,None,12565000,None,-8848000,TPIC
2018-09-30,USD,14660000,2939000,None,-2349000,1453000,5878000,8326000,46000,2008000,9532000,-8326000,-11247000,0,2587000,2587000,None,None,None,None,None,15000000,None,-1683000,None,15332000,None,9532000,TPIC
2018-06-30,USD,5567000,2480000,None,-1320000,-53994000,6130000,30596000,-51068000,1388000,-4053000,-30596000,2202000,0,0,0,None,None,None,None,None,None,None,722000,None,1947000,None,-4053000,TPIC
2018-03-31,USD,-3032000,3127000,None,3083000,56540000,7072000,11714000,48970000,93000,8648000,-11714000,4490000,0,272000,272000,None,None,None,None,None,None,None,313000,None,-45605000,None,8648000,TPIC
2017-12-31,USD,31140000,3086000,None,-2610000,-17853000,7555000,9516000,-12704000,-1299000,2207000,-8666000,-13409000,0,None,None,None,5656000,5656000,None,None,None,None,442000,None,9048000,30000,2207000,TPIC
2017-09-30,USD,17590000,2851000,None,27655000,39066000,5427000,8585000,17078000,1187000,21737000,-8585000,104000,0,None,None,None,None,None,None,None,None,None,-1264000,None,8231000,141000,21737000,TPIC
2017-06-30,USD,-3880000,2967000,None,10466000,17148000,4764000,9805000,20638000,-920000,11245000,-9805000,7400000,-5155000,None,None,None,None,None,None,None,None,None,None,None,21624000,227000,9577000,TPIC
2017-03-31,USD,7412000,2899000,None,35986000,31255000,3952000,16922000,28722000,68000,932000,-16922000,-2478000,517000,None,None,None,None,None,None,None,None,None,None,None,-9856000,-63000,5213000,TPIC
2016-12-31,USD,25642000,1621000,None,3889000,-28301000,3483000,11590000,-32308000,-5413000,10946000,-11590000,-542000,-43000,None,None,None,None,None,None,None,None,None,None,None,12264000,-970000,-2256000,TPIC
2016-09-30,USD,6297000,4641000,None,7576000,6655000,3500000,4673000,12594000,4224000,2797000,-4673000,63012000,-3334000,None,None,None,None,None,None,None,None,None,None,None,75745000,-395000,2797000,TPIC
2016-06-30,USD,14755000,None,None,None,None,3162000,3356000,None,-2906000,11555000,-14244000,-12644000,3546000,None,None,None,None,None,None,None,None,None,None,None,-4785000,None,11555000,TPIC
