fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,2064000000,154000000,None,-803000000,1568000000,163000000,None,None,None,2082000000,-1693000000,-422000000,None,256000000,256000000,None,240000000,240000000,None,None,None,None,-180000000,None,None,None,2082000000,TRV
2024-09-30,USD,3875000000,18000000,None,1414000000,1548000000,174000000,None,None,None,1260000000,-3391000000,-454000000,None,248000000,248000000,None,238000000,238000000,None,None,None,None,-215000000,None,None,None,1260000000,TRV
2024-06-30,USD,1677000000,20000000,None,2172000000,2505000000,182000000,None,None,None,534000000,-1143000000,-472000000,None,249000000,249000000,None,244000000,244000000,None,None,None,None,-227000000,None,None,None,534000000,TRV
2024-03-31,USD,1458000000,82000000,None,1385000000,2300000000,196000000,None,None,None,1123000000,-1037000000,-399000000,None,250000000,250000000,None,229000000,229000000,None,None,None,None,-60000000,None,None,None,1123000000,TRV
2023-12-31,USD,2104000000,158000000,None,-437000000,1388000000,170000000,None,None,None,1626000000,-1784000000,-273000000,None,64000000,64000000,None,232000000,232000000,None,None,None,None,-40000000,None,None,None,1626000000,TRV
2023-09-30,USD,3046000000,22000000,None,2141000000,1924000000,169000000,None,None,None,404000000,-2725000000,-323000000,None,100000000,100000000,None,229000000,229000000,None,None,None,None,-93000000,None,None,None,404000000,TRV
2023-06-30,USD,1549000000,22000000,None,2455000000,2571000000,179000000,None,-849000000,None,-14000000,-1857000000,138000000,None,396000000,396000000,None,232000000,232000000,None,None,None,None,-368000000,None,-170000000,None,-14000000,TRV
2023-03-31,USD,1012000000,81000000,None,1274000000,2210000000,204000000,None,-581000000,None,975000000,-455000000,-593000000,None,398000000,398000000,None,215000000,215000000,None,None,None,None,-316000000,None,-36000000,None,975000000,TRV
2022-12-31,USD,1340000000,137000000,None,185000000,1262000000,187000000,None,143000000,None,819000000,-674000000,-658000000,None,500000000,500000000,None,219000000,219000000,None,None,None,None,-438000000,None,8000000,None,819000000,TRV
2022-09-30,USD,2484000000,23000000,None,1057000000,1023000000,195000000,None,479000000,None,454000000,-1687000000,-710000000,None,500000000,500000000,None,220000000,220000000,None,None,None,None,-489000000,None,87000000,None,454000000,TRV
