fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,3926000,22948000,None,-5847000,-5255000,2953000,3328000,-7534000,None,-10359000,-3328000,-1936000,None,0,0,None,None,None,None,None,None,None,0,None,None,None,-10321000,CMLS
2024-06-30,USD,-7949000,12625000,None,379000,-2023000,3504000,4387000,4151000,None,-27699000,-4387000,-2511000,None,0,0,None,None,None,None,None,None,None,0,None,None,None,-27699000,CMLS
2024-03-31,USD,-16107000,21969000,None,-4862000,396000,4522000,8166000,-8990000,None,-14199000,6736000,-2950000,None,0,0,None,None,None,None,None,None,None,0,None,None,None,-14154000,CMLS
2023-12-31,USD,3271000,38668000,None,9688000,8616000,43557000,3788000,7006000,3590000,-98066000,-3609000,-1809000,None,0,0,None,None,None,None,None,None,None,0,None,None,None,-98066000,CMLS
2023-09-30,USD,-6798000,22120000,None,-1841000,13608000,4525000,7051000,6941000,-7143000,2750000,3164000,-5979000,0,0,0,None,None,None,None,None,None,0,0,None,None,None,2722000,CMLS
2023-06-30,USD,11530000,13011000,None,-3132000,-1454000,5824000,6603000,2183000,3553000,-1082000,-6301000,-31692000,0,6277000,6277000,None,None,None,None,None,None,0,-6277000,None,-26463000,None,-1068000,CMLS
2023-03-31,USD,23658000,17895000,None,-6546000,-40623000,6161000,7372000,-43063000,None,-21467000,-75000,-12133000,0,1511000,1511000,None,None,None,None,None,None,0,-1511000,None,11450000,None,-21467000,CMLS
2022-12-31,USD,23964000,35079000,None,-2203000,1645000,39679000,12502000,12205000,None,-54000,-11439000,-23241000,0,2934000,2934000,None,None,None,None,None,None,0,-2934000,None,-10716000,None,-54000,CMLS
2022-09-30,USD,23992000,8610000,None,-9510000,-6164000,6149000,6951000,513000,None,8564000,-6859000,-7678000,0,3922000,3922000,None,None,None,None,None,None,0,-3922000,None,9455000,None,8540000,CMLS
2022-06-30,USD,6202000,22177000,None,352000,19243000,6617000,6340000,19697000,None,8641000,-3917000,-74686000,0,25000000,25000000,None,None,None,None,None,None,0,0,None,-72401000,None,8654000,CMLS
