fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,10851000,6316000,None,508000,-1025000,3882000,1552000,-1025000,None,-11980000,-1190000,-4535000,None,0,0,None,4499000,4499000,None,None,None,None,0,None,None,None,-11980000,EVC
2024-06-30,USD,17696000,6944000,None,33899000,19887000,5992000,1994000,19887000,None,-31680000,-33036000,-27929000,None,0,0,None,4496000,4496000,None,None,None,None,0,None,None,None,-31680000,EVC
2024-03-31,USD,33375000,7323000,None,6007000,-29473000,7133000,2743000,-29473000,None,-51669000,6099000,-16797000,None,0,0,None,4476000,4476000,None,None,None,None,0,None,None,None,-48890000,EVC
2023-12-31,USD,6079000,6868000,None,11578000,25508000,7671000,7446000,25508000,-38038000,-18051000,-2029000,-8927000,None,0,0,None,4406000,4406000,None,None,None,None,0,None,None,None,-18208000,EVC
2023-09-30,USD,22026000,6289000,None,14993000,1219000,7356000,5023000,1219000,None,2719000,-1823000,-9152000,None,0,0,None,4400000,4400000,None,0,None,None,0,None,None,None,2719000,EVC
2023-06-30,USD,10396000,6229000,None,18619000,15677000,6509000,8108000,15677000,None,-1989000,-11540000,-40727000,None,0,0,None,3850000,4396000,None,0,None,None,241000,None,None,None,-1989000,EVC
2023-03-31,USD,36695000,6033000,None,-7152000,-33157000,6471000,6750000,-33157000,None,1699000,-563000,-5365000,None,0,0,None,4932000,4932000,None,0,None,None,313000,None,30767000,None,2041000,EVC
2022-12-31,USD,775000,5432000,None,2652000,31800000,6485000,3586000,31983000,None,725000,-4505000,-7164000,None,0,0,None,2124000,2124000,None,0,None,None,1000,None,-10894000,None,-1628000,EVC
2022-09-30,USD,15236000,5205000,None,-10691000,-5777000,6554000,4673000,-4708000,None,9090000,21291000,-24892000,None,0,0,None,2124000,2124000,None,0,None,None,0,None,11635000,None,9393000,EVC
2022-06-30,USD,9687000,4569000,None,4895000,10639000,6263000,1662000,11792000,None,8467000,9622000,-35927000,None,4138000,4138000,None,2124000,2124000,None,0,None,None,-4138000,None,9443000,None,8467000,EVC
2022-03-31,USD,53219000,4036000,None,10521000,-26975000,6395000,1547000,-29380000,None,1887000,-86900000,-24838000,None,7142000,7142000,None,2167000,2167000,None,0,None,None,-6924000,None,-58519000,None,1887000,EVC
