fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,9072000,1523000,None,-3846000,-5023000,3194000,1390000,None,492000,1129000,-1782000,-3000,None,0,2000,None,1000,1000,None,None,None,None,-2000,None,None,None,1129000,MED
2024-06-30,USD,13069000,2082000,None,-3513000,-2529000,3067000,1938000,None,-6670000,-8154000,-2532000,-20000,None,0,16000,None,4000,4000,None,None,None,None,-16000,None,None,None,-8154000,MED
2024-03-31,USD,7282000,1563000,None,-15918000,-10856000,3261000,1841000,-3256000,-8318000,8316000,-2775000,-1491000,None,0,817000,None,710000,710000,None,None,None,None,-781000,None,None,None,8316000,MED
2023-12-31,USD,10522000,5581000,None,-10508000,-1235000,3353000,946000,None,-3636000,6035000,-10731000,-17905000,None,0,10000,None,17978000,17978000,None,None,None,None,90000,None,None,None,6035000,MED
2023-09-30,USD,29930000,14100000,None,-6377000,-12364000,3412000,1678000,None,-10669000,23131000,-46457000,-18153000,None,0,110000,None,18043000,18043000,None,None,None,None,-110000,None,None,None,23131000,MED
2023-06-30,USD,43146000,19103000,None,-6080000,-11300000,3368000,1744000,None,-28000000,30280000,-1744000,-17835000,None,0,2000,None,17833000,17833000,None,None,None,None,-2000,None,23567000,None,30280000,MED
2023-03-31,USD,64059000,1804000,None,-21897000,-40239000,2974000,2115000,-12603000,-21960000,39968000,-2115000,-25896000,None,3602000,6838000,None,19163000,19163000,None,None,None,None,-6738000,None,36048000,None,39968000,MED
2022-12-31,USD,51739000,38998000,None,-13962000,-28969000,2954000,9064000,None,-26423000,26518000,-9064000,-24331000,None,6397000,6409000,None,17922000,17922000,None,None,None,None,-6409000,None,18344000,None,26518000,MED
2022-09-30,USD,55396000,1739000,None,-8337000,-21981000,2850000,1768000,None,-11695000,36155000,-1768000,-45106000,None,0,20035000,None,18081000,18081000,None,None,None,None,-20035000,None,37255000,None,36155000,MED
2022-06-30,USD,43762000,1918000,None,-20974000,-18431000,2732000,2840000,None,-31998000,39113000,1182000,-102025000,None,110048000,90058000,None,18957000,18957000,None,None,None,None,-90058000,None,48513000,None,39113000,MED
2022-03-31,USD,43673000,1756000,None,7052000,11509000,2444000,3009000,-14081000,8929000,41781000,-1764000,-28119000,None,10000000,11459000,None,16660000,16660000,None,None,None,None,-11459000,None,13790000,None,41781000,MED
2021-12-31,USD,-7459000,58087000,None,11633000,57317000,3045000,11624000,None,50429000,34023000,-11624000,-31232000,None,9999000,14221000,None,17011000,17011000,None,None,None,None,-14232000,None,-50445000,None,34023000,MED
2021-09-30,USD,15800000,1170000,None,5785000,36892000,1314000,10389000,None,33824000,41982000,-10389000,-42945000,None,26270000,26304000,None,16750000,16750000,None,None,None,None,-26195000,None,44282000,63000,41982000,MED
2021-06-30,USD,20878000,1003000,None,7760000,38639000,1329000,7598000,None,33556000,46963000,-6173000,-28738000,None,12230000,12256000,None,16703000,16703000,None,None,None,None,-12054000,None,49063000,-11000,46963000,MED
2021-03-31,USD,65326000,1002000,None,29202000,9178000,1124000,4598000,-496000,8842000,41063000,-878000,-22218000,None,7500000,9307000,None,13392000,13392000,None,None,None,None,-8807000,None,42308000,78000,41063000,MED
2020-12-31,USD,19829000,25633000,None,-2068000,12286000,-943000,2035000,-15000,11656000,37850000,570000,-13144000,None,0,19000,None,13298000,13298000,None,None,None,None,157000,None,37850000,-18000,27994000,MED
2020-09-30,USD,41114000,964000,None,4427000,2316000,1778000,3269000,319000,3156000,34453000,-2269000,-13186000,None,0,36000,None,13324000,13324000,None,None,None,None,138000,None,36553000,-1000,34453000,MED
2020-06-30,USD,57518000,908000,None,23915000,-9424000,1822000,289000,446000,-9303000,21935000,-289000,-17073000,None,0,5009000,None,13314000,13314000,None,None,None,None,-3759000,None,23035000,2000,21935000,MED
2020-03-31,USD,26735000,906000,None,1736000,-3750000,1659000,294000,-1047000,-888000,18477000,706000,-13741000,None,0,487000,None,13254000,13254000,None,None,None,None,-487000,None,13696000,-4000,18477000,MED
2019-12-31,USD,19152000,885000,None,-241000,3887000,-473000,834000,415000,-3154000,18981000,-834000,-22542000,None,0,13803000,None,8738000,8738000,None,None,None,None,-13804000,None,18981000,2000,19881000,MED
2019-09-30,USD,17897000,729000,None,-246000,4161000,1809000,2252000,3682000,3452000,15902000,-952000,-32058000,None,23116000,23149000,None,8909000,8909000,None,None,None,None,-23149000,None,16373000,-2000,15902000,MED
2019-06-30,USD,14478000,729000,None,-2125000,8194000,1684000,2528000,347000,5216000,21383000,-1098000,-18911000,None,0,9998000,None,8923000,8923000,None,None,None,None,-9988000,None,21954000,0,21383000,MED
2019-03-31,USD,32734000,663000,24000,14723000,4375000,1604000,4444000,-380000,4369000,20750000,-3444000,-8813000,None,0,256000,None,8826000,8826000,None,None,None,None,13000,None,20478000,1000,20750000,MED
2018-12-31,USD,15338000,5066000,None,-3366000,-1954000,916000,1694000,-6000,-4957000,20170000,-382000,-15899000,None,9999000,10470000,None,5756000,5756000,None,None,None,None,-10143000,None,-943000,0,15653000,MED
2018-09-30,USD,6947000,5160000,None,7024000,14640000,830000,1152000,83000,16945000,13781000,-107000,-5607000,None,0,34000,None,5731000,5731000,None,None,None,None,124000,None,1231000,-2000,13781000,MED
2018-06-30,USD,20523000,None,None,15289000,9846000,1145000,808000,-91000,9612000,14133000,-624000,-25786000,None,0,19996000,None,5790000,5790000,None,None,None,None,-19996000,None,-5887000,None,14133000,MED
2018-03-31,USD,18008000,None,None,-658000,-3776000,1544000,1286000,-108000,-2942000,12222000,-86000,-6036000,None,0,215000,None,5883000,5883000,None,None,None,None,-153000,None,11886000,None,12222000,MED
2017-12-31,USD,9983000,4732000,None,7066000,6777000,1005000,863000,-132000,3304000,9796000,211000,-5586000,None,0,1707000,None,3879000,3879000,None,None,None,None,-1707000,None,4524000,-84000,7306000,MED
2017-09-30,USD,12505000,32000,None,607000,-3023000,1088000,1359000,-206000,-2024000,6686000,-1664000,-3827000,None,0,8000,None,3819000,3819000,None,None,None,None,-8000,None,7021000,7000,6686000,MED
2017-06-30,USD,14066000,12000,None,2314000,-2009000,1040000,550000,-579000,-1835000,7584000,-694000,-3814000,None,0,0,None,3814000,3814000,None,None,None,None,0,None,9562000,4000,7584000,MED
2017-03-31,USD,6683000,2237000,None,-357000,1101000,1076000,470000,102000,1572000,6145000,-1016000,-4135000,None,0,825000,None,3878000,3878000,None,None,None,None,-257000,None,1534000,2000,6145000,MED
2016-12-31,USD,-315000,4772000,None,-3489000,4027000,1194000,837000,256000,3296000,6660000,-837000,-3528000,None,0,599000,None,2998000,2998000,None,None,None,None,-599000,None,-4684000,-4000,4113000,MED
2016-09-30,USD,6941000,3842000,None,1883000,2706000,1215000,1286000,-496000,3651000,6065000,-5411000,-3017000,None,0,0,None,2962000,2962000,None,None,None,None,0,None,-1490000,-3000,6065000,MED
2016-06-30,USD,11057000,2260000,None,384000,-1777000,1387000,670000,-488000,-1879000,3397000,3009000,-2774000,None,0,40000,None,2961000,2961000,None,None,None,None,233000,None,11294000,2000,3397000,MED
2016-03-31,USD,7667000,1762000,None,2292000,347000,1609000,83000,482000,-92000,4260000,1202000,-3602000,None,0,703000,None,2968000,2968000,None,None,None,None,-677000,None,5279000,12000,4260000,MED
2015-12-31,USD,2114000,2381000,None,-1495000,2585000,1690000,1214000,-236000,1565000,5942000,1268000,-426000,None,0,421000,None,11889000,11889000,None,None,None,None,-421000,None,3043000,87000,3860000,MED
2015-09-30,USD,9459000,1504000,None,-791000,-2190000,1740000,232000,-122000,-654000,5506000,-362000,-7248000,None,7195000,7195000,None,None,None,None,None,None,None,-7195000,None,1849000,None,5506000,MED
