fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,271000000,142600000,None,-80500000,-110800000,40600000,80900000,-42100000,-68700000,227000000,-232200000,-63600000,None,0,0,None,71700000,71700000,None,None,1349200000,None,0,None,None,None,226100000,PAG
2024-06-30,USD,235100000,125800000,None,2900000,203100000,38600000,99200000,-25300000,228400000,242900000,-298900000,62000000,None,25200000,25200000,None,64400000,64400000,None,None,1160500000,None,-25200000,None,None,None,241200000,PAG
2024-03-31,USD,456000000,135100000,None,130500000,1300000,37800000,102500000,-75900000,77200000,216200000,-352400000,-82100000,None,32900000,32900000,None,58600000,58600000,None,None,668700000,None,-32900000,None,None,None,215200000,PAG
2023-12-31,USD,362800000,122200000,None,-115700000,643500000,37600000,103200000,139500000,504000000,192000000,-110600000,29800000,None,17500000,17500000,None,53300000,53300000,None,None,928500000,None,-17500000,None,None,None,190700000,PAG
2023-09-30,USD,417700000,106600000,None,8300000,-30300000,35400000,86600000,81700000,-112000000,264400000,-200300000,-231300000,None,13100000,13100000,None,48600000,48600000,None,None,866100000,None,-13100000,None,None,None,263400000,PAG
2023-06-30,USD,293300000,131900000,None,-37200000,142300000,34100000,83100000,-36700000,179000000,302600000,-155900000,-117800000,None,217900000,217900000,None,44900000,44900000,None,None,744000000,None,-217900000,None,19600000,None,300800000,PAG
2023-03-31,USD,311200000,111700000,None,131600000,105400000,33900000,102400000,10200000,95200000,299600000,-105500000,-211800000,None,110200000,110200000,None,42300000,42300000,None,None,611700000,None,-110200000,None,-6100000,None,298300000,PAG
2022-12-31,USD,1098500000,99000000,None,-64100000,302700000,32200000,86800000,55200000,247500000,299300000,-57400000,-182700000,None,284500000,284500000,None,40500000,40500000,None,None,587000000,None,-284500000,None,10700000,None,298000000,PAG
2022-09-30,USD,329000000,90600000,None,16100000,261400000,31500000,57600000,79600000,181800000,341500000,-227300000,-156300000,None,309400000,309400000,None,39200000,39200000,None,None,540000000,None,-309400000,None,-54600000,None,340100000,PAG
2022-06-30,USD,498600000,85000000,None,-4900000,2900000,31700000,81900000,-43000000,45900000,375900000,-207200000,-299900000,None,156200000,156200000,None,38000000,38000000,None,None,565000000,None,-156200000,None,407600000,None,374000000,PAG
2022-03-31,USD,380600000,86700000,None,134600000,70300000,31900000,56200000,101100000,-30800000,369500000,-149800000,-159100000,None,119200000,119200000,None,36400000,36400000,None,None,409000000,None,-119200000,None,423800000,None,367900000,PAG
