fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2017-12-31,USD,-60800000,60100000,None,None,-800000,38500000,17900000,None,-800000,578800000,1291200000,185600000,0,0,0,None,3100000,3100000,None,None,226100000,0,0,None,1377500000,-200000,507400000,SPB
2017-09-30,USD,610000000,321100000,None,13900000,-2500000,53000000,36900000,None,25300000,24000000,-272200000,-230100000,0,0,0,None,22400000,22400000,None,None,-291900000,0,0,None,96600000,4600000,-26200000,SPB
2017-06-30,USD,121000000,None,None,None,-800000,32900000,41000000,None,-800000,39800000,-510900000,267600000,0,0,0,None,None,None,None,None,341400000,0,0,None,-102600000,2500000,2100000,SPB
2017-03-31,USD,28500000,None,None,None,0,31400000,16000000,None,0,-51400000,-198000000,394400000,0,0,0,None,None,None,None,None,88900000,0,0,None,-18800000,2400000,-82100000,SPB
2016-12-31,USD,80700000,None,None,None,0,30300000,21100000,None,0,260800000,-606100000,151100000,0,0,0,None,3100000,3100000,None,None,177200000,0,0,None,-151800000,-6400000,212200000,SPB
2016-09-30,USD,526500000,None,None,None,0,-46100000,35800000,None,-20900000,36200000,-292800000,-74600000,0,0,0,None,22400000,22400000,None,None,479600000,0,0,None,364500000,300000,-7300000,SPB
2016-06-30,USD,403300000,None,None,None,None,23500000,20800000,None,None,-93000000,-269800000,112800000,-11500000,0,0,None,None,None,None,None,-169600000,0,0,None,8400000,-1400000,-132900000,SPB
2016-03-31,USD,72400000,None,None,None,None,23400000,21400000,None,None,15900000,-374800000,117800000,-55000000,0,0,None,None,None,None,None,-55000000,0,0,None,-109000000,2800000,-24700000,SPB
2015-12-31,USD,-88900000,None,None,None,None,57800000,17400000,None,None,7000000,46000000,-7300000,63000000,0,0,None,8700000,8700000,None,None,230000000,0,0,None,-94700000,-3100000,-33900000,SPB
2015-09-30,USD,479900000,None,None,-96900000,68500000,-96100000,24800000,None,20900000,-127100000,-196000000,-364200000,0,0,0,None,6900000,6900000,None,None,6900000,0,-100000,None,72900000,-14200000,-143100000,SPB
2015-06-30,USD,107000000,None,None,-38600000,74900000,99600000,23700000,None,None,-41400000,-1106000000,1013800000,5500000,0,0,None,3213900000,3213900000,None,None,3255900000,0,281100000,None,209200000,-1100000,-75600000,SPB
2015-03-31,USD,-95400000,None,None,-32200000,81200000,18200000,21300000,None,None,-237500000,-162400000,228000000,0,3200000,3200000,None,None,None,None,None,-7600000,0,-3200000,None,-325600000,-5600000,-228300000,SPB
2014-12-31,USD,-174700000,None,None,39300000,95500000,71600000,20800000,None,800000,-106400000,-676900000,853200000,0,19000000,19000000,None,7400000,7400000,None,None,442700000,0,-19000000,None,13100000,-6300000,-109800000,SPB
2014-09-30,USD,539700000,None,None,-16600000,66500000,-72300000,6400000,None,None,17600000,-578800000,-88900000,-117400000,53700000,53500000,None,104000000,8200000,8200000,None,193300000,0,-53500000,None,-136700000,-7000000,-6300000,SPB
2014-06-30,USD,246300000,None,None,43200000,56700000,40700000,20400000,None,None,141500000,16900000,-128300000,-57500000,None,12100000,None,3900000,3900000,3900000,None,2900000,0,-12100000,None,136100000,None,98300000,SPB
2014-03-31,USD,7500000,None,None,34200000,63200000,37400000,27700000,None,None,-55800000,-340700000,359900000,50100000,None,None,None,8300000,8300000,8300000,None,207500000,0,-4000000,None,26000000,-700000,-75500000,SPB
2013-12-31,USD,-89400000,None,None,2700000,52600000,79300000,21000000,None,None,-1600000,-1039300000,523300000,97300000,None,None,None,8200000,8200000,8200000,None,537900000,0,175900000,None,-605900000,-500000,-26800000,SPB
2013-09-30,USD,428300000,453300000,None,None,38200000,61700000,41300000,None,None,-205300000,189200000,38000000,-648000000,None,None,None,81300000,8400000,-7600000,None,1491900000,0,0,None,656000000,500000,-190200000,SPB
2013-06-30,USD,161200000,None,None,None,37700000,85000000,33600000,None,None,118700000,-208400000,-181900000,-7000000,None,None,None,8300000,8300000,8300000,None,7000000,0,0,None,-231300000,-2200000,103600000,SPB
2013-03-31,USD,88100000,None,None,None,35800000,49000000,14500000,None,None,-50500000,-173100000,458400000,323100000,None,None,None,8400000,8400000,8400000,None,360100000,0,0,None,371300000,-2100000,-33300000,SPB
2012-12-31,USD,-155300000,None,None,None,None,98200000,10700000,None,5000000,68100000,-1818500000,1607500000,None,None,None,None,8300000,8300000,8300000,None,None,0,0,None,-367000000,-700000,74100000,SPB
2012-09-30,USD,417800000,None,None,None,88566000,73000000,19900000,-13330000,41624000,175500000,-418400000,-362000000,-2100000,None,None,None,8270000,8264000,200000,None,-6200000,0,0,None,-362100000,500000,173100000,SPB
2012-06-30,USD,98400000,None,None,None,60300000,55600000,14900000,None,None,-110175000,-560400000,-24200000,-47500000,None,None,None,8182000,8182000,8200000,None,-5600000,None,None,None,-486900000,-700000,-135100000,SPB
2012-03-31,USD,110800000,None,None,None,57500000,58800000,7800000,None,41624000000,-200000,-97900000,104300000,38600000,None,None,None,8100000,8100000,8100000,None,310400000,None,None,None,114900000,-2300000,12000000,SPB
2011-12-31,USD,-4500000,None,None,None,39800000,325300000,10900000,11478000,-41624000,45500000,891100000,179200000,11400000,None,None,None,7100000,7100000,7100000,None,218400000,None,None,None,1067400000,1600000,39500000,SPB
2011-09-30,USD,199215000,None,None,None,-32974000,-17679000,10551000,-16965000,-113746000,-109173000,10362000,-265373000,-49200000,None,None,None,None,None,None,None,None,116973000,116973000,None,-52482000,3314000,-93284000,SPB
2011-06-30,USD,89736000,None,None,None,None,47208000,8921000,None,12980000,230319000,559009000,73263000,None,None,None,None,None,None,None,None,None,None,269000000,None,720490000,-1518000,217304000,SPB
2011-03-31,USD,-79825000,None,None,None,None,52000000,10576000,None,-30320000,-84785000,-965000,426953000,None,None,None,None,None,None,None,None,None,None,None,None,346863000,700000,-61950000,SPB
2010-12-31,USD,-53626000,None,None,None,None,18000,8152000,None,None,-29061000,-36406000,-42743000,None,None,None,None,None,None,None,None,None,None,None,None,-134371000,-1596000,-20070000,SPB
2010-09-30,USD,105832000,None,None,None,None,18000,22982000,-15438000,None,-32037000,3251000,-37853000,None,None,None,None,None,None,None,None,None,None,None,None,76166000,7344000,-20968000,SPB
2010-06-30,USD,-3698000,None,None,None,None,4000,78000,None,None,-86922000,None,4000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-51618000,SPB
