fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,665000000,None,None,-377000000,-98000000,193000000,116000000,-284000000,15000000,451000000,-115000000,201000000,12000000,330000000,330000000,None,245000000,245000000,None,None,775000000,None,-330000000,None,None,None,419000000,JCI
2024-09-30,USD,3632000000,723000000,None,39000000,-495000000,129000000,170000000,-226000000,-198000000,678000000,89000000,-1758000000,-631000000,370000000,370000000,None,126000000,247000000,None,None,0,None,-370000000,None,None,None,633000000,JCI
2024-06-30,USD,1021000000,8000000,None,71000000,440000000,220000000,99000000,104000000,-13000000,1052000000,-99000000,-999000000,-840000000,402000000,402000000,None,319000000,249000000,None,None,859000000,None,-402000000,None,None,None,975000000,JCI
2024-03-31,USD,-203000000,7000000,None,692000000,758000000,236000000,133000000,720000000,25000000,-234000000,-137000000,-551000000,411000000,474000000,474000000,None,303000000,252000000,None,None,0,None,0,None,None,None,-277000000,JCI
2023-12-31,USD,-246000000,6000000,None,-423000000,333000000,208000000,82000000,-61000000,106000000,404000000,-74000000,1228000000,1108000000,0,0,None,252000000,252000000,None,None,422000000,None,0,None,None,None,374000000,JCI
2023-09-30,USD,-156000000,690000000,None,69000000,-799000000,227000000,173000000,-499000000,-302000000,581000000,-608000000,-1063000000,197000000,12000000,12000000,None,251000000,251000000,None,None,0,None,30000000,None,None,None,549000000,JCI
2023-06-30,USD,813000000,12000000,None,-197000000,242000000,212000000,111000000,307000000,-110000000,1122000000,-262000000,-1373000000,-1536000000,366000000,366000000,None,325000000,248000000,None,None,855000000,None,-366000000,None,-822000000,None,1049000000,JCI
2023-03-31,USD,314000000,9000000,None,173000000,518000000,206000000,121000000,272000000,145000000,174000000,-125000000,253000000,1021000000,93000000,93000000,None,312000000,240000000,None,None,162000000,None,-93000000,None,442000000,None,133000000,JCI
2022-12-31,USD,-296000000,17000000,None,-285000000,504000000,203000000,134000000,88000000,348000000,156000000,-189000000,9000000,267000000,154000000,154000000,None,241000000,241000000,None,None,154000000,None,-154000000,None,-476000000,None,118000000,JCI
2022-09-30,USD,2221000000,606000000,None,6000000,-112000000,197000000,162000000,-210000000,12000000,809000000,-105000000,-545000000,-1314000000,14000000,14000000,None,242000000,242000000,None,None,683000000,None,-12000000,None,529000000,None,761000000,JCI
2022-06-30,USD,443000000,7000000,None,415000000,543000000,201000000,170000000,331000000,142000000,443000000,-256000000,-415000000,176000000,392000000,392000000,None,247000000,244000000,None,None,0,None,-390000000,None,443000000,None,379000000,JCI
2022-03-31,USD,52000000,35000000,None,-33000000,617000000,208000000,125000000,231000000,243000000,52000000,-114000000,801000000,1667000000,509000000,509000000,None,357000000,239000000,None,None,544000000,None,-504000000,None,52000000,None,11000000,JCI
2021-12-31,USD,853000000,41000000,None,435000000,514000000,224000000,135000000,75000000,376000000,419000000,-218000000,-357000000,394000000,526000000,526000000,None,191000000,191000000,None,None,0,None,-518000000,None,274000000,None,381000000,JCI
2021-09-30,USD,-1501000000,668000000,None,304000000,135000000,218000000,228000000,-14000000,15000000,316000000,-204000000,-481000000,-256000000,306000000,306000000,None,59000000,192000000,None,None,0,None,-288000000,None,39000000,116000000,269000000,JCI
2021-06-30,USD,661000000,15000000,None,303000000,257000000,208000000,127000000,324000000,-7000000,661000000,-767000000,-571000000,14000000,340000000,340000000,None,225000000,193000000,None,None,0,None,-313000000,None,661000000,None,574000000,JCI
2021-03-31,USD,397000000,8000000,None,411000000,190000000,212000000,106000000,57000000,113000000,397000000,-82000000,-532000000,245000000,315000000,315000000,None,288000000,187000000,None,None,0,None,-213000000,None,397000000,None,343000000,JCI
2020-12-31,USD,1194000000,17000000,None,79000000,-56000000,207000000,91000000,-224000000,98000000,496000000,-37000000,-547000000,-20000000,346000000,346000000,None,190000000,190000000,None,None,0,None,-315000000,None,574000000,None,451000000,JCI
2020-09-30,USD,127000000,365000000,None,275000000,-424000000,206000000,96000000,-106000000,-250000000,490000000,51000000,-1395000000,-1345000000,737000000,737000000,None,127000000,194000000,None,None,0,None,-704000000,None,26000000,115000000,441000000,JCI
2020-06-30,USD,-222000000,100000000,None,11000000,-270000000,202000000,97000000,-184000000,-56000000,-122000000,-21000000,607000000,977000000,0,0,None,261000000,194000000,None,None,0,None,3000000,None,-222000000,None,-182000000,JCI
2020-03-31,USD,136000000,100000000,None,-60000000,198000000,207000000,124000000,-7000000,147000000,236000000,-115000000,-1186000000,325000000,816000000,816000000,None,199000000,199000000,None,None,0,None,-798000000,None,136000000,None,213000000,JCI
2019-12-31,USD,789000000,109000000,None,59000000,-31000000,207000000,126000000,-237000000,114000000,191000000,-173000000,-850000000,10000000,651000000,651000000,None,203000000,203000000,None,None,0,None,-630000000,None,-428000000,None,159000000,JCI
2019-09-30,USD,-3828000000,748000000,None,-988000000,-362000000,200000000,185000000,-182000000,-217000000,654000000,-12750000000,-984000000,-10000000,861000000,861000000,None,208000000,208000000,None,None,0,None,-801000000,None,-18309000000,None,612000000,JCI
2019-06-30,USD,4276000000,14000000,None,316000000,356000000,203000000,123000000,355000000,-32000000,4276000000,12629000000,-9468000000,-2842000000,4122000000,4122000000,None,233000000,233000000,None,None,0,None,-4062000000,None,4276000000,None,4192000000,JCI
2019-03-31,USD,558000000,16000000,None,-343000000,350000000,211000000,125000000,285000000,99000000,558000000,-210000000,-312000000,542000000,533000000,533000000,None,239000000,239000000,None,None,0,None,-495000000,None,558000000,None,515000000,JCI
2018-12-31,USD,305000000,21000000,None,-272000000,139000000,211000000,153000000,-146000000,222000000,399000000,-202000000,245000000,1014000000,467000000,467000000,None,240000000,240000000,None,None,0,None,-454000000,None,464000000,None,355000000,JCI
2018-09-30,USD,259000000,935000000,None,738000000,-105000000,175000000,164000000,231000000,-108000000,825000000,264000000,-1221000000,-243000000,45000000,45000000,None,240000000,240000000,None,None,250000000,None,-18000000,None,-83000000,-22000000,771000000,JCI
2018-06-30,USD,728000000,17000000,None,185000000,507000000,227000000,201000000,390000000,2000000,804000000,-294000000,-274000000,450000000,56000000,56000000,None,241000000,241000000,None,None,0,None,-53000000,None,15000000,-145000000,723000000,JCI
2018-03-31,USD,662000000,14000000,None,-48000000,-22000000,212000000,166000000,-138000000,13000000,483000000,-176000000,-814000000,-404000000,49000000,49000000,None,241000000,241000000,None,None,1000000,None,-29000000,None,-284000000,44000000,438000000,JCI
2017-12-31,USD,-129000000,23000000,None,-231000000,199000000,210000000,114000000,30000000,196000000,271000000,1774000000,-1440000000,304000000,150000000,150000000,None,232000000,232000000,None,None,885000000,None,-134000000,None,231000000,17000000,230000000,JCI
2017-09-30,USD,1674000000,1929000000,None,749000000,236000000,0,-236000000,201000000,-534000000,927000000,184000000,-2546000000,-742000000,225000000,225000000,None,233000000,233000000,None,None,304000000,None,-198000000,None,-137000000,42000000,875000000,JCI
2017-06-30,USD,216000000,17000000,None,-88000000,621000000,281000000,362000000,298000000,215000000,629000000,-360000000,153000000,832000000,307000000,307000000,None,234000000,234000000,None,None,1000000,None,-265000000,None,46000000,37000000,555000000,JCI
2017-03-31,USD,366000000,None,None,99000000,349000000,292000000,263000000,58000000,228000000,-115000000,-141000000,-220000000,-1257000000,119000000,119000000,None,235000000,235000000,None,None,1545000000,None,-60000000,None,35000000,30000000,-148000000,JCI
2016-12-31,USD,-1885000000,None,None,-2599000000,192000000,346000000,371000000,-37000000,142000000,378000000,-331000000,1964000000,1312000000,0,0,None,0,31000000,None,None,7000000,None,29000000,None,-202000000,-55000000,329000000,JCI
2016-09-30,USD,1212000000,None,None,2817000000,-198000000,273000000,427000000,279000000,-234000000,-1132000000,-16000000,-986000000,-1529000000,26000000,26000000,None,371000000,371000000,None,None,1501000000,None,10000000,None,232000000,7000000,-1171000000,JCI
2016-06-30,USD,75000000,None,None,-194000000,434000000,235000000,279000000,-172000000,65000000,459000000,-254000000,274000000,945000000,475000000,475000000,None,188000000,188000000,None,None,0,None,-461000000,None,55000000,14000000,383000000,JCI
2016-03-31,USD,634000000,None,None,615000000,-20000000,219000000,261000000,9000000,98000000,-469000000,-233000000,-448000000,619000000,0,0,None,188000000,188000000,None,None,0,None,4000000,None,-64000000,-9000000,-530000000,JCI
2015-12-31,USD,-13000000,None,None,-619000000,-21000000,226000000,282000000,29000000,70000000,490000000,-384000000,214000000,521000000,None,None,None,168000000,168000000,None,None,0,None,16000000,None,-197000000,0,450000000,JCI
2015-09-30,USD,1089000000,None,None,602000000,328000000,603000000,952000000,-45000000,27000000,1197000000,1259000000,-1757000000,-326000000,945000000,945000000,None,420000000,170000000,None,None,-271000000,None,-740000000,None,550000000,-63000000,1078000000,JCI
2015-06-30,USD,249000000,None,None,13000000,1000000,86000000,60000000,126000000,8000000,156000000,-71000000,-73000000,258000000,0,0,None,86000000,170000000,None,None,3000000,None,13000000,None,99000000,-2000000,156000000,JCI
2015-03-31,USD,167000000,None,None,-36000000,1000000,81000000,57000000,-29000000,21000000,165000000,-373000000,506000000,0,0,0,None,76000000,171000000,None,None,0,None,24000000,None,-41000000,-6000000,167000000,JCI
2014-12-31,USD,95000000,None,None,-111000000,50000000,90000000,66000000,7000000,43000000,161000000,-8000000,-497000000,0,417000000,417000000,None,75000000,146000000,None,None,None,None,-384000000,None,-419000000,-10000000,162000000,JCI
2014-09-30,USD,1877000000,None,None,None,None,687000000,989000000,None,297000000,-588000000,-4299000000,557000000,None,443000000,None,None,337000000,146000000,None,None,2001000000,None,-50000000,None,-1995000000,-12000000,-712000000,JCI
2014-06-30,USD,152000000,None,None,-99000000,63000000,88000000,75000000,77000000,-10000000,1452000000,-9000000,-623000000,115000000,556000000,556000000,None,83000000,146000000,None,None,None,None,-539000000,None,1417000000,8000000,1450000000,JCI
2014-03-31,USD,266000000,None,None,-66000000,-29000000,86000000,72000000,-11000000,-6000000,207000000,-82000000,-213000000,405000000,0,0,None,74000000,146000000,None,None,None,None,22000000,None,16000000,-9000000,207000000,JCI
2013-12-31,USD,100000000,None,None,-193000000,18000000,94000000,63000000,-25000000,30000000,272000000,-67000000,-133000000,310000000,250000000,250000000,None,74000000,130000000,None,None,None,None,-210000000,None,-84000000,-7000000,270000000,JCI
2013-09-30,USD,-26000000,None,None,-21000000,11000000,95000000,64000000,41000000,-35000000,163000000,-210000000,-60000000,-410000000,0,0,None,74000000,130000000,None,None,None,None,28000000,None,108000000,5000000,166000000,JCI
2013-06-30,USD,135000000,None,None,16000000,88000000,95000000,65000000,38000000,38000000,135000000,-121000000,-171000000,381000000,100000000,100000000,None,74000000,130000000,None,None,None,None,-69000000,None,-37000000,-13000000,135000000,JCI
2013-03-31,USD,70000000,None,None,45000000,-8000000,84000000,50000000,-15000000,4000000,70000000,-15000000,-174000000,-1000000,150000000,150000000,None,70000000,70000000,None,None,None,None,-102000000,None,-72000000,-6000000,72000000,JCI
2012-12-31,USD,-35000000,None,None,-336000000,38000000,105000000,90000000,9000000,29000000,165000000,-188000000,-90000000,0,50000000,50000000,None,70000000,253000000,None,None,None,None,-4000000,None,-310000000,3000000,163000000,JCI
2012-09-30,USD,756000000,None,None,-252000000,-150000000,66000000,-1000000,55000000,-3000000,-419000000,-427000000,-27000000,0,0,0,None,115000000,123000000,None,None,None,None,86000000,None,321000000,19000000,-419000000,JCI
2012-06-30,USD,242000000,None,None,312000000,152000000,107000000,111000000,78000000,16000000,245000000,-12000000,-268000000,-1000000,200000000,200000000,None,115000000,122000000,None,None,None,None,-148000000,None,32000000,-26000000,246000000,JCI
2012-03-31,USD,327000000,None,None,32000000,157000000,105000000,95000000,31000000,25000000,323000000,-110000000,-193000000,-35000000,100000000,100000000,None,115000000,123000000,None,None,None,None,-41000000,None,73000000,18000000,323000000,JCI
2011-12-31,USD,338000000,None,None,-286000000,43000000,101000000,90000000,-43000000,33000000,322000000,-441000000,-271000000,35000000,200000000,200000000,None,116000000,109000000,None,None,None,None,-171000000,None,-377000000,-3000000,322000000,JCI
2011-09-30,USD,1780000000,None,None,18000000,-52000000,-555000000,-177000000,-136000000,-153000000,387000000,-810000000,-212000000,-104000000,0,0,None,116000000,109000000,None,None,0,None,12000000,None,-239000000,-33000000,400000000,JCI
2011-06-30,USD,358000000,None,None,155000000,170000000,331000000,187000000,140000000,30000000,358000000,-219000000,-332000000,40000000,300000000,300000000,None,118000000,108000000,None,None,None,None,-252000000,None,-211000000,13000000,359000000,JCI
2011-03-31,USD,316000000,None,None,-31000000,115000000,322000000,182000000,54000000,61000000,316000000,-310000000,-587000000,-516000000,500000000,500000000,None,111000000,109000000,None,None,None,None,-458000000,None,-222000000,7000000,315000000,JCI
2010-12-31,USD,236000000,None,None,-349000000,93000000,323000000,179000000,-11000000,104000000,659000000,654000000,-600000000,-16000000,500000000,500000000,None,113000000,87000000,None,None,None,None,-478000000,None,297000000,7000000,659000000,JCI
2010-09-30,USD,266000000,None,None,163000000,-4000000,-420000000,-161000000,None,0,266000000,-336000000,-710000000,-1000000,624000000,624000000,None,105000000,88000000,None,None,None,None,-608000000,None,-48000000,20000000,266000000,JCI
2010-06-30,USD,256000000,None,None,280000000,120000000,304000000,180000000,None,61000000,256000000,-448000000,-276000000,1000000,276000000,276000000,None,97000000,87000000,None,None,None,None,-276000000,None,-910000000,-14000000,254000000,JCI
