fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-11-30,USD,-16700000,700000,None,-46500000,-15500000,16100000,10000000,-12000000,-3400000,-5200000,-8000000,-43700000,0,33600000,33600000,None,10200000,10200000,None,None,None,None,-33600000,None,None,None,-5200000,WGO
2024-08-31,USD,40700000,21600000,None,1200000,-9000000,18100000,11200000,-15600000,1500000,-29100000,-9500000,-18400000,0,10200000,10200000,None,9000000,9000000,None,None,None,None,-10200000,None,None,None,-29100000,WGO
2024-05-25,USD,99400000,15400000,None,-3600000,-65000000,14500000,11000000,-35100000,-24400000,29000000,-10900000,-36100000,0,20100000,20100000,None,9100000,9100000,None,None,None,None,-20100000,None,None,None,29000000,WGO
2024-02-24,USD,25200000,10700000,None,3600000,15500000,14200000,11000000,46800000,-28300000,-12700000,-10800000,31700000,56200000,0,0,None,9100000,9100000,None,None,None,None,0,None,None,None,-12700000,WGO
2023-11-25,USD,-21400000,2500000,None,-42500000,34800000,14500000,11800000,9100000,24000000,25800000,-14700000,-54200000,0,44200000,44200000,None,9600000,9600000,None,None,None,None,-44200000,None,None,None,25800000,WGO
2023-08-26,USD,138100000,15100000,None,-600000,-72000000,15800000,15200000,-26900000,-48000000,43800000,-15600000,-38500000,0,30200000,30200000,None,8100000,8100000,None,None,None,0,-30200000,None,None,None,43800000,WGO
2023-05-27,USD,139600000,15800000,None,-49100000,-121300000,12000000,18600000,-77000000,-32100000,59100000,-105800000,-37200000,0,20000000,20000000,None,8300000,8300000,None,None,None,None,-20000000,None,-3400000,None,59100000,WGO
2023-02-25,USD,-13100000,9800000,None,16900000,72900000,10500000,21600000,78400000,-12000000,52800000,-21500000,-7800000,0,400000,400000,None,8300000,8300000,None,None,None,None,-400000,None,-42400000,None,52800000,WGO
2022-11-26,USD,29900000,2300000,None,-95700000,-29800000,11200000,27800000,-51200000,28300000,60200000,-27100000,-13300000,0,4500000,4500000,None,8500000,8500000,None,None,None,None,-4500000,None,-10500000,None,60200000,WGO
2022-08-27,USD,155400000,13606000,None,-9765000,-68029000,13869000,24741000,-119300000,42200000,82609000,-24400000,-86900000,0,80100000,80032000,None,5730000,5700000,None,None,None,0,-80032000,None,44099000,None,82600000,WGO
2022-05-28,USD,199100000,2380000,None,41786000,8949000,14280000,19802000,-6200000,19800000,117222000,-19500000,-76300000,0,70000000,70025000,None,6061000,6100000,None,None,None,None,-70025000,None,121114000,None,117200000,WGO
2022-02-26,USD,-10400000,7126000,None,56683000,154588000,13476000,20211000,116400000,39000000,91175000,-20400000,-45800000,0,40500000,40495000,None,5981000,6000000,None,None,None,None,-40495000,None,87142000,None,91200000,WGO
2021-11-27,USD,56500000,4765000,None,-24410000,72698000,14091000,23215000,7200000,70300000,99630000,-251400000,-28300000,0,23700000,23723000,None,6010000,6000000,None,None,None,None,-23723000,None,-223179000,None,99600000,WGO
2021-08-28,USD,89346000,12417000,None,23431000,42485000,9537000,21295000,25616000,9302000,84085000,-21630000,-38982000,0,35491000,35480000,None,4032000,4064000,None,None,None,0,-35480000,None,28722000,None,84114000,WGO
2021-05-29,USD,81032000,2374000,None,48668000,53467000,8507000,8676000,-4163000,56319000,71295000,-4005000,-4201000,0,0,0,None,4061000,4061000,None,None,None,0,0,None,72274000,None,71295000,WGO
2021-02-27,USD,69592000,9867000,None,25969000,15036000,7990000,6231000,1167000,15607000,69068000,-6217000,-3299000,0,503000,503000,None,4029000,4029000,None,None,None,0,-503000,None,71836000,None,69068000,WGO
2020-11-28,USD,-2670000,2377000,None,1740000,90269000,8396000,8689000,10380000,80472000,57423000,-1148000,-15818000,0,11606000,11606000,None,4046000,4046000,None,None,None,0,-11606000,None,-19636000,None,57423000,WGO
2020-08-29,USD,107997000,3032000,None,82870000,43674000,13074000,3795000,57213000,-14056000,68398000,-3670000,35768000,40000000,55000,1844000,None,3707000,3707000,None,None,None,0,-1844000,None,68398000,None,42459000,WGO
2020-05-30,USD,43273000,5748000,None,-28900000,-70609000,11204000,9556000,-19706000,-46663000,-12353000,-6248000,-7484000,0,1789000,0,None,3707000,3707000,None,None,None,0,0,None,-18075000,None,-12353000,WGO
2020-02-29,USD,40131000,5447000,None,3637000,-5024000,12252000,12433000,16172000,-25193000,17268000,-12497000,-6023000,0,-1663000,-1663000,None,3705000,3705000,None,None,None,0,0,None,10969000,None,17268000,WGO
2019-11-30,USD,79033000,5778000,None,2150000,-47904000,8003000,6624000,-27906000,-20082000,14068000,-270661000,255525000,300000000,1663000,1663000,None,3469000,3469000,None,None,None,42210000,42210000,None,63897000,None,14068000,WGO
2019-08-31,USD,50901000,4586000,None,-10089000,-12576000,6751000,9177000,-27379000,10957000,44765000,-8439000,-9207000,-5643000,447000,447000,None,3469000,3469000,None,None,None,0,-447000,None,33255000,None,31868000,WGO
2019-05-25,USD,30911000,2866000,None,-12748000,3120000,5798000,8315000,5606000,1787000,36171000,-7473000,-22279000,-17687000,1104000,1104000,None,3488000,3488000,None,None,None,0,-1104000,None,1159000,None,36171000,WGO
2019-02-23,USD,-2233000,3733000,None,22930000,42679000,5366000,10595000,39103000,-1418000,21598000,-9862000,14410000,23316000,5672000,5672000,None,3530000,3530000,None,None,None,0,-5672000,None,2315000,None,21598000,WGO
2018-11-24,USD,54171000,3736000,None,-1536000,-26886000,6222000,12771000,-23748000,-3070000,22161000,-13162000,-42649000,-38518000,948000,948000,None,3183000,3183000,None,None,None,0,-948000,None,-1640000,None,22161000,WGO
2018-08-25,USD,22334000,4630000,None,-4700000,45464000,7561000,10545000,13144000,10078000,45688000,-93871000,34850000,38532000,0,0,None,3181000,3181000,None,None,None,None,0,None,-36687000,None,29790000,WGO
2018-05-26,USD,45967000,3029000,None,-8402000,-28000,4284000,6448000,-8422000,-28000,32521000,-6496000,-27885000,-19700000,5003000,5003000,None,3182000,3182000,None,None,None,None,-5003000,None,11586000,None,32521000,WGO
2018-02-24,USD,-14413000,4358000,None,31622000,26558000,4131000,6318000,40692000,26558000,22088000,-6072000,-6540000,-50000,115000,115000,None,6400000,6375000,None,None,None,None,-115000,None,-27025000,None,22088000,WGO
2017-11-25,USD,29458000,4548000,None,1286000,9821000,4622000,5357000,-7675000,9821000,17958000,-5322000,-5613000,-4250000,1363000,1363000,None,3187000,0,None,None,None,None,-1363000,None,18523000,None,17958000,WGO
2017-08-26,USD,29777000,4605000,0,919000,-1332000,4817000,4253000,-6261000,-1332000,43471000,-1854000,-16347000,-13000000,163000,163000,None,3184000,3184000,None,None,None,None,-163000,None,11576000,None,24923000,WGO
2017-05-27,USD,62208000,5557000,0,16647000,-3735000,12018000,2802000,215000,-3735000,19391000,-2584000,-46186000,-43000000,2000,2000,None,3184000,3184000,None,None,None,None,-2000,None,13438000,None,19391000,WGO
