fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,None,472000000,None,None,None,None,221000000,561000000,None,113000000,None,None,-63000000,None,None,None,None,177000000,177000000,None,None,None,None,None,None,None,None,281000000,TX
2024-09-30,USD,265873267,None,None,None,None,184000000,412214337,None,None,None,None,190459693,None,None,None,None,7715322,7715322,None,None,None,None,None,None,None,None,31656000,TX
2024-06-30,USD,650307113,None,None,None,None,197642826,403096909,None,None,None,None,-548822201,None,None,None,None,472829672,472829672,None,None,None,None,None,None,None,None,-721621197,TX
2024-03-31,USD,471426880,None,None,None,None,169572744,445622461,None,None,None,None,-52601315,None,None,None,None,0,0,None,None,None,None,None,None,None,None,358717149,TX
2023-12-31,USD,1150624046,None,None,None,None,191639560,811063364,None,202470000,None,None,-302797878,None,None,None,None,266542079,266542079,None,None,None,None,None,None,None,None,415386273,TX
2023-09-30,USD,945386000,None,None,None,None,165194000,382097000,None,None,None,-854000000,2559000,None,None,None,None,422680,422680,None,None,None,None,None,None,None,None,-782839000,TX
2023-06-30,USD,47934000,None,None,None,None,150906000,197515000,None,None,None,-828281000,-371049000,None,None,None,None,347871087,347871087,None,None,None,None,None,None,None,None,735883000,TX
2023-03-31,USD,612000000,None,None,None,None,151000000,198000000,None,None,None,-865183000,-164000000,None,None,None,None,353354000,353354000,None,None,None,None,None,None,None,None,480000000,TX
2022-12-31,USD,1032000000,None,None,None,None,160000000,159000000,None,438090000,None,-1324611000,-236000000,None,None,None,None,177000000,177000000,None,None,None,None,None,None,None,None,59000000,TX
2022-09-30,USD,1033728000,None,None,None,None,153174000,136214000,None,438090000,None,-267109000,-13690000,None,None,None,None,3136638,3136638,None,None,None,None,None,None,None,None,219903000,TX
2022-06-30,USD,-5000000,None,None,None,None,153000000,161000000,None,None,None,-413156000,-631000000,None,None,None,None,353000000,353000000,None,None,None,None,None,None,None,None,936000000,TX
2022-03-31,USD,692289000,None,None,None,None,149529000,124838000,None,None,None,-42266000,-135138000,None,None,None,None,353354000,353354000,None,None,None,None,None,None,None,None,877518000,TX
2021-12-31,USD,1135100000,None,None,None,None,146200000,121900000,None,-1906524000,None,-621000000,-188500000,None,None,None,None,157000000,157000000,None,None,None,None,None,None,None,None,1135800000,TX
2021-09-30,USD,586000000,None,None,None,None,145000000,111000000,None,-282000000,None,-307339000,-84000000,None,None,None,None,3983429,3983429,None,None,None,None,None,None,None,None,1366000000,TX
2021-06-30,USD,628000000,None,None,None,None,149000000,161000000,None,-282000000,None,-136454000,-552000000,None,None,None,None,412000000,412000000,None,None,None,None,None,None,None,None,1158000000,TX
2021-03-31,USD,327837000,None,None,None,None,151585000,129701000,None,-282000000,None,19415000,-29480000,None,None,None,None,412200000,412200000,None,None,None,None,None,None,None,None,706668000,TX
2020-12-31,USD,354900000,None,None,None,None,154000000,120500000,None,156517000,None,-312984000,-162000000,None,None,None,None,412200000,412200000,None,None,None,None,None,None,None,None,670600000,TX
2020-09-30,USD,460000000,None,None,None,None,152400000,71100000,None,156517000,None,10470000,-224600000,None,None,None,None,412200000,412200000,None,None,None,None,None,None,None,None,-21000000,TX
2020-06-30,USD,503700000,None,None,None,None,158300000,110800000,None,279691000,None,-709509000,-239100000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,43600000,TX
2020-03-31,USD,385820000,None,None,None,None,176843000,303877000,None,510972000,None,-164844000,-185192000,None,None,None,None,235569000,235569000,None,None,None,None,None,None,None,None,86844000,TX
2019-12-31,USD,385820000,None,None,None,None,176843000,303877000,None,177977000,None,-302527000,-185192000,None,None,None,None,235569000,235569000,None,None,None,None,None,None,None,None,86844000,TX
2019-09-30,USD,506200000,None,None,None,None,159400000,255900000,None,111302000,None,-890499000,-193600000,None,None,None,None,235569000,235569000,None,None,None,None,None,None,None,None,111900000,TX
2019-06-30,USD,271080000,None,None,None,None,175022000,275296000,None,118858000,None,-446049000,283681000,None,None,None,None,235569000,235569000,None,None,None,None,None,None,None,None,204985000,TX
2019-03-31,USD,525000000,None,None,None,None,130100000,164600000,None,-186409000,None,-202423000,-537300000,None,None,None,None,38000,38000,None,None,None,None,None,None,None,None,435400000,TX
2018-12-31,USD,525000000,None,None,None,None,130100000,164600000,None,-19318000,None,-147384000,-537300000,None,None,None,None,38000,38000,None,None,None,None,None,None,None,None,435400000,TX
2018-09-30,USD,449342000,None,None,None,None,164581000,106475000,None,-81511000,None,-78456000,-187833000,None,None,None,None,215900000,215900000,None,None,None,None,None,None,None,None,450896000,TX
2018-06-30,USD,538400000,None,None,None,None,154400000,131900000,None,100000000,None,-116756000,-418200000,None,None,None,None,215900000,215900000,None,None,None,None,None,None,None,None,289300000,TX
2018-03-31,USD,32109000,None,None,None,None,152367000,126529000,None,-540162000,None,-114416000,24263000,None,None,None,None,65000,65000,None,None,None,None,None,None,None,None,198018000,TX
2017-12-31,USD,32109000,None,None,None,None,152367000,126529000,None,-194000000,None,-2029958000,24263000,None,None,None,None,65000,65000,None,None,None,None,None,None,None,None,198018000,TX
2017-09-30,USD,245292000,None,None,None,None,116295000,100383000,None,-393000000,None,-1714129000,1674834000,None,None,None,None,196308000,196308000,None,None,None,None,None,None,None,None,232731000,TX
2017-06-30,USD,20698000,None,None,None,None,105035000,98619000,None,-67000000,None,-100962000,-26383000,None,None,None,None,196300000,196300000,None,None,None,None,None,None,None,None,281789000,TX
2017-03-31,USD,278100000,None,None,None,None,103900000,100400000,None,-151263000,None,-113193000,-173800000,None,None,None,None,183000,183000,None,None,None,None,None,None,None,None,144800000,TX
2016-12-31,USD,278100000,None,None,None,None,103900000,100400000,None,-78000000,None,-554670000,-173800000,None,None,None,None,183000,183000,None,None,None,None,None,None,None,None,144800000,TX
2016-09-30,USD,220363000,None,None,None,None,103105000,104869000,None,-208000000,None,-123353000,-125421000,None,None,None,None,176677000,176677000,None,None,None,None,None,None,None,None,264333000,TX
2016-06-30,USD,363739000,None,None,None,None,99254000,132358000,None,93000000,None,-244000000,-124022000,None,None,None,None,176700000,176700000,None,None,None,None,None,None,None,None,174253000,TX
2016-03-31,USD,313500000,None,None,None,None,105500000,123800000,None,349662000,None,None,-129900000,None,None,None,None,176677000,176677000,None,None,None,None,None,None,None,None,-126500000,TX
2015-12-31,USD,313500000,None,None,None,None,105500000,123800000,None,191000000,None,-572061000,-129900000,None,None,None,None,176677000,176677000,None,None,None,None,-43130000,None,None,None,-126500000,TX
2015-09-30,USD,251465000,None,None,None,None,109907000,115324000,None,46000000,None,None,-216812000,None,None,None,None,176677000,176677000,None,None,None,None,None,None,None,None,40014000,TX
2015-06-30,USD,434739000,None,None,None,None,109124000,143642000,None,244000000,None,None,-303441000,None,None,None,None,176700000,176700000,None,None,None,None,None,None,None,None,168444000,TX
2015-03-31,USD,208300000,None,None,None,None,109600000,108700000,None,-357023000,None,None,65300000,None,None,None,None,33632000,33632000,None,None,None,None,None,None,None,None,60100000,TX
2014-12-31,USD,208300000,None,None,None,None,109600000,108700000,None,68000000,None,-675774000,65300000,None,None,None,None,33632000,33632000,None,None,None,None,-43130000,None,None,None,60100000,TX
2014-09-30,USD,287822000,None,None,None,None,108492000,94757000,None,-86000000,None,None,-145513000,None,None,None,None,147231000,147231000,None,None,None,None,None,None,None,None,160171000,TX
2014-06-30,USD,33611000,None,None,None,None,98778000,136430000,None,-20000000,None,None,108332000,None,None,None,None,147200000,147200000,None,None,None,None,None,None,None,None,180317000,TX
2014-03-31,USD,246700000,None,None,None,None,94500000,158200000,None,-115843000,None,None,-92200000,None,None,None,None,39300000,39300000,None,None,None,None,None,None,None,None,171100000,TX
2013-12-31,USD,246700000,None,None,None,None,94500000,158200000,None,-110000000,None,-882779000,-92200000,None,None,None,None,39300000,39300000,None,None,None,None,None,None,None,None,171100000,TX
2013-09-30,USD,290000000,None,None,None,None,92300000,217500000,None,80000000,None,None,-84200000,None,None,None,None,127600000,127600000,None,None,None,None,None,None,None,None,136000000,TX
2013-06-30,USD,207700000,None,None,None,None,94500000,289600000,None,26000000,None,None,-14700000,None,None,None,None,155000000,155000000,None,None,None,None,None,None,None,None,134400000,TX
2013-03-31,USD,276500000,None,None,None,None,104200000,312400000,None,20250000,None,None,131300000,None,None,None,None,158382000,158382000,None,None,None,None,None,None,None,None,-275000000,TX
2012-12-31,USD,276500000,None,None,None,None,104200000,312400000,None,91000000,None,None,131300000,None,None,None,None,158382000,158382000,None,None,None,None,None,None,None,None,-275000000,TX
2012-09-30,USD,335900000,None,None,None,None,87400000,303700000,None,130000000,None,None,-205000000,None,None,None,None,147231000,147231000,None,None,None,None,None,None,None,None,135600000,TX
2012-06-30,USD,155700000,None,None,None,None,90500000,230200000,None,-66000000,None,None,-121600000,None,None,None,None,163100000,163100000,None,None,None,None,None,None,None,None,115300000,TX
2012-03-31,USD,444935000,None,None,None,None,96042000,156343000,None,-31000000,None,None,-6070000,None,None,None,None,10000,10000,None,None,None,None,None,None,None,None,136408000,TX
2011-12-31,USD,444935000,None,None,None,None,96042000,156343000,None,189000000,None,121649000,-6070000,None,None,None,None,10000,10000,None,None,None,None,None,None,None,None,136408000,TX
2011-09-30,USD,132896000,None,None,None,None,100968000,167763000,None,160000000,None,None,-133131000,None,None,None,None,140569000,140569000,None,None,None,None,None,None,None,None,23449000,TX
2011-06-30,USD,-179334000,None,None,None,None,106137000,167555000,None,-420000000,None,None,74404000,None,None,None,None,147200000,147200000,None,None,None,None,None,None,None,None,246896000,TX
2011-03-31,USD,225430000,None,None,None,None,103280000,130141000,None,-100000000,None,None,21433000,None,None,None,None,302000,302000,None,None,None,None,-150000000,None,None,None,102849000,TX
2010-12-31,USD,225430000,None,None,None,None,103280000,130141000,None,73000000,None,None,21433000,None,None,None,None,302000,302000,None,None,None,None,None,None,None,None,102849000,TX
2010-09-30,USD,49094000,None,None,None,None,94729000,69900000,None,-395000000,None,224925000,-251112000,None,None,None,None,100237000,100237000,None,None,None,None,None,None,None,None,200836000,TX
