fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,None,55225000,None,None,None,None,9781000,0,None,None,None,None,-46404000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-569181000,OCFT
2024-09-30,CNY,-34081000,None,None,None,None,None,0,None,None,None,None,-106056000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29510000,OCFT
2024-06-30,CNY,-182757000,None,None,None,None,None,3774000,None,None,None,None,-28821000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,243348000,OCFT
2024-03-31,CNY,174099000,None,None,None,None,30630000,5981000,None,None,None,None,-32373000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-81349000,OCFT
2023-12-31,CNY,-115236000,None,None,None,None,30630000,0,None,None,None,None,-100971000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-104334000,OCFT
2023-09-30,CNY,-189646000,None,None,None,None,35946000,0,None,None,None,217770000,-92331000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-90901000,OCFT
2023-06-30,CNY,-189646000,None,None,None,None,35946000,2892000,None,None,None,-108947000,-92331000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-90901000,OCFT
2023-03-31,CNY,175076000,None,None,None,None,29733000,22066000,None,None,None,-108947000,-63366000,None,None,None,None,None,None,None,None,None,None,-74992000,None,None,None,562374000,OCFT
2022-12-31,CNY,-613264000,None,None,None,None,56966000,2892000,None,None,None,340401000,-44421000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-113015000,OCFT
2022-09-30,CNY,-128004000,None,None,None,None,35509000,2892000,None,None,None,24874000,61575000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-140709000,OCFT
2022-06-30,CNY,325638000,None,None,None,None,40674000,4351000,None,None,None,-42373000,-135237000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-244789000,OCFT
2022-03-31,CNY,-1118694000,None,None,None,None,81006000,9417000,None,None,None,1550267000,-557038000,None,None,None,None,None,None,None,None,None,None,-104997000,None,None,None,-317585000,OCFT
2021-12-31,CNY,491478000,None,None,None,None,102907000,38465000,None,-32423000,None,-581152000,-388349000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-392794000,OCFT
2021-09-30,CNY,332706000,None,None,None,None,72154000,45553000,None,None,None,657160000,-20116000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-269658000,OCFT
2021-06-30,CNY,-767735000,None,None,None,None,80492000,45553000,None,None,None,-716020000,61343000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-348950000,OCFT
2021-03-31,CNY,-460783000,None,None,None,None,77346000,45553000,None,None,None,1028447000,-1264659000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-304732000,OCFT
2020-12-31,CNY,727558000,None,None,None,None,111369000,232153000,None,-103423000,None,601176000,-225140000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-430501000,OCFT
2020-09-30,CNY,-310618000,None,None,None,None,71437000,12969000,None,None,None,-527324000,2431075000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-243025000,OCFT
2020-06-30,CNY,-532564000,None,None,None,None,29346000,4087000,None,None,None,-469604000,-5512000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-330934000,OCFT
2020-03-31,CNY,-344181000,None,None,None,None,64372000,101756000,None,None,None,1711477000,2213173000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-619375000,OCFT
2019-12-31,CNY,-344181000,None,None,None,None,1.49,101756000,0,0,None,-1716686000,2213173000,None,None,None,None,0,0,None,None,None,None,2137257000,None,0,0,-619375000,OCFT
2019-09-30,CNY,-446051000,None,None,None,None,0.88,212704000,0,0,None,260928000,64221000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-286308000,OCFT
2019-06-30,CNY,-423957000,None,None,None,None,1.05,116410000,0,0,None,260928000,-1738330000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-339649000,OCFT
2019-03-31,CNY,-603265000,None,None,None,None,1.26,31590000,0,0,None,1804879000,1215493000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-415234000,OCFT
2018-12-31,CNY,-352244000,None,None,None,None,0,177194000,0,0,None,-844003489.13,20233000,None,None,None,None,0,0,None,None,None,None,641094860.80,None,0,0,-620956000,OCFT
2018-09-30,CNY,31049076.27,None,None,None,None,4477136.08,3254232.85,0,0,None,193970359.16,-150310384.49,None,None,None,None,0,0,None,None,None,None,0,None,0,0,-31227270.74,OCFT
