fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,1600000000,None,32000000,485000000,161000000,2000000,223000000,31000000,65000000,397000000,-2608000000,726000000,None,0,0,None,None,None,None,None,5252000000,None,0,None,None,None,397000000,MELI
2024-06-30,USD,1882000000,None,53000000,353000000,100000000,1000000,184000000,41000000,56000000,531000000,-2085000000,476000000,None,1000000,1000000,None,None,None,None,None,3804000000,None,0,None,None,None,531000000,MELI
2024-03-31,USD,1512000000,None,85000000,190000000,213000000,11000000,148000000,22000000,-11000000,344000000,-1466000000,0,None,0,0,None,None,None,None,None,3519000000,None,0,None,None,None,344000000,MELI
2023-12-31,USD,1928000000,1298000000,42000000,617000000,-7000000,413000000,180000000,46000000,-16000000,1955000000,-914000000,73000000,None,0,0,None,None,None,None,None,5573000000,None,0,None,None,None,165000000,MELI
2023-09-30,USD,941000000,49000000,89000000,259000000,72000000,1000000,126000000,8000000,19000000,359000000,-1330000000,132000000,0,149000000,149000000,None,None,None,None,0,7073000000,None,-149000000,None,None,None,359000000,MELI
2023-06-30,USD,1412000000,39000000,69000000,115000000,84000000,1000000,114000000,26000000,27000000,262000000,-668000000,-360000000,0,146000000,146000000,None,None,None,None,0,6340000000,None,-146000000,None,384000000,None,262000000,MELI
2023-03-31,USD,859000000,41000000,55000000,146000000,67000000,7000000,89000000,12000000,39000000,198000000,-538000000,-112000000,0,61000000,61000000,None,None,None,None,0,5977000000,None,-61000000,None,209000000,None,201000000,MELI
2022-12-31,USD,1542000000,716000000,39000000,304000000,37000000,319000000,112000000,44000000,-12000000,1458000000,-646000000,-12000000,0,33000000,33000000,None,None,None,None,0,4539000000,None,-33000000,None,884000000,None,165000000,MELI
2022-09-30,USD,724000000,31000000,30000000,86000000,-61000000,1000000,106000000,-5000000,-21000000,129000000,-664000000,342000000,0,41000000,41000000,None,None,None,None,0,5163000000,None,-41000000,None,402000000,None,129000000,MELI
2022-06-30,USD,907000000,27000000,28000000,125000000,-30000000,2000000,100000000,-39000000,-43000000,124000000,-1337000000,434000000,0,35000000,35000000,None,None,None,None,0,3991000000,None,-35000000,None,4000000,None,123000000,MELI
2022-03-31,USD,-233000000,27000000,26000000,-148000000,98000000,9000000,137000000,71000000,-38000000,65000000,-1224000000,152000000,0,39000000,39000000,None,None,None,None,0,3324000000,None,-39000000,None,-1305000000,None,65000000,MELI
2021-12-31,USD,701000000,359553000,12569000,237089000,63003000,148279000,155639000,19125000,28000000,853165000,-710000000,2259000000,0,46000000,45881000,None,1519545000,1519545000,0,0,3205613000,None,1473664000,None,853165000,None,-46000000,MELI
2021-09-30,USD,265000000,19771000,7696000,117379000,94987000,1630000,171534000,-22804000,67000000,95225000,-631000000,422000000,0,298000000,298042000,None,None,None,0,0,2554081000,None,-298042000,None,95225000,None,95000000,MELI
2021-06-30,USD,264000000,16853000,5369000,152823000,150126000,1320000,161846000,51074000,28000000,68195000,-158000000,103000000,0,117000000,116642000,None,82035000,82035000,0,0,1662392000,None,-116642000,None,68195000,None,68000000,MELI
2021-03-31,USD,-265000000,14779000,9478000,-206531000,47994000,2642000,120477000,-21064000,19000000,-34012000,-98000000,-859000000,0,25000000,25321000,None,82035000,82035000,0,0,1839617000,None,-25321000,None,-1220649000,None,-34000000,MELI
2020-12-31,USD,256005000,205270000,15948000,261720000,200842000,83504000,87251000,39181000,66678000,489034000,586130000,-364000,0,14329000,14414000,None,356000,356000,0,0,506561000,None,-14414000,None,489034000,None,-51000000,MELI
