fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,316225000,356999000,40774000,40774000,79880000,164491000,66638000,236345000,2646000,2646000,None,None,356999000,3525000,None,22362000,85803000,17981000,None,68070000,51467000,79880000,102242000,67822000,DLB
2024-09-30,USD,270810000,304806000,33996000,33996000,46354000,157110000,68636000,224456000,None,6854000,None,None,304806000,6526000,None,21360000,59438000,868000,None,58866000,69555000,46354000,67714000,58570000,DLB
2024-06-30,USD,253155000,288818000,35663000,35663000,36783000,146793000,65501000,216372000,9439000,9439000,None,None,288818000,3942000,None,18309000,48953000,10509000,None,39655000,37340000,36783000,55092000,38444000,DLB
2024-03-31,USD,325746000,364523000,38777000,38777000,108968000,156780000,62493000,216778000,8597000,8597000,8597000,None,364523000,4183000,None,18018000,121330000,23500000,None,98248000,90190000,108968000,126986000,97830000,DLB
2023-12-31,USD,283514000,315574000,32060000,32060000,66221000,144169000,67033000,217293000,9187000,9187000,None,None,315574000,5425000,None,17872000,80233000,13252000,None,67581000,82537000,66221000,84093000,66981000,DLB
2023-09-30,USD,255010000,290562000,35552000,35552000,-3494000,157482000,70426000,258504000,None,28247000,None,None,290562000,3247000,None,21130000,8295000,-891000,None,9924000,3365000,-3494000,17636000,9186000,DLB
2023-06-30,USD,256855000,298370000,41515000,41515000,15935000,155548000,68696000,240920000,7316000,-114000,7316000,114000,298370000,620000,None,21040000,23799000,7352000,114000,16357000,12662000,23913000,44953000,16399000,DLB
2023-03-31,USD,334842000,375891000,41049000,41049000,109224000,157634000,67951000,225618000,6773000,34000,6807000,-34000,375891000,1250000,None,21233000,117094000,21398000,-34000,95883000,100145000,117060000,138293000,95696000,DLB
2022-12-31,USD,300471000,334921000,34450000,34450000,94088000,142177000,64450000,206383000,4878000,-81000,4797000,81000,334921000,1097000,None,19155000,99875000,20534000,81000,79482000,99141000,99956000,119111000,79375000,DLB
2022-09-30,USD,241025000,278204000,37179000,37179000,27108000,147267000,62070000,213917000,3338000,6429000,6568000,139000,278204000,667000,None,19079000,30937000,3181000,139000,27793000,6541000,31076000,50155000,27756000,DLB
2022-06-30,USD,253628000,289585000,35957000,35957000,45566000,144227000,62859000,208062000,1416000,-84000,1416000,84000,289585000,2514000,None,23550000,49397000,9800000,84000,39612000,24852000,49481000,73031000,39597000,DLB
2022-03-31,USD,298856000,334371000,35515000,35515000,43350000,182923000,67421000,255506000,1098000,-87000,1098000,87000,334371000,-910000,None,22355000,43652000,6932000,87000,36519000,32560000,43739000,66094000,36720000,DLB
2021-12-31,USD,318924000,351633000,32709000,32709000,90581000,159614000,68824000,228343000,716000,-84000,716000,84000,351633000,229000,None,23477000,91414000,11400000,84000,80010000,78523000,91498000,114975000,80014000,DLB
