fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,121435000,156306000,102320000,30015000,-4312000,63059000,56111000,125747000,None,4585000,5902000,1317000,156306000,None,2300000,9246000,5129000,3350000,None,1779000,13450000,6446000,15692000,1779000,ALTR
2024-06-30,USD,118279000,148649000,103914000,30516000,-9903000,65769000,55570000,128182000,None,4292000,5896000,1604000,148649000,None,2300000,7629000,-5757000,-610000,None,-5147000,-7133000,-4153000,3476000,-5147000,ALTR
2024-03-31,USD,142019000,169571000,100526000,30893000,20935000,62195000,52333000,121084000,None,-1576000,5722000,1576000,171147000,None,2200000,7438000,23316000,6769000,1576000,16547000,11552000,24892000,32330000,16547000,ALTR
2023-12-31,USD,142330000,173601000,97664000,29173000,22590000,60691000,52519000,119740000,None,-1533000,5163000,1533000,175134000,None,2200000,7800000,29851000,10176000,1533000,19675000,29629000,31384000,39184000,19675000,ALTR
2023-09-30,USD,104917000,129541000,98073000,29086000,-11264000,61287000,51598000,116181000,None,-1529000,4823000,1529000,131070000,None,2100000,7700000,-10903000,-6541000,1529000,-4362000,-12464000,-9374000,-1674000,-4362000,ALTR
2023-06-30,USD,110364000,139844000,102001000,30797000,-16269000,63604000,55277000,126633000,None,-1528000,3984000,1528000,141372000,None,2100000,7600000,-13602000,8678000,1528000,-22280000,-23690000,-12074000,-4474000,-22280000,ALTR
2023-03-31,USD,133299000,165236000,101978000,32735000,5186000,61443000,53251000,128113000,None,-1526000,2885000,1526000,166762000,2885000,1900000,7800000,7273000,9232000,1526000,-1959000,5292000,8799000,16599000,-1959000,ALTR
2022-12-31,USD,126579000,165971000,109134000,33854000,4616000,66196000,35255000,121963000,None,-1526000,None,1526000,167497000,2119000,2600000,9084000,12273000,208000,1526000,12065000,28636000,13799000,22883000,12065000,ALTR
2022-09-30,USD,91442000,113970000,98401000,27909000,-24996000,63921000,53092000,116438000,None,-1566000,None,1566000,115536000,1708000,1700000,6571000,-28669000,4579000,1566000,-33248000,-51041000,-27103000,-20532000,-33248000,ALTR
2022-06-30,USD,103133000,126215000,99206000,29523000,-7268000,63483000,50437000,110401000,None,-700000,None,700000,126915000,455000,1900000,6200000,-29875000,3899000,700000,-33774000,-49546000,-29175000,-22975000,-33774000,ALTR
2022-03-31,USD,128178000,157283000,96757000,31603000,20711000,59251000,47079000,107467000,None,-585000,None,585000,157868000,155000,1800000,5903000,18058000,6530000,585000,11528000,7470000,18643000,24546000,11528000,ALTR
2021-12-31,USD,108000000,138569000,99422000,32797000,4647000,61699000,38177000,103353000,None,-3067000,None,3067000,141636000,266000,1900000,4873000,2685000,4082000,3067000,-1397000,-2209000,5752000,10625000,-1397000,ALTR
2021-09-30,USD,89806000,118044000,88594000,31501000,-1926000,52785000,35839000,91732000,None,-3037000,None,3037000,121081000,102000,1700000,4432000,-5087000,3022000,3037000,-8109000,-12342000,-2050000,2382000,-8109000,ALTR
2021-06-30,USD,87966000,116137000,92063000,31946000,-8591000,53770000,38757000,96557000,None,-2988000,79000,2988000,119125000,79000,1900000,4615000,-12287000,1361000,2988000,-13648000,-10924000,-9299000,-4684000,-13648000,ALTR
2021-03-31,USD,116741000,146261000,97595000,33422000,18209000,55996000,38276000,98532000,None,-2973000,94000,2973000,149234000,94000,1900000,4877000,14401000,41000,2973000,14360000,10528000,17374000,22251000,14360000,ALTR
2020-12-31,USD,100750000,129710000,91781000,32691000,7323000,53470000,34966000,93427000,None,-3008000,None,3008000,132718000,-722000,1900000,5620000,4380000,2182000,3008000,2198000,9265000,7388000,13008000,2198000,ALTR
2020-09-30,USD,77420000,104213000,80797000,29036000,-3423000,47903000,30678000,80843000,None,-2934000,None,2934000,107147000,782000,1700000,3858000,-5575000,2930000,2934000,-8505000,-3991000,-2641000,1217000,-8505000,ALTR
2020-06-30,USD,73480000,95014000,75427000,25081000,-4292000,46054000,28970000,77772000,None,-2843000,None,2843000,97857000,-320000,2000000,3692000,-7455000,2768000,2843000,-10223000,-7632000,-4612000,-920000,-10223000,ALTR
2020-03-31,USD,96966000,129386000,88782000,34497000,12105000,50445000,31467000,84861000,None,-2813000,2077000,2813000,132199000,1390000,1800000,3840000,10682000,4652000,2813000,6030000,-1411000,13495000,17335000,6030000,ALTR
2019-12-31,USD,86927000,128157000,89733000,36950000,4149000,48881000,30498000,82778000,None,-2785000,2836000,2785000,123877000,849000,1900000,3902000,2213000,3715000,2785000,4149000,930000,4998000,8900000,-1502000,ALTR
2019-09-30,USD,68665000,97166000,82927000,31741000,-10507000,46496000,29667000,79172000,None,-2726000,3240000,2726000,99892000,588000,1900000,3690000,-12645000,3294000,2726000,-15939000,-18795000,-9919000,-6229000,-15939000,ALTR
2019-06-30,USD,75750000,106420000,80695000,31023000,-3202000,46072000,29829000,78952000,None,-590000,353000,590000,107010000,505000,1600000,3600000,-3287000,-167000,590000,-3120000,-1499000,-2697000,903000,-3120000,ALTR
2019-03-31,USD,94974000,127859000,32885000,32885000,17767000,46780000,27516000,77207000,None,-270000,687000,270000,127442000,-390000,1700000,3528000,17107000,4088000,270000,13019000,13584000,17377000,20905000,13019000,ALTR
2018-12-31,USD,72740000,115211000,42471000,30271000,-3557000,49957000,25844000,76297000,None,-108000,None,108000,103011000,534000,1800000,2074000,-3131000,5872000,108000,-3557000,-11202000,-3023000,-949000,-9003000,ALTR
2018-09-30,USD,59547000,93871000,27204000,27204000,1880000,36509000,24301000,57667000,None,-31000,None,31000,152000,970000,1600000,1739000,2819000,1885000,31000,7307000,-179000,2850000,4589000,934000,ALTR
2018-06-30,USD,63904000,95566000,29456000,29456000,175000,37595000,24744000,63729000,None,-45000,None,45000,-217000,176000,2000000,1986000,306000,1386000,45000,1513000,-5229000,351000,2337000,-1080000,ALTR
2018-03-31,USD,84215000,113257000,29042000,29042000,26146000,35967000,22703000,58069000,None,-16000,None,16000,797000,900000,1600000,1940000,27030000,2346000,16000,3920000,25927000,27046000,28986000,24684000,ALTR
2017-12-31,USD,63250000,89867000,26617000,12533000,-3181000,42789000,24036000,66431000,None,-367000,None,367000,-232000,-156000,1700000,2161000,-1170000,59177000,367000,-3181000,-62197000,-803000,1358000,-60347000,ALTR
2017-09-30,USD,58636000,84938000,26302000,31246000,-20928000,51520000,27590000,79564000,None,-634000,None,634000,-105000,-52000,1600000,1189000,-21614000,8012000,634000,-29626000,-29585000,-20980000,-19791000,-29626000,ALTR
2017-06-30,USD,54728000,81646000,26918000,26918000,-7158000,21201000,22838000,61886000,None,None,None,548000,None,-427000,1500000,2623000,-8133000,-887000,None,6905000,-6125000,-7585000,-4489000,-7246000,ALTR
2017-03-31,USD,50128000,76882000,26754000,26754000,-1990000,16089000,18770000,52118000,None,None,None,611000,None,-359000,1500000,2461000,-2960000,-772000,None,-4717000,-1842000,-2349000,556000,-2188000,ALTR
2016-12-31,USD,56627000,82848000,26221000,26221000,7976000,13527000,17912000,48651000,None,None,None,511000,None,16000,1800000,2680000,7481000,1585000,None,10163000,5610000,7992000,10824000,5896000,ALTR
2016-09-30,USD,52431000,78052000,25621000,25621000,224000,15793000,19401000,52207000,None,None,None,507000,None,-148000,1500000,2453000,-431000,-745000,None,None,1110000,76000,2770000,314000,ALTR
2016-06-30,USD,52171000,77511000,25340000,23585000,3615000,48538000,17901000,None,None,None,None,557000,None,None,None,None,3450000,978000,None,None,None,3615000,None,2472000,ALTR
2016-03-31,USD,49411000,74829000,25418000,23803000,3632000,45449000,16111000,None,None,None,None,690000,None,None,None,None,3202000,1721000,None,None,None,3632000,None,1481000,ALTR
