fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,372200000,378500000,6300000,140500000,231700000,6300000,None,95300000,None,-51800000,None,2600000,377600000,None,51500000,51500000,77500000,18900000,2600000,164700000,58600000,231700000,286900000,58600000,HESM
2024-06-30,USD,360300000,365500000,5200000,138000000,222300000,5200000,None,92700000,None,-49700000,None,2300000,364600000,None,50500000,50500000,65500000,16000000,2300000,160300000,49500000,222300000,276500000,49500000,HESM
2024-03-31,USD,349900000,355600000,5700000,127900000,222000000,5700000,None,83800000,None,-2100000,None,2100000,354700000,None,49800000,49800000,58900000,14300000,2100000,161900000,44600000,222000000,271800000,44600000,HESM
2023-12-31,USD,348500000,356500000,8000000,138400000,210100000,8000000,None,96000000,None,-2100000,None,2100000,359500000,None,50400000,50400000,49400000,11900000,2100000,152800000,37500000,210100000,260500000,37500000,HESM
2023-09-30,USD,357100000,363100000,6000000,47700000,220000000,6000000,None,95400000,None,-2100000,None,2100000,361300000,None,47700000,47700000,46700000,11400000,2100000,164800000,35300000,220000000,222000000,35300000,HESM
2023-06-30,USD,318200000,324000000,5800000,47000000,198100000,5800000,None,78900000,None,-2100000,None,2100000,321900000,None,47000000,1700000,33200000,8100000,2100000,147900000,25100000,198100000,199800000,25100000,HESM
2023-03-31,USD,298600000,305000000,6400000,47400000,188700000,6400000,None,68900000,None,-2100000,None,2100000,303400000,None,47400000,1600000,27200000,6500000,2100000,142200000,20700000,188700000,190300000,20700000,HESM
2022-12-31,USD,308500000,314600000,6100000,46400000,196400000,6100000,None,71800000,None,-2200000,None,2200000,313900000,None,46400000,46400000,28800000,7000000,2200000,149800000,21800000,196400000,197500000,21800000,HESM
2022-09-30,USD,329100000,334800000,5700000,45500000,204000000,5700000,None,85300000,None,-2400000,None,2400000,334200000,None,45500000,45500000,30700000,7500000,2400000,159400000,23200000,204000000,206800000,23200000,HESM
2022-06-30,USD,308100000,313400000,5300000,45000000,195300000,5300000,None,73100000,None,-2200000,None,2200000,313000000,None,45000000,45000000,29100000,7100000,2200000,151800000,22000000,195300000,196300000,22000000,HESM
2022-03-31,USD,306400000,312400000,6000000,44400000,195500000,6000000,None,72500000,None,-2000000,None,2000000,312100000,None,44400000,44400000,21900000,5000000,2000000,159600000,16900000,195500000,195900000,16900000,HESM
2021-12-31,USD,310200000,316300000,6100000,43500000,199900000,6100000,None,72900000,None,-2000000,None,2000000,316300000,None,43500000,43500000,22300000,5400000,2000000,165100000,16900000,199900000,245400000,16900000,HESM
2021-09-30,USD,298800000,303900000,5100000,41500000,159200000,5100000,None,103200000,None,-1900000,None,1900000,303900000,None,41500000,41500000,13000000,3100000,1900000,131100000,9900000,159200000,162200000,9900000,HESM
2021-06-30,USD,289600000,294800000,5200000,40400000,185600000,5200000,None,68800000,None,-1700000,None,1700000,294800000,None,40400000,40400000,14600000,3600000,1700000,162000000,11000000,185600000,188500000,11000000,HESM
2021-03-31,USD,282500000,288800000,6300000,40200000,182500000,6300000,None,66100000,None,-1700000,None,1700000,288800000,None,40200000,40200000,11100000,2500000,1700000,159600000,8600000,182500000,185200000,8600000,HESM
2020-12-31,USD,261300000,266500000,5200000,40000000,154700000,5200000,None,71800000,None,-1400000,None,1400000,266500000,None,40000000,40000000,8700000,2100000,1400000,132300000,6600000,154700000,157800000,6600000,HESM
2020-09-30,USD,260600000,264800000,4200000,39500000,137200000,4200000,None,88100000,None,-1600000,None,1600000,264700000,None,39500000,39500000,7400000,1800000,1600000,115800000,5600000,137200000,140800000,5600000,HESM
2020-06-30,USD,265700000,269800000,4100000,38900000,131800000,4100000,None,99000000,None,-1700000,None,1700000,269900000,None,38900000,38900000,7000000,1700000,1700000,107800000,5300000,131800000,132700000,5300000,HESM
2020-03-31,USD,283200000,290800000,7600000,38500000,152800000,7600000,None,99500000,None,-1800000,None,1800000,290600000,None,38500000,38500000,8200000,1700000,1800000,129000000,6500000,152800000,194000000,6500000,HESM
2019-12-31,USD,253500000,253500000,37500000,37500000,90300000,33000000,None,125700000,None,-60800000,57900000,18200000,None,None,37500000,41400000,75000000,-100000,None,90300000,15900000,90300000,93200000,16100000,HESM
