fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,1079650000,1168751000,89101000,None,3192000,59421000,None,91110000,None,None,None,2100000,1161393000,None,None,None,-9108000,-116096000,2100000,116152000,106988000,3192000,None,106988000,AR
2024-09-30,USD,986840000,1055920000,69080000,None,-5903000,54627000,None,68125000,None,None,None,572000,1029634000,None,None,None,-19232000,1212000,528000,-10287000,-20444000,-5903000,None,-20444000,AR
2024-06-30,USD,918133000,978654000,60521000,None,-61989000,59428000,None,60514000,None,None,None,613000,976908000,None,None,None,-78997000,-13334000,613000,-60455000,-65663000,-61989000,None,-65663000,AR
2024-03-31,USD,1060443000,1122271000,61828000,None,65160000,55862000,None,62033000,None,-30187000,-29472000,715000,1114951000,None,None,None,46378000,10033000,715000,48287000,36345000,65160000,None,36345000,AR
2023-12-31,USD,1132385000,1194143000,61758000,None,154844000,54929000,None,61758000,None,-32608000,-31209000,1399000,1185871000,None,None,None,124745000,29981000,4288000,115933000,94764000,154844000,None,94764000,AR
2023-09-30,USD,1053386000,1126176000,72790000,None,55732000,58425000,None,72765000,None,-31634000,-30765000,869000,1114481000,None,None,None,31471000,13663000,0,32642000,17808000,55732000,None,17808000,AR
2023-06-30,USD,882490000,953305000,70815000,None,-88936000,53901000,None,70595000,None,-27928000,-27067000,861000,936983000,None,None,None,-112917000,-29833000,0,-67933000,-83084000,-88936000,None,-83084000,AR
2023-03-31,USD,1334649000,1408348000,73699000,None,331490000,57261000,None,73833000,None,-25700000,-24829000,871000,1400457000,None,None,None,275614000,62183000,86000,261202000,213431000,331490000,None,213431000,AR
2022-12-31,USD,1964680000,2085287000,120607000,None,942826000,49876000,None,119007000,None,-25120000,None,None,2073573000,None,None,None,870686000,140390000,4652000,794128000,730296000,942826000,None,730296000,AR
2022-09-30,USD,1987167000,2064624000,77457000,None,774160000,42903000,None,77671000,None,-28326000,None,None,2023035000,None,None,None,695582000,135823000,30476000,594507000,559759000,774160000,None,559759000,AR
2022-06-30,USD,2133079000,2201685000,68606000,None,1061518000,44439000,None,68677000,None,-34213000,None,None,2186641000,None,None,None,990706000,225571000,4414000,812033000,765135000,1061518000,None,765135000,AR
2022-03-31,USD,726243000,786840000,60597000,None,-204599000,35691000,None,62383000,None,-37713000,None,None,766395000,None,None,None,-209511000,-53092000,10654000,-174696000,-156419000,-204599000,None,-156419000,AR
2021-12-31,USD,2333744000,2394271000,57700000,None,1256344000,36313000,None,58295000,None,-43748000,None,None,2372039000,None,None,None,1164876000,263491000,17355000,958021000,901385000,1256344000,None,901385000,AR
2021-09-30,USD,474767000,533883000,59655000,None,-684074000,32442000,None,59116000,None,-45414000,None,None,505382000,None,None,132000,-707974000,-158656000,16567000,-566575000,-549318000,-684074000,-683942000,-549318000,AR
2021-06-30,USD,446557000,487080000,42811000,None,-642950000,32177000,None,40523000,None,-49963000,None,None,453355000,None,None,None,-699433000,-175966000,23065000,-534451000,-523467000,-642950000,None,-523467000,AR
2021-03-31,USD,1125274000,1204198000,78924000,None,94540000,44074000,None,78924000,None,-42743000,None,None,1149204000,None,None,None,-18445000,-2946000,43204000,-11104000,-15499000,94540000,None,-15499000,AR
2020-12-31,USD,1309092000,1309092000,101117000,None,145151000,33218000,None,101465000,None,-46916000,None,None,1299778000,None,None,None,93515000,23685000,7365000,145151000,69830000,145151000,None,69830000,AR
2020-09-30,USD,318444000,380591000,62147000,None,-754109000,31640000,None,62147000,None,-48043000,None,None,430374000,None,None,168000,-704391000,-168778000,-55633000,-553846000,-535613000,-754109000,-753941000,-535613000,AR
2020-06-30,USD,408047000,484911000,76864000,None,-606922000,38403000,None,76864000,None,-51811000,None,None,523375000,None,None,None,-605708000,-142404000,-39171000,-463068000,-463304000,-606922000,None,-463304000,AR
2020-03-31,USD,584928000,1317105000,732177000,None,262433000,31221000,None,732177000,None,-53102000,None,None,1396868000,None,None,None,-448795000,-109985000,-80561000,-338810000,-338810000,262433000,None,-338810000,AR
2019-12-31,USD,952738000,952738000,562234000,None,-67456000,32189000,None,562234000,None,-54243000,None,None,-649874000,None,None,None,-589638000,-107442000,None,-67456000,-482196000,-67456000,None,-482196000,AR
2019-09-30,USD,40562000,1118881000,1078319000,None,-985878000,35923000,None,1078319000,None,-47754000,None,None,1117400000,None,None,None,-1151491000,-272627000,None,-878864000,-878864000,-985878000,None,-878864000,AR
2019-06-30,USD,1125365000,1299664000,174299000,None,99996000,42382000,None,175250000,None,-54164000,None,None,1297904000,None,None,None,59417000,17249000,None,42168000,42168000,99996000,None,42168000,AR
2019-03-31,USD,961247000,1037407000,76160000,None,-33707000,68202000,None,76160000,None,-71950000,None,71950000,2566774000,None,None,None,1267473000,288710000,71950000,1025756000,978763000,-33707000,None,978763000,AR
2018-12-31,USD,1045649000,1045649000,59486000,None,-46630000,58768000,None,59486000,None,-78440000,None,78440000,1045648000,None,None,None,-252903000,-131357000,78440000,-46630000,-121546000,-46630000,None,-121546000,AR
