fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,480075000,1067074000,959089000,582128000,-35763000,337040000,178798000,515838000,None,None,None,10000,1062203000,None,None,15349000,-4883000,4147000,None,-9030000,-8416000,-35763000,-20414000,-9030000,ROKU
2024-06-30,USD,424700000,970154000,888823000,543479000,-71243000,320462000,175481000,495943000,None,None,None,None,968179000,None,None,15807000,-43153000,-9200000,None,-33914000,-34436000,-71243000,-55436000,-33953000,ROKU
2024-03-31,USD,388291000,881382000,792166000,493178000,-72036000,279868000,180459000,460327000,None,-10000,None,10000,880472000,25956000,None,16473000,-46090000,4765000,None,-50855000,-51192000,-72036000,-55563000,-50855000,ROKU
2023-12-31,USD,437924000,986437000,998159000,546501000,-104168000,358291000,183801000,542092000,None,-35000,None,35000,986437000,27665000,None,17400000,-76538000,1753000,None,-78291000,-77966000,-104168000,-86768000,-78291000,ROKU
2023-09-30,USD,368823000,912018000,1497854000,543195000,-349789000,436411000,282201000,718612000,None,-10000,None,10000,912018000,22912000,None,18866000,-326871000,3184000,None,-330087000,-330308000,-349789000,-330923000,-330071000,ROKU
2023-06-30,USD,378271000,847186000,785205000,468915000,-125960000,311844000,192387000,504231000,None,-4000,None,4000,847186000,19999000,None,18545000,-105965000,1600000,None,-107595000,-107559000,-125960000,-107415000,-107595000,ROKU
2023-03-31,USD,337597000,739595000,784609000,403393000,-212460000,329972000,220085000,550057000,None,-681000,None,681000,739595000,23101000,None,15636000,-190040000,3564000,None,-193604000,-193277000,-212460000,-196824000,-193604000,ROKU
2022-12-31,USD,364379000,863134000,7500000,502677000,-249896000,393605000,220670000,614275000,None,-1888000,None,1888000,863134000,13614000,None,12236000,-238170000,-975000,None,-15000000,-236413000,-249896000,-237660000,-237195000,ROKU
2022-09-30,USD,356787000,761373000,705154000,404586000,-146989000,296168000,207608000,503776000,None,-1157000,None,1157000,761373000,27914000,None,13513000,-120183000,2000000,None,-122183000,-122886000,-146989000,-133476000,-122183000,ROKU
2022-06-30,USD,355149000,764406000,682782000,409257000,-110513000,269025000,196637000,465662000,None,-1059000,None,1059000,764406000,1829000,None,11416000,-109743000,2578000,None,-112321000,-112651000,-110513000,-99097000,-112321000,ROKU
2022-03-31,USD,364807000,733699000,604677000,368892000,-23490000,224299000,163998000,388297000,None,-1057000,None,1057000,733699000,409000,None,11486000,-24138000,2168000,None,-26306000,-26388000,-23490000,-12004000,-26306000,ROKU
2021-12-31,USD,379644000,864129000,728844000,485685000,21364000,231842000,126438000,358280000,None,-749000,None,749000,864129000,2006000,None,11317000,22589000,-1098000,None,23719000,23699000,21364000,32681000,23687000,ROKU
