fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,286000000,652000000,366000000,366000000,179000000,93000000,11000000,107000000,None,-46000000,2000000,48000000,None,None,None,101000000,206000000,89000000,None,117000000,None,254000000,355000000,218000000,IGT
2024-09-30,USD,262000000,586000000,324000000,324000000,110000000,101000000,12000000,152000000,None,-54000000,2000000,56000000,None,None,None,-54000000,15000000,61000000,None,-46000000,None,125000000,71000000,7000000,IGT
2024-06-30,USD,509000000,1050000000,541000000,541000000,230000000,199000000,53000000,279000000,None,-73000000,5000000,78000000,None,None,None,179000000,156000000,71000000,None,85000000,None,234000000,413000000,42000000,IGT
2024-03-31,USD,537000000,1067000000,530000000,530000000,274000000,208000000,55000000,793000000,None,-72000000,6000000,78000000,None,None,None,None,198000000,None,None,128000000,None,None,None,82000000,IGT
2023-12-31,USD,537000000,1067000000,530000000,530000000,274000000,189000000,55000000,263000000,None,-72000000,9000000,78000000,None,None,None,176000000,198000000,69000000,None,27000000,None,274000000,450000000,82000000,IGT
2023-09-30,USD,511000000,1065000000,554000000,554000000,239000000,217000000,55000000,272000000,None,-73000000,50000000,80000000,None,None,None,180000000,189000000,66000000,None,123000000,None,191000000,371000000,94000000,IGT
2023-06-30,USD,522000000,1055000000,533000000,533000000,251000000,211000000,60000000,271000000,None,-71000000,76000000,71000000,None,None,None,178000000,176000000,86000000,None,90000000,None,252000000,430000000,46000000,IGT
2023-03-31,USD,536000000,1061000000,525000000,525000000,255000000,217000000,62000000,279000000,None,-70000000,4000000,70000000,None,None,None,178000000,155000000,87000000,None,67000000,None,255000000,433000000,68000000,IGT
2022-12-31,USD,519000000,1093000000,574000000,574000000,-30000000,219000000,70000000,554000000,None,-66000000,161000000,69000000,None,None,None,174000000,70000000,101000000,None,-31000000,None,-30000000,144000000,-31000000,IGT
2022-09-30,USD,496000000,1060000000,564000000,564000000,211000000,207000000,67000000,282000000,None,-72000000,36000000,76000000,None,None,None,167000000,315000000,21000000,None,294000000,None,211000000,378000000,264000000,IGT
2022-06-30,USD,484000000,1021000000,537000000,537000000,81000000,195000000,60000000,406000000,None,-75000000,3000000,78000000,None,None,None,170000000,22000000,-11000000,None,34000000,None,81000000,251000000,33000000,IGT
2022-03-31,USD,484000000,1021000000,537000000,537000000,228000000,193000000,60000000,406000000,None,-76000000,3000000,78000000,None,None,None,170000000,22000000,-11000000,None,117000000,None,81000000,251000000,-4000000,IGT
2021-12-31,USD,474000000,1050000000,576000000,576000000,186000000,222000000,59000000,281000000,None,-77000000,73000000,77000000,None,None,None,183000000,111000000,56000000,None,55000000,None,191000000,374000000,20000000,IGT
2021-09-30,USD,469000000,984000000,515000000,515000000,212000000,195000000,63000000,258000000,None,-79000000,73000000,79000000,None,None,None,185000000,138000000,37000000,None,101000000,None,210000000,395000000,65000000,IGT
2021-06-30,USD,515000000,1041000000,526000000,526000000,244000000,207000000,61000000,269000000,None,-91000000,181000000,91000000,None,None,None,189000000,-7000000,32000000,None,-39000000,None,174000000,363000000,306000000,IGT
2021-03-31,USD,501000000,1015000000,514000000,514000000,260000000,186000000,55000000,241000000,None,-94000000,3000000,97000000,None,None,None,186000000,286000000,148000000,None,138000000,None,238000000,424000000,92000000,IGT
2020-12-31,USD,342213000,885125000,542912000,542912000,96109000,191037000,50837000,248014000,None,-100632000,3046000,100799000,None,None,None,195748000,-159149000,72747000,None,-256826000,None,95189000,290937000,-241996000,IGT
2020-09-30,USD,358876000,981510000,622634000,622634000,128502000,180315000,48039000,230472000,None,-101023000,4539000,105562000,None,None,None,198000000,-128955000,-26617000,None,-102338000,None,125912000,323912000,-127990000,IGT
2020-06-30,USD,153617000,637484000,483867000,483867000,-94106000,171950000,31335000,204294000,None,None,None,102263000,None,None,None,191000000,-293463000,-11321000,None,None,None,-73387000,117613000,-279616000,IGT
2020-03-31,USD,327269000,940195000,612926000,612926000,-197279000,163593000,60737000,228548000,None,None,None,100662000,None,None,None,218642000,-230967000,3132000,None,None,None,95335000,313977000,-248288000,IGT
2019-12-31,USD,482478000,1253390000,770912000,770912000,81379000,229531000,65936000,302099000,None,None,None,100649000,None,None,None,191005000,-125798000,12587000,None,None,None,-15384000,175621000,-167698000,IGT
2019-09-30,USD,441407000,1153247000,711840000,711840000,153882000,201416000,68804000,271373000,None,None,None,106877000,None,None,None,226675000,175091000,44530000,None,None,None,174052000,400727000,103563000,IGT
2019-06-30,USD,441407000,1153247000,711840000,711840000,153882000,213263000,68804000,271373000,None,None,None,106877000,None,None,None,226675000,175091000,44530000,None,None,None,174052000,400727000,103563000,IGT
2019-03-31,USD,478869000,1234253000,755384000,755384000,223715000,205134000,65383000,281100000,None,None,None,106559000,None,None,None,173057000,102287000,63300000,None,None,None,198600000,371657000,4856000,IGT
2018-12-31,USD,470062000,1266132000,796070000,796070000,40891000,177154000,64782000,303437000,None,None,None,108298000,None,None,None,189001000,-39719000,30337000,None,None,None,-26784000,162217000,-101999000,IGT
2018-09-30,USD,461708000,1155830000,694122000,694122000,200028000,194099000,63277000,257382000,None,None,None,106802000,None,None,None,177561000,100335000,46327000,None,None,None,190331000,367892000,22299000,IGT
2018-06-30,USD,472251000,1202338000,730087000,730087000,209077000,196100000,63957000,260034000,None,None,None,106239000,None,None,None,172419000,247431000,52232000,None,None,None,184264000,356683000,161496000,IGT
2018-03-31,USD,485547000,1206956000,721409000,721409000,196995000,215200000,71263000,286536000,None,None,None,110279000,None,None,None,166479000,-3999000,60505000,None,None,None,204991000,371470000,-103146000,IGT
2017-12-31,USD,482493000,1345670000,863177000,863177000,193913000,208500000,70946000,279410000,None,None,None,114405000,None,None,None,195363000,22578000,-83346000,None,None,None,205381000,400744000,79729000,IGT
2017-09-30,USD,445596000,1221201000,775605000,775605000,-556098000,196900000,79009000,276498000,None,None,None,113711000,None,None,None,202744000,-794231000,-19824000,None,None,None,162202000,364946000,-803614000,IGT
2017-06-30,USD,464402000,1219504000,755102000,755102000,191872000,210200000,80512000,261067000,None,None,None,115984000,None,None,None,196171000,-168150000,84086000,None,None,None,179683000,375854000,-289901000,IGT
2017-03-31,USD,500327000,1321216000,820889000,820889000,137986000,200500000,87182000,324759000,None,None,None,115520000,None,None,None,212022000,243965000,-5387000,None,None,None,-10542000,201480000,233318000,IGT
2016-12-31,USD,413954000,1152584000,738630000,738630000,119221000,236500000,82621000,285466000,None,None,None,114799000,None,None,None,208162000,-37122000,-10330000,None,None,None,133781000,341943000,-54790000,IGT
2016-09-30,USD,503713000,1265650000,761937000,761937000,163832000,242500000,87354000,329993000,None,None,None,117618000,None,None,None,218492000,31218000,12812000,None,None,None,179867000,398359000,-1903000,IGT
2016-06-30,USD,502997000,1285469000,782472000,782472000,170721000,239200000,84288000,323486000,None,None,None,117715000,None,None,None,227941000,143337000,60439000,None,None,None,181690000,409631000,72696000,IGT
2016-03-31,USD,510635000,1316390000,805755000,805755000,131560000,227500000,84552000,331252000,None,None,None,124222000,None,None,None,233888000,116965000,25076000,None,None,None,197906000,431794000,82356000,IGT
2015-12-31,USD,511022000,1281561000,770539000,770539000,187897000,243000000,84707000,313707000,None,None,None,118415000,None,None,None,224014000,-95107000,-8658000,None,None,None,194282000,418296000,-92774000,IGT
2015-09-30,USD,453962000,1215313000,761351000,761351000,130039000,224500000,85864000,312652000,None,None,None,121844000,None,None,None,15561000,22332000,13366000,None,None,None,130039000,145600000,7132000,IGT
2015-06-30,USD,480181000,1290080000,809899000,809899000,115500000,232200000,83933000,348863000,None,None,None,122418000,None,None,None,24344000,-100736000,11599000,None,None,None,115500000,139844000,-116890000,IGT
2015-03-31,USD,224230805,864795199,640564393,640564393,93054574,95600000,27088000,95535752,None,None,None,71683691,None,None,None,129725007,-61042919.28,62606738,None,None,None,42730976,172455983,-122173799.49,IGT
2014-12-31,USD,224230805.53,864795199.25,640564393.72,640564393.72,93054574.35,107300000,27100000,95535752.64,None,None,None,71683691.36,None,None,None,129725007.90,-61042919.28,62606738.21,None,None,None,42730975.55,172455983.45,-122173799.49,IGT
2014-09-30,USD,279781240,923491269,643710029,643710029,169015835,None,29686000,115281443,None,None,None,73358034,None,None,None,126443064,94355902,38686427,None,None,None,187136775,313579839,51155974,IGT
2014-06-30,USD,324523179,1024760566,700237387,700237387,212853010,None,24810000,113176348,None,None,None,55659090,None,None,None,145536356,151675352,62179049,None,None,None,207751591,353287947,82914949,IGT
2014-03-31,USD,374061339,1074478063,700416723,700416723,248718195,None,26163000,125343143,None,None,None,55834135,None,None,None,152680511,190019254,77909503,None,None,None,247451520,400132031,103189382,IGT
2013-12-31,USD,295301016,1139641687,844340670,844340670,157644482,None,106864972,126558675,None,None,None,61707212,None,None,None,168734506,89217389,73042558,None,None,None,162235466,330969972,7244437,IGT
