fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,108013000,606181000,498168000,396187000,92157000,101981000,None,101981000,3668000,3241000,3668000,427000,790554000,2000,13147000,15697000,101029000,25253000,81000,75776000,75776000,101456000,117153000,75776000,CHE
2024-06-30,USD,103875000,595880000,492005000,389750000,88125000,102255000,None,102255000,3495000,3066000,3495000,429000,757467000,None,13167000,15713000,93828000,22941000,-265000,70887000,70887000,94257000,103838000,70887000,CHE
2024-03-31,USD,88233000,589233000,501000000,385127000,72333000,115873000,None,115873000,4243000,-425000,4243000,425000,717423000,None,13287000,15808000,84485000,19468000,425000,65017000,65017000,84910000,88141000,65017000,CHE
2023-12-31,USD,117030000,585912000,468882000,358346000,111394000,100436000,None,110536000,3407000,-342000,3407000,342000,708453000,171000,13024000,15539000,115593000,25540000,342000,90053000,90053000,115935000,131474000,90053000,CHE
2023-09-30,USD,102572000,564532000,461960000,362358000,86850000,99602000,None,99602000,2600000,-444000,2600000,444000,674529000,2000,12858000,15379000,93265000,18307000,444000,74958000,74958000,93709000,109088000,74958000,CHE
2023-06-30,USD,84636000,553816000,469180000,374193000,69506000,94987000,None,94987000,113000,-771000,113000,771000,650613000,-8000,12634000,15148000,70344000,16967000,771000,53377000,53377000,71115000,86263000,53377000,CHE
2023-03-31,USD,89357000,560157000,470800000,370705000,72819000,100095000,None,100095000,150000,-1551000,150000,1551000,629583000,68000,12286000,17210000,71165000,17044000,1551000,54121000,54121000,72716000,90029000,54121000,CHE
2022-12-31,USD,90056000,546654000,456598000,349570000,81327000,96928000,None,107028000,67000,-1601000,692000,1601000,624656000,381000,12096000,17282000,82400000,20274000,1601000,62126000,62126000,84001000,98609000,62126000,CHE
2022-09-30,USD,95546000,526472000,430926000,346934000,80857000,83992000,None,83992000,62000,-1271000,62000,1271000,599155000,-1000,12154000,11559000,76471000,19598000,1271000,56873000,56873000,77742000,92416000,56873000,CHE
2022-06-30,USD,106614000,531288000,424674000,336821000,91938000,87853000,None,87853000,154000,-902000,154000,902000,602782000,2000,12714000,10304000,86106000,19650000,902000,66456000,66456000,87008000,102242000,66456000,CHE
2022-03-31,USD,104043000,530549000,426506000,336552000,89374000,89954000,None,89954000,73000,-810000,73000,810000,605980000,-1000,12138000,6860000,84702000,20533000,810000,64169000,64169000,85512000,96234000,64169000,CHE
