fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,10810000,50282000,51793000,39196000,-12091000,7405000,None,22901000,663000,None,None,None,50006000,-50000,3300000,4972000,-11478000,-43000,0,-11435000,-11435000,-12091000,-7119000,-11435000,GRWG
2024-06-30,USD,14421000,53836000,49834000,39115000,-6514000,7104000,None,20935000,737000,None,None,None,53536000,-10000,1900000,3615000,-5801000,95000,14000,-5896000,-5896000,-6514000,-2899000,-5896000,GRWG
2024-03-31,USD,12364000,48155000,47174000,35524000,-9432000,7908000,None,21796000,602000,None,None,None,47855000,47000,2100000,3742000,-8839000,-2000,56000,-8837000,-8837000,-9432000,-5690000,-8837000,GRWG
2023-12-31,USD,11644000,49737000,65473000,37808000,-27212000,7876000,None,38856000,None,None,None,None,49537000,-2768000,2100000,4130000,-27375000,-61000,None,-27314000,-27314000,-27212000,-23082000,-27314000,GRWG
2023-09-30,USD,16188000,55978000,51793000,39490000,-8030000,7582000,None,24218000,705000,None,None,None,55678000,-23000,2500000,4721000,-7349000,0,1000,-7349000,-7349000,-8302000,-3581000,-7349000,GRWG
2023-06-30,USD,17137000,63925000,58115000,46788000,-6305000,7503000,None,23442000,753000,None,None,None,63925000,-51000,1600000,3824000,-5606000,93000,3000,-5699000,-5699000,-6566000,-2742000,-5699000,GRWG
2023-03-31,USD,16289000,56844000,51308000,40538000,-7420000,6838000,None,23709000,428000,-2000,None,2000,56846000,860000,1700000,3932000,-6134000,0,2000,-6134000,-6134000,-7764000,-2200000,-6134000,GRWG
2022-12-31,USD,9562000,55101000,57456000,44894000,-15759000,8594000,None,25321000,None,None,None,None,55085000,-568000,1800000,3968000,-15237000,-248000,None,-14989000,-14989000,-15759000,-11791000,-14989000,GRWG
2022-09-30,USD,18334000,70847000,65187000,52516000,-8094000,8796000,None,26428000,143000,-3000,None,3000,70850000,34000,1700000,3875000,-7920000,-718000,3000,-7202000,-7202000,-8094000,-4042000,-7202000,GRWG
2022-06-30,USD,20227000,71083000,194127000,50866000,-136801000,9759000,None,157028000,45000,-10000,None,10000,71093000,104000,2000000,4783000,-136662000,-283000,10000,-136379000,-136379000,-136801000,-131869000,-136379000,GRWG
2022-03-31,USD,22140000,81744000,74456000,59627000,-7221000,9609000,None,29361000,2000,-3000,None,3000,81747000,409000,1800000,4506000,-6813000,-1636000,3000,-5177000,-5177000,-7221000,-2304000,-5177000,GRWG
2021-12-31,USD,23088000,90610000,30006000,67491000,-7018000,11367000,None,30106000,None,None,None,None,90579000,-75000,1300000,4090000,-7227000,-3126000,None,-4101000,-4101000,-7018000,-2928000,-4101000,GRWG
2021-09-30,USD,34063000,115978000,96486000,81940000,4675000,10530000,None,29388000,395000,-25000,None,25000,116003000,78000,900000,3539000,5123000,1096000,25000,4027000,4027000,4675000,8687000,4027000,GRWG
2021-06-30,USD,35713000,125881000,103652000,90172000,9609000,10563000,None,26104000,36000,-4000,None,4000,125885000,-8000,800000,2917000,9633000,2920000,4000,6713000,6713000,9609000,12554000,6713000,GRWG
2021-03-31,USD,25377000,90022000,64645000,64645000,7736000,7405000,None,17641000,4000,-2000,None,2000,90022000,-38000,700000,2054000,7700000,1553000,2000,6147000,6147000,7736000,9756000,6147000,GRWG
2020-12-31,USD,15946000,61924659,45978533,-92371815,2642000,5358000,None,13304000,None,-3175742,55149,3230891,61897000,61000,500000,1166000,2806000,1296000,3230891,1510620,1510620,2642000,7202891,1510000,GRWG
2020-09-30,USD,14571000,55007475,40436707,40436000,5103000,4017000,None,9468000,48000,-34062,-34483,-421,55007000,-14000,400000,443000,5137000,1799000,-421,3337333,3337333,5103000,5579579,3338000,GRWG
2020-06-30,USD,11585000,43451840,31866503,31866000,2809000,4431000,None,8776000,0,-66666,-53426,13240,43451000,-66000,374000,468000,2730000,156000,13240,602552,602552,2809000,3211240,2574000,GRWG
2020-03-31,USD,8946000,32982000,24035257,24036000,-2117000,7065000,None,11063000,25000,5804,12985,7181,32982000,5000,331000,359000,-2094000,0,7181,-3891278,-3891278,-2117000,-1727819,-2094000,GRWG
2019-12-31,USD,5996578,25384476,19388330,723728,-1072562,7353980,None,7069140,None,-27556,-18122,9434,None,-8937,461153,506153,None,None,9434,-1631780,-1631780,-1072562,-566409,-1019120,GRWG
2019-09-30,USD,6501581,21778487,15276906,726774,1131841,803707,None,5369740,None,-1838,25229,27067,None,-141277,247715,247715,None,None,27067,29072,29072,1131841,1379556,1049699,GRWG
2019-06-30,USD,5820210,19483383,13663173,725745,1173711,549129,None,4646499,None,-6833,-3672,3161,None,-120311,150842,150842,None,None,3161,241158,241158,1173711,1324553,1062000,GRWG
2019-03-31,USD,3686631,13087222,9400591,429708,349511,493096,None,3337120,None,-7286,-595,6691,None,-131637,146624,146624,None,None,6691,-429911,-429911,349511,496135,229421,GRWG
2018-12-31,USD,1368586,9061158,7692572,None,-2398496,735061,None,3767082,None,-9030,None,9030,None,107773,121000,121000,None,None,9030,-2865185,-2865185,-2398496,-2277496,-2404757,GRWG
2018-09-30,USD,2157126,8406255,6249129,None,-575211,375002,None,2732337,None,4795,None,-4795,None,-1214,102983,114159,None,None,-4795,-1245501,-1245501,-575211,-461052,-784573,GRWG
2018-06-30,USD,1729230,7152299,5423069,None,-621977,399130,None,2351207,None,-11312,None,11312,None,-5866,70619,70899,None,None,11312,-1325037,-1325037,-621977,-551078,-929959,GRWG
2018-03-31,USD,1189616,4381018,3191402,None,-659964,363778,None,1849580,None,-8018,None,8018,None,14310,44732,45012,None,None,8018,-953430,-953430,-659964,-614952,-953430,GRWG
2017-12-31,USD,322535,3641148,3318613,None,-1772039,642325,None,2094574,None,-8158,None,8158,None,150,88246,88526,None,None,8158,-1457989,-1457989,-1772039,-1683513,-1457989,GRWG
2017-09-30,USD,1115842,4028170,2912328,None,-458089,237884,None,1573931,None,-3419,None,3419,None,621,22707,22987,None,None,3419,-460887,-460887,-458089,-435102,-460887,GRWG
