fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,40301000,76070000,35769000,35769000,-4439000,27383000,17357000,44740000,4593000,4578000,4593000,15000,76070000,33000,None,4056000,172000,807000,15000,-635000,-984000,-4439000,4213000,-635000,OLO
2024-09-30,USD,39009000,71853000,32844000,32844000,-8519000,27962000,17170000,47528000,4936000,4922000,4936000,14000,71853000,-1000,None,3791000,-3598000,37000,14000,-3635000,-3096000,-8519000,207000,-3635000,OLO
2024-06-30,USD,39905000,70504000,30599000,30599000,977000,21971000,16957000,38928000,4844000,4829000,4844000,15000,70504000,0,None,3486000,5806000,77000,15000,5729000,5712000,977000,9307000,5729000,OLO
2024-03-31,USD,37208000,66511000,29303000,29303000,-7160000,27369000,16999000,44368000,4907000,-69000,4907000,69000,66511000,3000,None,3103000,-2319000,37000,69000,-2356000,-2485000,-2250000,853000,-2356000,OLO
2023-12-31,USD,36438000,63004000,26566000,26566000,-20534000,39864000,17108000,56972000,5030000,-43000,5030000,43000,63004000,-2000,None,3006000,-15549000,197000,43000,-15746000,-15357000,-15506000,-12500000,-15746000,OLO
2023-09-30,USD,34565000,57794000,23229000,23229000,-16306000,32670000,18035000,50871000,4598000,-43000,4598000,43000,57794000,-1000,None,2821000,-11752000,7000,43000,-11759000,-11702000,-11709000,-11543000,-11759000,OLO
2023-06-30,USD,34472000,55251000,20779000,20779000,-21171000,30663000,18298000,55643000,4155000,-53000,4102000,53000,55251000,0,None,2314000,-17069000,7000,53000,-17076000,-17481000,-17016000,-8020000,-17076000,OLO
2023-03-31,USD,33491000,52240000,18749000,18749000,-17073000,30091000,20473000,50564000,3454000,-69000,3454000,69000,52202000,0,None,5602000,-13688000,18000,69000,-13706000,-13509000,-13619000,-11471000,-13706000,OLO
2022-12-31,USD,35251000,49781000,14530000,15275000,-10912000,25650000,18804000,46163000,2482000,-69000,2482000,69000,49781000,1000,700000,1000000,-8498000,-272000,69000,-8226000,-8059000,-8429000,-7429000,-8226000,OLO
2022-09-30,USD,31784000,47266000,15482000,15266000,-15918000,28817000,19391000,47702000,1525000,-70000,1525000,70000,47266000,-7000,700000,1000000,-14470000,90000,70000,-14560000,-14729000,-14400000,-13400000,-14560000,OLO
2022-06-30,USD,31162000,45601000,14439000,14168000,-11932000,26132000,17576000,43094000,533000,-46000,533000,46000,45601000,7000,500000,1000000,-11438000,235000,46000,-11673000,-11924000,-11392000,-10392000,-11673000,OLO
2022-03-31,USD,29696000,42756000,13060000,12802000,-12902000,26031000,17156000,42598000,52000,0,None,0,42756000,6000,300000,800000,-12844000,-1335000,0,-11509000,-11509000,-12844000,-12044000,-11509000,OLO
2021-12-31,USD,31506000,39959000,8453000,8453000,-6837000,22297000,16046000,38343000,None,0,None,0,39959000,100000,300000,815000,-6737000,-4666000,0,-2071000,-2071000,-6737000,-6737000,-2071000,OLO
2021-09-30,USD,29226000,37390000,8164000,8164000,-11257000,25998000,14485000,40483000,None,0,None,0,37390000,-15000,300000,273000,-11272000,36000,0,-11308000,-11308000,-11272000,-10999000,-11308000,OLO
2021-06-30,USD,28533000,35896000,7363000,7363000,-2409000,17011000,13931000,30942000,None,0,None,0,35896000,10000,300000,267000,-2399000,38000,0,-2437000,-2437000,-2399000,-2132000,-2437000,OLO
2021-03-31,USD,29273000,36123000,6850000,6850000,-7473000,22290000,14456000,36746000,None,0,None,0,36123000,-18000,300000,260000,-26421000,36000,0,-26457000,-26457000,-26421000,-7231000,-26457000,OLO
2020-12-31,USD,25261000,30547000,5286000,5286000,5541000,7072000,10192000,19720000,None,None,None,0,None,13000,None,233000,-2909000,47000,None,-2956000,-2956000,-2909000,5787000,-2956000,OLO
2020-09-30,USD,22725000,27504000,4779000,4779000,7391000,5461000,7871000,15334000,None,None,None,0,None,-3000,None,163000,5154000,47000,None,5107000,5107000,5154000,7551000,5107000,OLO
2020-06-30,USD,20044000,24305000,4261000,4261000,5766000,4844000,7627000,14278000,None,-111000,111000,111000,None,7000,None,125000,3986000,48000,None,3938000,3938000,4097000,5898000,3938000,OLO
2020-03-31,USD,11726000,16068000,4342000,4342000,-2603000,4832000,7217000,14329000,None,-46000,None,46000,None,11000,None,152000,-2979000,47000,None,-3026000,-3026000,-2933000,-2440000,-3026000,OLO
