fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,-25834000,297051000,322885000,None,109161000,173464000,None,187890000,2993000,None,None,2000000,297035000,None,None,None,95297000,25594000,2156000,87514000,68389000,109161000,None,69703000,APAM
2024-09-30,USD,-35424000,279582000,315006000,None,93180000,165972000,None,186402000,2769000,None,None,1900000,279582000,None,None,None,97594000,24604000,2199000,104185000,73773000,93180000,None,72990000,APAM
2024-06-30,USD,-42720000,270818000,313538000,None,86645000,166748000,None,184173000,2072000,-2194000,None,2194000,270818000,None,None,None,76312000,18738000,2194000,71248000,57599000,78506000,None,57574000,APAM
2024-03-31,USD,-51455000,264351000,315806000,None,77643000,165926000,None,186708000,1778000,-2061000,None,2061000,264322000,None,None,None,81446000,21965000,2061000,86704000,59767000,83507000,None,59481000,APAM
2023-12-31,USD,-43294000,248997000,292291000,None,76428000,155489000,None,172569000,2528000,-2051000,None,2051000,248995000,None,None,None,84981000,20225000,2051000,92800000,65452000,87032000,None,64756000,APAM
2023-09-30,USD,-36116000,248722000,284838000,None,82155000,154190000,None,166567000,2089000,-2297000,None,2297000,248722000,None,None,None,67725000,14570000,2297000,73428000,52500000,70022000,None,53155000,APAM
2023-06-30,USD,-39624000,242903000,282527000,None,76702000,152094000,None,166201000,1160000,-2167000,None,2167000,242903000,None,None,None,72071000,18446000,2167000,73775000,53850000,74238000,None,53625000,APAM
2023-03-31,USD,-47243000,234509000,281752000,None,68307000,150240000,None,166202000,524000,-2056000,None,2056000,234507000,None,None,None,69400000,18647000,2056000,71801000,51093000,71456000,None,50753000,APAM
2022-12-31,USD,-36416000,225987000,262403000,None,69972000,141380000,None,156015000,None,-2059000,None,2059000,225974000,None,None,None,69497000,16689000,2059000,66295000,54019000,71556000,None,52808000,APAM
2022-09-30,USD,-30837000,234312000,265149000,None,78726000,143116000,None,155586000,None,-2428000,None,2428000,234312000,None,None,None,58985000,14750000,2428000,52480000,42916000,61413000,None,44235000,APAM
2022-06-30,USD,-27055000,251388000,278443000,None,88408000,151049000,None,162980000,None,-2739000,None,2739000,251388000,None,None,None,57504000,13225000,2739000,47173000,43089000,60243000,None,44279000,APAM
2022-03-31,USD,-20204000,281598000,301802000,None,106991000,161870000,None,174607000,None,-2686000,None,2686000,281598000,None,None,None,84219000,18786000,2686000,82437000,64962000,86905000,None,65433000,APAM
2021-12-31,USD,5996000,315036000,309040000,None,137821000,165699000,None,177215000,None,-2687000,None,2687000,315033000,None,None,None,113507000,28889000,2687000,107659000,84621000,116194000,None,84618000,APAM
2021-09-30,USD,12227000,316574000,304347000,None,143058000,162112000,None,173516000,None,-2711000,None,2711000,316574000,None,None,None,114467000,28054000,2711000,113366000,85917000,117178000,None,86413000,APAM
2021-06-30,USD,11892000,304949000,293057000,None,137803000,155044000,None,167146000,None,-2720000,None,2720000,304949000,None,None,None,116672000,28465000,2720000,118881000,88258000,119392000,None,88207000,APAM
2021-03-31,USD,-6555000,290677000,297232000,None,121809000,157767000,None,168868000,None,-2685000,None,2685000,290677000,None,None,None,98896000,21618000,2685000,104618000,77401000,101581000,None,77278000,APAM
2020-12-31,USD,2353000,261036000,258683000,None,113492000,138443000,None,147544000,None,-2686000,None,2686000,261027000,None,None,None,89754000,16640000,2686000,108460000,74045000,92440000,None,73114000,APAM
2020-09-30,USD,-2272000,232753000,235025000,None,97245000,126368000,None,135508000,None,-2718000,None,2718000,232753000,None,None,None,76975000,18448000,2718000,84693000,59145000,79693000,None,58527000,APAM
