fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,12550000,56129000,43579000,43579000,-11799000,13021000,11328000,24349000,None,394000,394000,None,57229000,1331000,3116000,149000,-10074000,261000,None,-10335000,-10216000,-11799000,-11650000,-10335000,LASR
2024-06-30,USD,11850000,50511000,38661000,38661000,-12690000,12804000,11736000,24540000,None,459000,459000,None,51211000,622000,3105000,149000,-11609000,120000,None,-11729000,-11647000,-12690000,-12541000,-11729000,LASR
2024-03-31,USD,7488000,44527000,37039000,37039000,-14718000,11547000,10659000,22206000,None,455000,455000,None,45192000,641000,3135000,373000,-13622000,144000,None,-13766000,-13878000,-14718000,-14345000,-13766000,LASR
2023-12-31,USD,9804000,51892000,42088000,42088000,-14342000,11215000,12114000,24146000,None,352000,None,352000,52546000,779000,3109000,514000,-13211000,27000,None,-13238000,-12490000,-14342000,-13828000,-13238000,LASR
2023-09-30,USD,9938000,50634000,40696000,40696000,-12531000,11725000,10744000,22469000,None,303000,303000,303000,51434000,536000,3062000,633000,-11692000,187000,None,-11879000,-11989000,-12531000,-11898000,-11879000,LASR
2023-06-30,USD,12108000,53304000,41196000,41196000,-11686000,11790000,12004000,23794000,None,350000,350000,350000,53904000,1057000,3125000,609000,-10279000,-1456000,None,-8823000,-9773000,-11686000,-11077000,-8823000,LASR
2023-03-31,USD,14263000,54091000,39828000,39828000,-8207000,11169000,11301000,22470000,None,337000,337000,337000,54491000,404000,3105000,654000,-7466000,264000,None,-7730000,-7147000,-8207000,-7553000,-7730000,LASR
2022-12-31,USD,5783000,56679000,50896000,50896000,-23495000,11828000,13558000,29278000,None,291000,None,291000,56743000,446000,2950000,732000,-22758000,-99000,None,-22659000,-21337000,-23495000,-22763000,-22659000,LASR
2022-09-30,USD,13476000,60093000,46617000,46617000,-12981000,13741000,12716000,26457000,None,167000,167000,167000,60093000,-31000,2921000,660000,-12845000,110000,None,-12955000,-14474000,-12981000,-12321000,-12955000,LASR
2022-06-30,USD,15385000,60827000,45442000,45442000,-10317000,11914000,13788000,25702000,None,71000,None,71000,60827000,-106000,2658000,711000,-10352000,-10000,None,-10342000,-12210000,-10317000,-9606000,-10342000,LASR
2022-03-31,USD,16177000,64459000,48282000,48282000,-8309000,10775000,13711000,24486000,None,None,None,29000,64459000,29000,2556000,776000,-8280000,343000,None,-8623000,-8719000,-8309000,-7533000,-8623000,LASR
2021-12-31,USD,17942000,67453000,49511000,49511000,-8665000,12623000,13984000,26607000,None,-37000,None,163000,67632000,90000,2509000,823000,-8612000,138000,None,-8750000,-8535000,-8665000,-7842000,-8750000,LASR
2021-09-30,USD,21395000,72235000,50840000,50840000,-6759000,13316000,14838000,28154000,None,-20000,None,20000,72235000,102000,2380000,1026000,-6677000,203000,None,-6880000,-7258000,-6759000,-5733000,-6880000,LASR
2021-06-30,USD,20325000,69113000,48788000,48788000,-9014000,15057000,14282000,29339000,None,-32000,None,32000,69113000,118000,2133000,1026000,-8928000,-1038000,None,-7890000,-7393000,-9014000,-7988000,-7890000,LASR
2021-03-31,USD,17645000,61345000,43700000,43700000,-5779000,11714000,11710000,23424000,None,-74000,None,74000,61345000,26000,2157000,1016000,-5827000,322000,None,-6149000,-6811000,-5779000,-4763000,-6149000,LASR
2020-12-31,USD,19647000,65704000,46057000,46057000,-4286000,11905000,12028000,23933000,None,-44000,None,65000,65777000,315000,2096000,3752000,-4015000,502000,None,-4517000,-3019000,-4286000,-534000,-4517000,LASR
2020-09-30,USD,17160000,61732000,44572000,44572000,-3976000,10010000,11126000,21136000,None,-96000,None,96000,61732000,477000,2000000,3504000,-3595000,-1485000,None,-2110000,-1019000,-3976000,-472000,-2110000,LASR
2020-06-30,USD,13056000,52138000,39082000,39082000,-6049000,9633000,9472000,19105000,None,-65000,65000,65000,52138000,-298000,1845000,3268000,-6412000,418000,None,-6830000,-6497000,-6049000,-6049000,-6830000,LASR
2020-03-31,USD,9501000,43215000,33714000,33714000,-6737000,7700000,8538000,16238000,None,283000,283000,283000,43216000,-116000,1769000,3161000,-6570000,905000,None,-7475000,-7971000,-6737000,-3576000,-7475000,LASR
2019-12-31,USD,9992000,42896000,32904000,32904000,-8966000,10139000,8819000,18958000,None,454000,454000,2609000,42896000,532000,1724000,2770000,-7980000,2736000,0,9992000,-10175000,-8966000,-6196000,-10716000,LASR
2019-09-30,USD,12962000,43814000,30852000,30852000,-696000,7256000,6402000,13658000,None,665000,665000,665000,43814000,90000,1654000,2313000,59000,837000,None,-778000,-1904000,-696000,1617000,-778000,LASR
2019-06-30,USD,15871000,48048000,32177000,32177000,805000,8572000,6494000,15066000,None,740000,740000,740000,48048000,-907000,1640000,2269000,638000,793000,None,-155000,162000,805000,3074000,-155000,LASR
2019-03-31,USD,13514000,41861000,28347000,28347000,-1052000,8144000,6422000,14566000,None,750000,750000,750000,41856000,820000,1565000,2212000,518000,1753000,None,-1235000,-1495000,-1052000,1160000,-1235000,LASR
2018-12-31,USD,16506000,46162000,29656000,29656000,2219000,7889000,6398000,14287000,None,None,None,728000,46162000,250000,1452000,172000,3124000,764000,9000,16506000,2185000,2219000,2391000,2360000,LASR
2018-09-30,USD,18047000,51025000,32978000,32978000,5087000,7485000,5475000,12960000,None,None,None,298000,51025000,-537000,1500000,162000,4848000,839000,None,4009000,3384000,5087000,5249000,4009000,LASR
2018-06-30,USD,17679000,51705000,34026000,34026000,5549000,7232000,4898000,12130000,None,None,None,6000,51705000,-42000,1500000,132000,5501000,848000,None,4653000,3065000,5549000,5681000,4653000,LASR
2018-03-31,USD,14729000,42467000,27738000,27738000,4208000,6238000,4283000,10521000,None,None,None,219000,-13000,76000,1434000,127000,4065000,1149000,None,2916000,3866000,4208000,4335000,2916000,LASR
2017-12-31,USD,12282000,37482000,25200000,25200000,2691000,6053000,3538000,9591000,None,None,None,222000,None,6000,1552000,2123000,2475000,1382000,None,-4653000,1475000,2691000,4814000,1093000,LASR
2017-09-30,USD,12345000,36547000,24202000,24202000,4599000,3897000,3849000,7746000,None,None,None,76000,None,-1043000,1300000,1890000,3480000,1236000,None,2514000,2810000,4599000,6489000,2244000,LASR
2017-06-30,USD,10680000,34664000,23984000,23984000,1896000,4774000,4010000,8784000,None,None,None,469000,None,-630000,1300000,1959000,797000,1084000,None,3352000,31000,1896000,3855000,-287000,LASR
2017-03-31,USD,8967000,29887000,20920000,20920000,612000,4629000,3726000,8355000,None,None,None,502000,None,-167000,1300000,1950000,-57000,1156000,None,-1213000,-895000,612000,2562000,-1213000,LASR
