fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,1243200000,7595200000,7232800000,6347600000,317400000,885200000,None,885200000,None,-73700000,None,73700000,7590800000,None,40600000,40600000,303500000,77400000,None,227000000,313400000,317400000,418700000,226100000,PAG
2024-06-30,USD,1264100000,7700400000,7320100000,6432600000,338000000,887500000,None,887500000,None,-66500000,None,66500000,7696700000,None,38600000,38600000,323800000,82600000,None,242900000,238800000,338000000,376600000,241200000,PAG
2024-03-31,USD,1245200000,7430400000,7082400000,6202600000,327600000,879800000,None,879800000,None,-21300000,None,21300000,7447800000,None,37800000,37800000,293800000,78600000,21300000,216200000,182000000,327600000,320600000,215200000,PAG
2023-12-31,USD,1188100000,7253300000,6968800000,6084000000,265700000,844100000,None,884800000,None,-23100000,None,23100000,7272100000,None,37600000,37600000,254500000,63800000,23100000,186600000,268200000,265700000,344000000,190700000,PAG
2023-09-30,USD,1220400000,7427500000,7080900000,6227400000,331500000,853500000,None,853500000,None,-24500000,25000000,24500000,7447800000,None,35400000,35400000,355500000,92100000,24500000,264400000,197600000,331500000,451900000,263400000,PAG
2023-06-30,USD,1273000000,7448600000,7053600000,6195500000,380800000,858100000,None,858100000,None,-24200000,19500000,24200000,7468500000,74500000,34100000,34100000,398500000,97700000,24200000,302600000,337500000,380800000,489400000,300800000,PAG
2023-03-31,USD,1252300000,7322400000,6931600000,6086700000,373500000,844900000,None,844900000,None,-20800000,33400000,20800000,7339000000,82100000,33900000,116000000,405600000,107300000,20800000,299600000,321100000,373500000,489500000,298300000,PAG
2022-12-31,USD,1183200000,6996600000,6644100000,5828600000,335500000,815500000,None,815500000,None,-19000000,59300000,19000000,7011800000,100400000,32200000,132600000,393500000,95500000,19000000,298000000,403700000,335500000,468100000,298000000,PAG
2022-09-30,USD,1186900000,6907200000,6526500000,5733800000,362700000,792700000,None,792700000,None,-17900000,104500000,17900000,6920700000,136200000,31500000,31500000,465800000,125700000,17900000,340100000,211000000,362700000,530400000,340100000,PAG
2022-06-30,USD,1237000000,6911500000,6487600000,5669900000,387600000,817700000,None,817700000,None,-17000000,112000000,17000000,6906900000,138000000,31700000,31700000,497700000,123700000,17000000,374000000,260200000,387600000,557300000,374000000,PAG
2022-03-31,USD,1231700000,6980500000,6541500000,5743700000,402000000,797800000,None,797800000,None,-16500000,95600000,16500000,6975400000,119600000,31900000,151500000,496000000,128100000,16500000,367900000,338600000,402000000,553500000,367900000,PAG
2021-12-31,USD,1179200000,6299700000,5908000000,5116900000,356300000,791100000,None,791100000,None,-14800000,64000000,14800000,6296100000,81600000,31800000,31800000,419600000,108300000,14800000,310400000,332700000,356300000,481100000,311300000,PAG
2021-09-30,USD,1165700000,6503100000,6089300000,5331600000,377800000,757700000,None,757700000,None,-16200000,98300000,16200000,6497300000,120500000,30200000,30200000,475200000,120100000,16200000,354800000,312700000,377800000,528500000,355100000,PAG
2021-06-30,USD,1182700000,6994200000,6554600000,5804800000,402700000,749800000,None,749800000,None,-27600000,78000000,27600000,6987500000,105600000,30200000,30200000,462300000,123400000,None,338800000,346500000,402700000,538500000,338900000,PAG
2021-03-31,USD,913200000,5780100000,5524900000,4860600000,219600000,664300000,None,664300000,None,-27400000,28000000,27400000,5773800000,55400000,29300000,29300000,247000000,64500000,None,182500000,187700000,219600000,304300000,182500000,PAG
2020-12-31,USD,898400000,5774600000,5539500000,4913700000,242500000,625800000,None,625800000,None,-37600000,20800000,37600000,5768200000,58400000,30100000,30100000,262200000,62000000,None,200100000,261500000,242500000,331000000,200200000,PAG
2020-09-30,USD,956500000,5978100000,5658400000,5015100000,284200000,643300000,None,643300000,None,-38800000,27400000,38800000,5971600000,66200000,29000000,29000000,310700000,64100000,None,246500000,299500000,284200000,379400000,246600000,PAG
2020-06-30,USD,552900000,3657600000,3551800000,3098200000,71400000,453600000,None,453600000,None,-40100000,10200000,40100000,3651100000,29900000,27900000,27900000,61600000,16500000,None,45000000,69800000,71400000,129200000,45100000,PAG
2020-03-31,USD,776700000,5015500000,4874200000,4232400000,106400000,641800000,None,641800000,None,-49400000,34900000,49400000,5009100000,14500000,28500000,28500000,71800000,20100000,None,51600000,-45000000,106400000,149400000,51700000,PAG
2019-12-31,USD,866500000,5881400000,5014900000,5025100000,152800000,685100000,None,686700000,None,-51300000,13400000,51300000,5891600000,37900000,28600000,28600000,139700000,38100000,None,101600000,184800000,152800000,219300000,101600000,PAG
2019-09-30,USD,869700000,5967600000,5097900000,5097900000,169400000,672800000,None,672800000,None,-54300000,11000000,54300000,5967600000,43300000,27500000,27500000,158600000,42400000,None,116100000,70500000,169400000,240200000,116200000,PAG
2019-06-30,USD,867800000,5755800000,4888000000,4888000000,171800000,668900000,None,668900000,None,-51400000,11900000,51400000,5755800000,39500000,27100000,27100000,159300000,41500000,None,117700000,103200000,171800000,238400000,117800000,PAG
2019-03-31,USD,851500000,5564400000,4712900000,4712900000,158700000,666400000,None,666400000,None,-51700000,24900000,51700000,5564400000,26800000,26400000,26400000,134900000,34700000,None,100100000,109000000,158700000,211900000,100200000,PAG
2018-12-31,USD,808100000,5439300000,4631200000,4631200000,136600000,645000000,None,650800000,None,None,None,49900000,5439300000,39800000,26500000,26500000,127700000,29600000,None,97800000,67400000,136600000,202900000,98100000,PAG
2018-09-30,USD,852600000,5658600000,4806000000,4806000000,163900000,662800000,None,662800000,None,None,None,48500000,5658600000,41700000,25900000,25900000,157300000,27100000,None,130100000,112800000,163900000,231500000,130200000,PAG
2018-06-30,USD,889800000,5940300000,5050500000,5050500000,188700000,675400000,None,675400000,None,None,None,48500000,5940300000,36000000,25700000,25700000,175600000,41000000,None,134600000,62900000,188700000,250400000,134600000,PAG
2018-03-31,USD,864400000,5746900000,4882500000,4882500000,175700000,663100000,None,663100000,None,None,None,48700000,5746900000,17300000,25600000,25600000,144700000,36600000,None,108000000,139900000,175700000,218600000,108100000,PAG
2017-12-31,USD,808300000,5398000000,7105700000,4589700000,137000000,646200000,None,646200000,None,None,None,46000000,5398000000,36700000,25100000,25100000,129300000,-200800000,None,330000000,335200000,137000000,198800000,330100000,PAG
2017-09-30,USD,822600000,5524400000,4701800000,4701800000,152200000,646100000,None,646100000,None,None,None,44200000,5524400000,30900000,24300000,24300000,139100000,44700000,None,94300000,129000000,152200000,207400000,94400000,PAG
2017-06-30,USD,817300000,5383400000,4566100000,4566100000,172000000,622000000,None,622000000,None,None,None,41900000,5383400000,26800000,23300000,23300000,156400000,50200000,None,106000000,145000000,172000000,222100000,106200000,PAG
2017-03-31,USD,774300000,5081100000,4306800000,4306800000,150200000,601700000,None,601700000,None,None,None,38700000,5081100000,13200000,22400000,22400000,123700000,41100000,None,83200000,108300000,150200000,185800000,82600000,PAG
2016-12-31,USD,727300000,4887800000,4739700000,4160500000,125200000,579200000,None,579200000,None,None,None,36700000,None,26400000,22900000,22900000,114900000,32300000,None,82500000,20600000,125200000,174500000,82600000,PAG
2016-09-30,USD,744200000,5152000000,4989000000,4407800000,141500000,581200000,None,581200000,None,None,None,37000000,None,25600000,21500000,21500000,129200000,41700000,None,87400000,76400000,141500000,188600000,87500000,PAG
2016-06-30,USD,771300000,5254100000,5065500000,4482800000,164100000,582700000,None,582700000,None,None,None,32600000,None,12000000,24500000,24500000,140800000,47300000,None,94700000,38700000,164100000,200600000,93500000,PAG
2016-03-31,USD,723800000,4824600000,4659700000,4100800000,144100000,558900000,None,558900000,None,None,None,30000000,None,5500000,20800000,20800000,118700000,39400000,None,79300000,79000000,144100000,170400000,79300000,PAG
2015-12-31,USD,717100000,4921300000,4774900000,4204200000,126100000,570700000,None,570700000,None,None,None,32200000,None,9600000,20300000,20300000,100100000,29800000,None,72700000,60200000,126100000,156000000,70300000,PAG
2015-09-30,USD,729200000,4960100000,4794300000,4230900000,146000000,563400000,None,563400000,None,None,None,27700000,None,11000000,19800000,19800000,128300000,41700000,None,86700000,43500000,146000000,176800000,86600000,PAG
2015-06-30,USD,731300000,4904400000,4726100000,4189300000,158900000,553100000,None,551300000,None,None,None,27400000,None,12000000,19300000,19200000,141700000,47700000,None,94100000,132500000,158900000,190300000,94000000,PAG
2015-03-31,USD,689900000,4471100000,4316900000,3793000000,135500000,535800000,None,534500000,None,None,None,26400000,None,6700000,18600000,18600000,114000000,38800000,None,76100000,20700000,135500000,160900000,75200000,PAG
2014-12-31,USD,660100000,4410100000,4166200000,3765500000,117900000,522600000,None,485700000,None,None,None,27800000,None,28100000,19600000,19600000,109200000,37400000,None,79300000,31900000,117900000,151100000,71800000,PAG
2014-09-30,USD,647600000,4417900000,4272100000,3749100000,128000000,502300000,None,512900000,None,None,None,24500000,None,12700000,17300000,17800000,114200000,39700000,None,76700000,24200000,128000000,158500000,74500000,PAG
2014-06-30,USD,656400000,4406700000,4253000000,3715700000,135800000,502000000,None,513200000,None,None,None,24700000,None,10900000,17000000,17500000,114100000,41200000,None,80500000,91800000,135800000,164600000,72900000,PAG
2014-03-31,USD,615100000,4048000000,3911800000,3401200000,120700000,477200000,None,487800000,None,None,None,24200000,None,5100000,16100000,16500000,102200000,34700000,None,67200000,73900000,120700000,141300000,67500000,PAG
2013-12-31,USD,571000000,3855000000,3653763000,3199700000,103200000,425400000,None,452942000,None,None,None,23700000,None,8211000,15200000,17000000,88000000,28800000,None,60600000,73800000,103200000,131900000,59200000,PAG
2013-09-30,USD,558400000,3820130000,3698423000,3188000000,109300000,446400000,None,454188000,None,None,None,23210000,-4013000,11240000,15400000,15784000,96600000,31300000,None,66100000,103700000,109300000,136960000,65300000,PAG
2013-06-30,USD,547800000,3699175000,3570483000,3071100000,112100000,432700000,None,440331000,None,None,None,22966000,None,8901000,14700000,14985000,96900000,34900000,None,63000000,65100000,112100000,137593000,62000000,PAG
2013-03-31,USD,519800000,3399867000,3280192000,2822700000,105200000,407100000,None,413312000,None,None,None,21987000,None,2348000,14300000,14449000,86000000,28300000,None,57300000,20000000,105200000,122023000,57700000,PAG
2012-12-31,USD,513300000,3371252000,3051376000,2613635000,92353000,369642000,None,384671000,None,None,None,21240000,0,6180000,12186000,14140000,73853000,25253000,None,52925000,48408000,92353000,111788000,48600000,PAG
2012-09-30,USD,498900000,3383656000,3299845000,2834536000,87741000,400039000,None,427185000,None,None,None,21744000,-17753000,8814000,13704000,14037000,56421000,15421000,None,41565000,58772000,87741000,110378000,41000000,PAG
2012-06-30,USD,501600000,3360904000,3282178000,2810080000,91015000,400637000,None,434678000,None,-11575000,None,11575000,None,8168000,13319000,13651000,76193000,27093000,11575000,50247000,38196000,87768000,101419000,49100000,PAG
2012-03-31,USD,491900000,3230078000,3147681000,2662531000,94204000,386705000,None,424196000,None,-12210000,None,12210000,None,4410000,12950000,13349000,73708000,26908000,12210000,49894000,57519000,85918000,99267000,46800000,PAG
2011-12-31,USD,440493000,2959117000,2866958000,2174924000,75280000,312368000,None,403532000,None,-11756000,None,11756000,None,7924000,10268000,12325000,70198000,22511000,11756000,42773000,34388000,81954000,94279000,47687000,PAG
2011-09-30,USD,449946000,2939758000,2871961000,2437678000,78553000,369783000,None,399310000,None,-11288000,None,11288000,None,9623000,12427000,12590000,68953000,13246000,11288000,56602000,29880000,80241000,92831000,55707000,PAG
2011-06-30,USD,445304000,2877845000,2817223000,2374026000,69709000,374325000,None,403018000,None,-10575000,-124000,10451000,None,7882000,12093000,12093000,60065000,20505000,10575000,39215000,38083000,70516000,82609000,39560000,PAG
2011-03-31,USD,426079000,2845801000,2784707000,2311791000,72056000,355391000,None,393185000,None,-11401000,-116000,11285000,None,-1696000,12265000,12265000,49597000,15670000,11401000,36410000,50449000,60882000,73147000,33927000,PAG
2010-12-31,USD,416928000,2675599000,2709029000,1893685000,58331000,284164000,None,-5295000,None,-11776000,-91000,11685000,5295000,None,7692000,12053000,43465000,14956000,11776000,31045000,21598000,55150000,67203000,28509000,PAG
