fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,54742000,167245000,152272000,112885000,15455000,39287000,None,43269000,None,0,None,None,167245000,None,None,100000,15455000,5683000,None,9772000,9772000,15455000,15555000,9772000,TREX
2024-09-30,USD,93205000,233722000,179413000,140512000,54304000,38901000,None,38901000,None,5000,None,5000,233717000,None,None,100000,54309000,13756000,None,40553000,40553000,54304000,54404000,40553000,TREX
2024-06-30,USD,168110000,376470000,259566000,208360000,116904000,51206000,None,51206000,None,1000,None,None,376470000,None,None,100000,116904000,29906000,None,86998000,86998000,116904000,117004000,86998000,TREX
2024-03-31,USD,169612000,371518000,254723000,204023000,119012000,50600000,None,52822000,None,5000,None,5000,371513000,None,None,100000,119017000,29947000,None,89070000,89070000,119012000,119112000,89070000,TREX
2023-12-31,USD,70636000,196236000,167718000,125109000,28127000,42509000,3300000,47968000,None,2550000,None,2550000,193686000,None,None,100000,30677000,8726000,None,21951000,21951000,28127000,28227000,21951000,TREX
2023-09-30,USD,130895000,304570000,217473000,172941000,86363000,44532000,None,44532000,None,734000,None,734000,303836000,None,None,100000,87097000,21831000,None,65266000,65266000,86363000,86463000,65266000,TREX
2023-06-30,USD,156448000,355233000,251771000,200090000,104767000,51681000,None,51681000,None,-1305000,None,1305000,356538000,None,None,100000,103462000,26426000,None,77036000,77036000,104767000,104867000,77036000,TREX
2023-03-31,USD,94428000,236733000,181870000,144290000,56948000,37480000,None,37580000,None,-1985000,None,1985000,238718000,None,None,100000,54963000,13832000,None,41131000,41131000,56948000,57048000,41131000,TREX
2022-12-31,USD,65491000,176654000,162146000,126602000,14624000,35444000,500000,36060000,None,0,1000,102000,176654000,None,None,100000,14577000,4500000,None,10089000,10077000,14624000,14724000,10077000,TREX
2022-09-30,USD,46208000,188472000,169121000,142264000,19351000,26857000,None,26857000,None,-1000,None,None,188472000,None,None,100000,19351000,4928000,None,14423000,14423000,19351000,19451000,14423000,TREX
2022-06-30,USD,157377000,386365000,268440000,228872000,117809000,39568000,None,39568000,None,116000,None,116000,386249000,None,None,100000,117925000,29009000,None,88916000,88916000,117809000,117909000,88916000,TREX
2022-03-31,USD,134912000,339214000,244376000,204316000,94952000,39960000,None,40060000,None,-14000,None,14000,339228000,None,None,100000,94911000,23700000,None,71211000,71211000,94952000,95052000,71211000,TREX
2021-12-31,USD,118180000,303960000,273625000,185780000,30436000,36744000,6000000,88857000,None,15000,15000,15000,303960000,None,None,100000,30496000,5465000,None,118180000,25032000,30436000,30536000,25031000,TREX
2021-09-30,USD,128250000,335882000,237776000,207622000,98096000,33931000,None,30154000,None,10000,10000,10000,335872000,None,None,100000,98106000,24311000,None,73795000,73795000,98096000,98196000,73795000,TREX
2021-06-30,USD,118273000,311583000,229239000,193323000,82357000,36899000,None,35916000,None,-13000,None,13000,311596000,None,None,100000,82344000,20978000,None,61366000,61366000,82357000,82457000,61366000,TREX
2021-03-31,USD,95801000,245625000,181135000,149723000,64489000,32049000,None,31314000,None,3000,3000,3000,245622000,None,None,100000,64492000,15947000,None,48592000,48545000,64489000,64589000,48545000,TREX
2020-12-31,USD,92392000,228286000,170219000,135895000,58167000,34224000,3400000,37806000,None,198000,198000,198000,228286000,None,None,100000,58366000,15065000,None,92392000,43300000,58167000,58267000,43301000,TREX
2020-09-30,USD,84964000,231710000,174565000,146538000,56937000,28027000,None,28027000,None,208000,208000,208000,231502000,None,None,100000,57145000,14435000,None,42710000,42710000,56937000,57037000,42710000,TREX
2020-06-30,USD,92405000,220719000,157252000,128243000,63396000,29009000,None,29009000,None,71000,71000,71000,220648000,None,None,100000,63467000,16249000,None,47218000,47218000,63396000,63496000,47218000,TREX
2020-03-31,USD,89696000,201040000,145360000,110699000,55135000,34561000,None,34538000,None,522000,522000,522000,200518000,None,None,100000,55702000,13300000,None,42402000,42402000,55135000,55235000,42402000,TREX
2019-12-31,USD,71263000,164772000,118633000,93510000,46239000,25023000,4500000,29818000,None,702000,702000,702000,164772000,None,None,100000,46941000,11444000,None,71263000,35497000,46239000,46339000,35497000,TREX
2019-09-30,USD,82431000,195295000,139529000,112120000,55022000,27409000,4500000,27409000,None,744000,744000,744000,194551000,None,None,100000,55766000,13790000,None,41976000,41976000,55022000,55122000,41976000,TREX
2019-06-30,USD,83444000,206454000,158714000,123009000,47739000,35705000,4500000,35705000,None,1000,1000,1000,206453000,None,None,100000,47740000,12030000,None,35710000,35710000,47739000,47839000,35710000,TREX
2019-03-31,USD,69365000,179617000,140472000,110206000,39199000,30166000,4500000,30276000,None,56000,56000,56000,179561000,None,None,100000,39255000,7700000,None,31555000,31555000,39199000,39299000,31555000,TREX
