fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,8182000,35476000,27294000,27294000,-3976000,12158000,None,12685000,1644000,-100000,None,100000,35476000,None,None,527000,-2332000,-426000,None,-1906000,-3002000,-2232000,-1705000,-1906000,CLFD
2024-09-30,USD,10668000,46772000,36104000,36104000,-3013000,13681000,None,17159000,1694000,-125000,None,125000,46772000,None,None,478000,-1319000,-492000,None,-827000,237000,-1194000,-716000,-827000,CLFD
2024-06-30,USD,10692000,48793000,38101000,38101000,-2306000,12998000,None,13425000,1582000,-153000,None,153000,48793000,None,None,427000,-724000,-277000,None,-447000,-562000,-571000,-144000,-447000,CLFD
2024-03-31,USD,2832000,36910000,34078000,34078000,-9741000,12573000,None,12573000,1747000,-102000,None,102000,36910000,None,None,353000,-7994000,-2083000,None,-5911000,-6257000,-7892000,-7539000,-5911000,CLFD
2023-12-31,USD,4697000,34230000,29533000,29533000,-8162000,12859000,None,12815000,1943000,-126000,None,126000,34274000,None,None,310000,-6219000,-951000,126000,-5268000,-4248000,-6093000,-5783000,-5268000,CLFD
2023-09-30,USD,11994000,49685000,37691000,37692000,1716000,10278000,3115000,14521000,1548000,-330000,None,330000,49685000,None,None,292000,3264000,568000,330000,2696000,2420000,3594000,3886000,2696000,CLFD
2023-06-30,USD,19074000,61285000,42210000,42210000,5625000,13449000,None,13449000,1435000,-195000,None,195000,61284000,1630000,None,280000,7060000,1842000,195000,5218000,5184000,7255000,7535000,5218000,CLFD
2023-03-31,USD,23563000,71809000,48246000,48246000,12055000,11508000,None,11508000,1283000,-112000,None,112000,71809000,1395000,None,1469000,13338000,2974000,112000,10364000,10863000,13450000,13524000,10364000,CLFD
2022-12-31,USD,30649000,85942000,55293000,55293000,17890000,12759000,None,12759000,60000,-243000,None,243000,85942000,303000,None,1353000,17950000,3695000,243000,14255000,15420000,18193000,19243000,14255000,CLFD
2022-09-30,USD,37504000,95029000,57525000,57524000,22251000,15253000,895000,16927000,-267000,-311000,None,311000,95211000,44000,None,1239000,21984000,4992000,None,16992000,16054000,22251000,23490000,16992000,CLFD
2022-06-30,USD,29307000,71250000,41943000,41943000,16586000,12721000,None,12721000,43000,43000,43000,43000,71250000,43000,None,769000,16629000,3884000,None,12745000,12510000,16586000,17355000,12745000,CLFD
2022-03-31,USD,23164000,53495000,30331000,30331000,11931000,11233000,None,11233000,121000,None,None,242000,53495000,121000,None,602000,12052000,2816000,None,9236000,8511000,11931000,12533000,9236000,CLFD
2021-12-31,USD,22972000,51109000,28137000,28137000,13049000,9923000,None,9923000,120000,120000,120000,120000,51109000,120000,None,639000,13169000,2780000,None,10389000,10389000,13049000,13688000,10389000,CLFD
2021-09-30,USD,19729000,45236000,25507000,25506676,9367000,10362000,1243000,12208209,121857,121857,121857,121857,45235962,121857,None,576294,9489000,2063000,None,7426044,7426000,9367000,9943362,7426000,CLFD
2021-06-30,USD,17137000,38735000,21598000,21597574,7702000,9435000,None,9435877,121208,121208,121208,121208,38735356,121208,None,586248,7823000,1725000,None,6098113,6098000,7702000,8288153,6098000,CLFD
2021-03-31,USD,12942000,29692000,16750000,16750354,4452000,8490000,None,8490120,123324,123324,123324,123324,29691934,123324,None,571543,4575000,935000,None,3639784,3640000,4452000,5023003,3640000,CLFD
2020-12-31,USD,11369000,27092000,15723000,15722902,3713000,7656000,None,7655537,133731,133731,133731,133731,27092147,133731,None,567718,3847000,684000,None,3163439,3163000,3713000,4281426,3163000,CLFD
2020-09-30,USD,11245862,27318455,16072593,16072909,3679900,7565962,1269542,9318055,155427,155427,155427,155427,27317969,155427,None,597237,3835377,786000,None,3049443,3049377,3679900,4277137,3049377,CLFD
2020-06-30,USD,10790170,25970045,15179875,15179875,3583013,7207157,None,7207157,174555,174555,174555,174555,25970045,174555,None,613556,3757568,763000,None,2994568,2994568,3583013,4196569,2994568,CLFD
2020-03-31,USD,8151433,20408509,12257076,12257076,720172,7431261,None,7431261,217725,217725,217725,217725,20408509,217725,None,603989,937897,190000,None,747897,747897,720172,1324161,747897,CLFD
2019-12-31,USD,7727535,19377991,11650456,11650456,400915,7326620,None,7326620,223243,223243,223243,223243,19377991,223243,None,606972,624158,123000,None,501158,501158,400915,1007887,501158,CLFD
2019-09-30,USD,9304555,23968423,14663868,14663868,2178179,7126376,1089637,8688840,220985,220985,220985,220985,23968423,220985,None,565015,2399164,511437,None,1887727,1887727,2178179,2743194,1887727,CLFD
2019-06-30,USD,8412627,21892244,13479617,13479617,1541633,6870994,None,6870994,212894,212894,212894,212894,21892242,212894,None,549370,1754527,454000,None,1300527,1300527,1541633,2091053,1300527,CLFD
2019-03-31,USD,7025243,19084365,12059122,12059122,297499,6727744,None,6727744,169443,169443,169443,169443,19084365,169443,None,534610,466942,99000,None,367942,367942,297499,832109,367942,CLFD
2018-12-31,USD,7946698,20089150,12142452,12142452,1170823,6775875,None,6775875,135137,None,None,135137,20089150,135137,None,529414,1305960,296000,None,1009960,1009960,1170823,1700237,1009960,CLFD
2018-09-30,USD,8616498,22472631,13856487,13856487,2547487,6069011,787364,7157843,125451,None,None,125451,22472985,125451,None,501085,2672938,791405,None,1881533,1881533,2547487,3048572,1881533,CLFD
2018-06-30,USD,8492045,21480590,12988545,12988545,2404683,6087362,None,6087362,116549,None,None,116549,21480590,116549,None,556749,2521232,766000,None,1755232,1755232,2404683,2961432,1755232,CLFD
2018-03-31,USD,6779834,16830895,10051061,10051061,-525755,7305589,None,7305589,119379,None,None,119379,16830895,119379,None,553714,-406376,-101000,None,-305376,-305376,-525755,27959,-305376,CLFD
2017-12-31,USD,7108407,16866884,9758477,9758477,644436,6463971,None,6465565,95722,None,None,95722,16866884,95722,None,436198,740158,-203000,None,943158,943158,644436,1080634,943158,CLFD
2017-09-30,USD,7675475,18418770,10742914,10742914,1517494,6157981,865568,7063930,87552,None,None,87552,None,87552,None,416325,1605046,344974,None,-163000,-163000,1517494,1933819,1260072,CLFD
2017-06-30,USD,7937250,19611297,11674047,11674047,1322557,6614693,None,7258297,73759,None,None,73759,None,73759,None,405633,1396316,593000,None,803316,803316,1322557,1728190,803316,CLFD
2017-03-31,USD,7442814,17651771,10208957,10208957,1280636,6162178,None,6162178,59885,None,None,59885,None,59885,None,411511,1340521,433000,None,907521,907521,1280636,1692147,907521,CLFD
2016-12-31,USD,7208720,18266162,11057442,11057442,1191196,6017524,None,6017524,52734,None,None,52734,None,52734,None,388625,1243930,367000,None,876930,876930,1191196,1579821,876930,CLFD
2016-09-30,USD,9572806,21052104,11479298,11479298,3146569,6426237,838122,7275572,43086,None,None,43086,None,43086,None,380905,3189655,519087,None,-337000,-337000,3146569,3527474,2670568,CLFD
2016-06-30,USD,9340197,21598720,12258523,12258523,3461845,5878352,None,5878352,41608,None,None,41608,None,41608,None,362121,3503453,1141392,None,2282421,2282421,3461845,3823966,2362061,CLFD
2016-03-31,USD,7280449,16947187,9666738,9666738,2143497,5136952,None,5136952,39169,None,None,39169,None,39169,None,357427,2182666,689687,None,1438666,1438666,2143497,2500924,1492979,CLFD
2015-12-31,USD,6676796,15689715,9012919,9012919,1979781,4697015,None,4698405,33539,None,None,33539,None,33539,None,348749,2013320,525866,None,1383320,1383320,1979781,2328530,1487454,CLFD
2015-09-30,USD,6575262,15770602,9195340,9195340,2019729,4555533,750107,4565092,30583,None,None,30583,None,30583,None,345391,2050312,679238,None,1371074,1371074,2019729,2019729,1371074,CLFD
2015-06-30,USD,7796740,18195911,10399171,10399171,2950976,4845764,None,4845764,24924,None,None,24924,None,24924,None,324910,2975900,1023000,None,1952900,1952900,2950976,2950976,1952900,CLFD
2015-03-31,USD,4753437,12370784,7617347,7617347,464133,4289304,None,4289304,24528,None,None,24528,None,24528,None,315882,488661,200000,None,288661,288661,464133,464133,288661,CLFD
2014-12-31,USD,5742514,13986620,8244106,8244106,1616517,4125997,None,4125997,25856,None,None,25856,None,25856,None,229900,1642373,573000,None,1069373,1069373,1616517,1616517,1069373,CLFD
2014-09-30,USD,5897105,14320881,8423776,8423776,1671652,4225453,704000,4233514,25706,None,None,25706,-8061,25706,None,207707,1697358,647978,None,1049380,1049380,1671652,1671652,1049380,CLFD
2014-06-30,USD,6043453,14362934,8319481,8319481,1858296,4185157,None,4185157,25544,None,None,25544,1590,25544,None,182327,1883840,709000,None,1174840,1174840,1858296,1858296,1174840,CLFD
2014-03-31,USD,5720563,13213855,7493292,7493292,1915552,3805011,None,3805011,24753,None,None,24753,-6424,24753,None,157925,1940305,714000,None,1226305,1226305,1915552,1915552,1226305,CLFD
2013-12-31,USD,6937645,16147622,9209977,9209977,3072626,3865019,None,3864933,19700,None,None,19700,86,19700,None,151910,3092326,1110000,None,1982326,1982326,3072626,3072626,1982326,CLFD
